curso_academico,cod_universidad,des_universidad,URI_universidad,wikidata_universidad,cod_departamento,des_departamento,wikidata_departamento,id_muestra_departamento,URI_muestra_departamento,cod_municipio,des_municipio,URI_municipio,wikidata_municipio,cod_campus,des_campus,des_situacion_departamento,fecha_desde_situacion_departamento
2019-20,023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,55001482,Departamento De Biologia,https://www.wikidata.org/wiki/Q108335884,60c39b0240d73f7d63657022bcf171f9,http://www.semanticweb.org/universidata/resource/muestra-departamento/UAM-60c39b0240d73f7d63657022bcf171f9,28079,Madrid,http://www.semanticweb.org/universidata/resource/municipio/madrid,https://www.wikidata.org/wiki/Q2807,02301,Cantoblanco,Activo,2013-06-01
2019-20,023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,55001491,Departamento De Quimica Fisica Aplicada,https://www.wikidata.org/wiki/Q60780205,76a916d3b8e0c4ed6962deb959253cbb,http://www.semanticweb.org/universidata/resource/muestra-departamento/UAM-76a916d3b8e0c4ed6962deb959253cbb,28079,Madrid,http://www.semanticweb.org/universidata/resource/municipio/madrid,https://www.wikidata.org/wiki/Q2807,02301,Cantoblanco,Activo,2013-06-01
2019-20,023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,55001504,Departamento De Geografia,https://www.wikidata.org/wiki/Q60779344,591ab360b229203804a45a58b63b32e8,http://www.semanticweb.org/universidata/resource/muestra-departamento/UAM-591ab360b229203804a45a58b63b32e8,28079,Madrid,http://www.semanticweb.org/universidata/resource/municipio/madrid,https://www.wikidata.org/wiki/Q2807,02301,Cantoblanco,Activo,2013-06-01
2019-20,023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,55001507,Departamento De Historia Y Teoria Del Arte,https://www.wikidata.org/wiki/Q60779494,9d67627fb549821656f51618418e7d1c,http://www.semanticweb.org/universidata/resource/muestra-departamento/UAM-9d67627fb549821656f51618418e7d1c,28079,Madrid,http://www.semanticweb.org/universidata/resource/municipio/madrid,https://www.wikidata.org/wiki/Q2807,02301,Cantoblanco,Activo,2013-06-01
2019-20,023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,55001521,Departamento De Obstetricia Y Ginecologia,https://www.wikidata.org/wiki/Q60780026,502f5759f040d39004b66d1cca6345c3,http://www.semanticweb.org/universidata/resource/muestra-departamento/UAM-502f5759f040d39004b66d1cca6345c3,28079,Madrid,http://www.semanticweb.org/universidata/resource/municipio/madrid,https://www.wikidata.org/wiki/Q2807,02302,Medicina,Activo,2013-06-01
2019-20,023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,55001525,Departamento De Psicologia Biologica Y De La Salud,https://www.wikidata.org/wiki/Q60780150,1d94aeac049ce05b05610d1630c09e63,http://www.semanticweb.org/universidata/resource/muestra-departamento/UAM-1d94aeac049ce05b05610d1630c09e63,28079,Madrid,http://www.semanticweb.org/universidata/resource/municipio/madrid,https://www.wikidata.org/wiki/Q2807,02301,Cantoblanco,Activo,2013-06-01
2019-20,023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,55001532,Departamento De Filologia Inglesa,https://www.wikidata.org/wiki/Q60779047,e29723de595c523bb40e19f7391a8e43,http://www.semanticweb.org/universidata/resource/muestra-departamento/UAM-e29723de595c523bb40e19f7391a8e43,28079,Madrid,http://www.semanticweb.org/universidata/resource/municipio/madrid,https://www.wikidata.org/wiki/Q2807,02301,Cantoblanco,Activo,2013-06-01
2019-20,023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,55001537,Departamento De Quimica Organica,https://www.wikidata.org/wiki/Q60780224,66856df74a4ad75324cd77d601b8419f,http://www.semanticweb.org/universidata/resource/muestra-departamento/UAM-66856df74a4ad75324cd77d601b8419f,28079,Madrid,http://www.semanticweb.org/universidata/resource/municipio/madrid,https://www.wikidata.org/wiki/Q2807,02301,Cantoblanco,Activo,2013-06-01
2019-20,023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,55001542,Departamento De Enfermeria,https://www.wikidata.org/wiki/Q60780400,7f8074aa570ce7ccce8af524c262fc52,http://www.semanticweb.org/universidata/resource/muestra-departamento/UAM-7f8074aa570ce7ccce8af524c262fc52,28079,Madrid,http://www.semanticweb.org/universidata/resource/municipio/madrid,https://www.wikidata.org/wiki/Q2807,02302,Medicina,Activo,2017-12-01
2019-20,023,Universidad Autonoma De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-autonoma-de-madrid,https://www.wikidata.org/wiki/Q788091,55001552,Departamento De Contabilidad,https://www.wikidata.org/wiki/Q60778176,0947d5dd2530787b8e3b0c3655b8748d,http://www.semanticweb.org/universidata/resource/muestra-departamento/UAM-0947d5dd2530787b8e3b0c3655b8748d,28079,Madrid,http://www.semanticweb.org/universidata/resource/municipio/madrid,https://www.wikidata.org/wiki/Q2807,02301,Cantoblanco,Activo,2013-06-01
