curso_academico,cod_universidad,des_universidad,URI_universidad,wikidata_universidad,cod_departamento,des_departamento,wikidata_departamento,id_muestra_departamento,URI_muestra_departamento,cod_municipio,des_municipio,URI_municipio,wikidata_municipio,cod_campus,des_campus,des_situacion_departamento,fecha_desde_situacion_departamento
2017-18,036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,55003473,,,d9e8aa76eb2c0c8b30c370c9b12e540b,http://www.semanticweb.org/universidata/resource/muestra-departamento/UC3M-d9e8aa76eb2c0c8b30c370c9b12e540b,28065,Getafe,http://www.semanticweb.org/universidata/resource/municipio/getafe,https://www.wikidata.org/wiki/Q8802,03602,Getafe,Activo,2013-07-01
2017-18,036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,55001917,Departamento De Biblioteconomia Y Documentacion,,7df334f2126f85d6eca739035b33fbc8,http://www.semanticweb.org/universidata/resource/muestra-departamento/UC3M-7df334f2126f85d6eca739035b33fbc8,28065,Getafe,http://www.semanticweb.org/universidata/resource/municipio/getafe,https://www.wikidata.org/wiki/Q8802,03602,Getafe,Activo,2013-07-01
2017-18,036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,55002537,,,ab7f3d1d573dd92f84a03017d0af10b7,http://www.semanticweb.org/universidata/resource/muestra-departamento/UC3M-ab7f3d1d573dd92f84a03017d0af10b7,28074,Leganes,http://www.semanticweb.org/universidata/resource/municipio/leganes,https://www.wikidata.org/wiki/Q77433,03601,Leganes,Activo,2013-07-01
2017-18,036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,55001939,Departamento De Ciencia E Ingenieria De Materiales E Ingenieria Quimica,,327a98898887833ad8a70e9c01396ae4,http://www.semanticweb.org/universidata/resource/muestra-departamento/UC3M-327a98898887833ad8a70e9c01396ae4,28074,Leganes,http://www.semanticweb.org/universidata/resource/municipio/leganes,https://www.wikidata.org/wiki/Q77433,03601,Leganes,Activo,2013-07-01
2017-18,036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,55003472,Departamento De Ciencias Sociales,,7a7810c5b3816f3b5cc06e44df62a650,http://www.semanticweb.org/universidata/resource/muestra-departamento/UC3M-7a7810c5b3816f3b5cc06e44df62a650,28065,Getafe,http://www.semanticweb.org/universidata/resource/municipio/getafe,https://www.wikidata.org/wiki/Q8802,03602,Getafe,Activo,2013-07-01
2017-18,036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,55001927,"Departamento De Derecho Internacional, Eclesiastico Y Filosofia Del Derecho",,13ffba09eae399603fcb474a0f2efee3,http://www.semanticweb.org/universidata/resource/muestra-departamento/UC3M-13ffba09eae399603fcb474a0f2efee3,28065,Getafe,http://www.semanticweb.org/universidata/resource/municipio/getafe,https://www.wikidata.org/wiki/Q8802,03602,Getafe,Activo,2013-07-01
2017-18,036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,55001928,,,352262c5a5f417c3b901c80b81cb8d76,http://www.semanticweb.org/universidata/resource/muestra-departamento/UC3M-352262c5a5f417c3b901c80b81cb8d76,28065,Getafe,http://www.semanticweb.org/universidata/resource/municipio/getafe,https://www.wikidata.org/wiki/Q8802,03602,Getafe,Activo,2013-07-01
2017-18,036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,55001924,Departamento De Derecho Privado,,50e45934bc2cf44452ec1890ae106eae,http://www.semanticweb.org/universidata/resource/muestra-departamento/UC3M-50e45934bc2cf44452ec1890ae106eae,28065,Getafe,http://www.semanticweb.org/universidata/resource/municipio/getafe,https://www.wikidata.org/wiki/Q8802,03602,Getafe,Activo,2013-07-01
2017-18,036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,55001926,,,a17e2a65428cce4c450196e19c85e21f,http://www.semanticweb.org/universidata/resource/muestra-departamento/UC3M-a17e2a65428cce4c450196e19c85e21f,28065,Getafe,http://www.semanticweb.org/universidata/resource/municipio/getafe,https://www.wikidata.org/wiki/Q8802,03602,Getafe,Activo,2013-07-01
2017-18,036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,55001925,,,cc2e8a2238ba1dab77a06973c7c0b850,http://www.semanticweb.org/universidata/resource/muestra-departamento/UC3M-cc2e8a2238ba1dab77a06973c7c0b850,28065,Getafe,http://www.semanticweb.org/universidata/resource/municipio/getafe,https://www.wikidata.org/wiki/Q8802,03602,Getafe,Activo,2013-07-01
