cod_universidad,des_universidad,URI_universidad,wikidata_universidad,anio,des_tipo_personal,des_genero,id_empleado_b2,cod_pais_nacionalidad,des_pais_nacionalidad,URI_pais_nacionalidad,wikidata_pais_nacionalidad,lat_pais_nacionalidad,lon_pais_nacionalidad,cod_continente_nacionalidad,des_continente_nacionalidad,URI_continente_nacionalidad,wikidata_continente_nacionalidad,cod_agregacion_paises_nacionalidad,des_agregacion_paises_nacionalidad,URI_agregacion_paises_nacionalidad,wikidata_agregacion_paises_nacionalidad,id_empleado_b3,cod_comunidad_residencia,des_comunidad_residencia,URI_comunidad_residencia,wikidata_comunidad_residencia,cod_provincia_residencia,des_provincia_residencia,URI_provincia_residencia,wikidata_provincia_residencia,cod_municipio_residencia,des_municipio_residencia,URI_municipio_residencia,wikidata_municipio_residencia,lat_municipio_residencia,lon_municipio_residencia,id_empleado_b4,anio_nacimiento,id_empleado_b5,anio_incorporacion,id_empleado_b6,ind_otra_unidad,cod_otra_unidad,des_otra_unidad,id_empleado_b7,des_servicio_prestado,id_empleado_b8,des_cuerpo_escala_PAS,des_tipo_contrato,des_titulacion_exigida,des_dedicacion,num_horas_semanales_tiempo_parcial,id_empleado_b9,des_situacion_administrativa,id_empleado_b10,ind_cargo_remunerado,id_empleado_b11,ind_imparte_docencia,id_empleado_b12,num_trienios
036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,2020,Funcionario De Carrera,Mujer,UC3M-7d04794a8232f7a78d4a8bbc5cec6e47,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UC3M-2958c7c68425e77eed2cbcbe865f7284,13,Madrid,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/madrid,https://www.wikidata.org/wiki/Q5756,28,Madrid,http://www.semanticweb.org/universidata/resource/provincia/madrid,https://www.wikidata.org/wiki/Q24004405,28079,Madrid,http://www.semanticweb.org/universidata/resource/municipio/madrid,https://www.wikidata.org/wiki/Q2807,40.41669,-3.700346,UC3M-d9bd8a2fcfacd53af80280cecca62399,1965,UC3M-e3d63ecc9eac45794f7f1b383a4caf4b,2003,UC3M-f1fb0a74b8e457e29e64215f7c29787d,false,,,UC3M-471d44a8360d09b2563ff79b90755561,Otros,UC3M-ac0b5a9b28aba789d447deeb3a964821,Subgrupo C1,Personal Funcionario\personal Eventual,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,UC3M-9afe9524279bb6816786301accd68417,Excedencia,UC3M-c75b99c33e200079232baf966fee704a,false,UC3M-c25208b2f0e4cb6ea7823d9b7ab663cb,false,UC3M-9c4ebfe99b0e38788239e2499392c418,11
036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,2020,Funcionario De Carrera,Mujer,UC3M-ad4b477b8e411ccce16fefda968957fc,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UC3M-d33276760fe892d7881fe71a1f6d883e,7,Castilla Leon,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/castilla-leon,https://www.wikidata.org/wiki/Q5739,40,Segovia,http://www.semanticweb.org/universidata/resource/provincia/segovia,https://www.wikidata.org/wiki/Q55283,40112,Lastrilla La,http://www.semanticweb.org/universidata/resource/municipio/lastrilla-la,,40.9687,-4.103292,UC3M-dc629721f2bd2e8b8738bf55b25a0b78,1964,UC3M-86ea2c6dc44828ea994d3dbd8f1b4f68,1991,UC3M-7f2ce6a89d25ce9b20665710f25a4915,false,,,UC3M-9eae8373e5a445523a8ac12a3cf7c5f1,Otros,UC3M-7a3732d669cc1098cc314a64fa5b0156,Subgrupo C1,Personal Funcionario\personal Eventual,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,UC3M-db35a1b34abb9308418cb5b236471b99,Servicio Activo,UC3M-963594b74ed62bb8fd277ae782e0fc70,false,UC3M-e10ed458eecb2434a0eef548c14667b7,false,UC3M-e48a4360ee505ec54f851076b9bc2edb,8
036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,2020,Funcionario De Carrera,Mujer,UC3M-251ba8eb11de4632e32fb43a64ac0911,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UC3M-6bb5df3a9bd1407f6ef03cd6d478de3b,13,Madrid,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/madrid,https://www.wikidata.org/wiki/Q5756,28,Madrid,http://www.semanticweb.org/universidata/resource/provincia/madrid,https://www.wikidata.org/wiki/Q24004405,28074,Leganes,http://www.semanticweb.org/universidata/resource/municipio/leganes,https://www.wikidata.org/wiki/Q77433,40.32642,-3.758988,UC3M-4266144aa8a0bf2fd0bf28df116c6050,1957,UC3M-8488b7c4c403b162ef5e6998485f9d99,1999,UC3M-b82664252128a551d263f51f57439a9b,false,,,UC3M-cd2036b2ae43f14ef135a78d6e888c25,Otros,UC3M-d2a577334fd805ff260f3a7df45ffe30,Subgrupo C1,Personal Funcionario\personal Eventual,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,UC3M-1a671564278a649cd7b4ca1f7b67b3e9,Servicio Activo,UC3M-7cb9993c31a846b05d86a26d11c84603,false,UC3M-eb3dd593f38cc1d687822291a93b2c18,false,UC3M-3ef8350575e22cd7e687be28bb23d4c1,9
036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,2020,Funcionario De Carrera,Mujer,UC3M-a4d42a29e539813cb7c42e635e025c38,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UC3M-fb3687a17489616455c2d743d7e44242,13,Madrid,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/madrid,https://www.wikidata.org/wiki/Q5756,28,Madrid,http://www.semanticweb.org/universidata/resource/provincia/madrid,https://www.wikidata.org/wiki/Q24004405,28065,Getafe,http://www.semanticweb.org/universidata/resource/municipio/getafe,https://www.wikidata.org/wiki/Q8802,40.30498,-3.732677,UC3M-9f005d7eae97d99a18e15c1d36b937f0,1959,UC3M-be39e8c09647619453be6c7278ddcff5,1998,UC3M-74514f08bb3c5fbdff677984d0fa4001,false,,,UC3M-42b94b2a2230666ca385d14b0be80168,Otros,UC3M-6c2d260d6a3a1952168ad125c8d3cde5,Subgrupo C1,Personal Funcionario\personal Eventual,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,UC3M-dc80ec9dc9c4c79c343b554d4bec6a3e,Servicio Activo,UC3M-ee8721f77ec32811cfb71aeb136b9d99,false,UC3M-9090b0b8fae79d2ef4f6744b82cf4586,false,UC3M-fc89a78c4c9cf688ec2fdbb7e1c22628,11
036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,2020,Funcionario De Carrera,Mujer,UC3M-e3075346b5e37c857dceb11c3b4f4f76,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UC3M-c08da44d29d198af581aa9b4db80f544,13,Madrid,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/madrid,https://www.wikidata.org/wiki/Q5756,28,Madrid,http://www.semanticweb.org/universidata/resource/provincia/madrid,https://www.wikidata.org/wiki/Q24004405,28065,Getafe,http://www.semanticweb.org/universidata/resource/municipio/getafe,https://www.wikidata.org/wiki/Q8802,40.30498,-3.732677,UC3M-125f95ef2b70482e98b3b561c0290e72,1966,UC3M-cb8f49dd0953b63e380555cc865d9115,1998,UC3M-772d2517cddf2a04047e46277c37ba46,false,,,UC3M-8ff43286ea1b3cf9039d7232ca0a3deb,Otros,UC3M-2e29eafa24660106ad2be0f33fc01c07,Subgrupo A1,Personal Funcionario\personal Eventual,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,UC3M-6814533933568abb0c32a5c0b5aa8dfb,Servicio Activo,UC3M-59d469ea974effbc24748f52494c09bc,false,UC3M-8cb9cdd07dc6696bcf315a88eee53524,false,UC3M-7ed9981ba005c322468cf4880f4307c9,7
036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,2020,Funcionario De Carrera,Mujer,UC3M-77859296fec8260a2d8f64542763080f,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UC3M-170c26cf31264712f180ee5581bc9256,13,Madrid,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/madrid,https://www.wikidata.org/wiki/Q5756,28,Madrid,http://www.semanticweb.org/universidata/resource/provincia/madrid,https://www.wikidata.org/wiki/Q24004405,28150,Torrejon De Velasco,http://www.semanticweb.org/universidata/resource/municipio/torrejon-de-velasco,https://www.wikidata.org/wiki/Q919911,40.18713,-3.778751,UC3M-9384bd19d4f0ed74adcbcb48f97caec5,1955,UC3M-e8632d6312770000b8e07a87fe666468,1998,UC3M-3f2ce801aaced4ac2703a4b9412c3e98,false,,,UC3M-d24111363fb40dd30604c28c33af88d1,Otros,UC3M-46c271fb951cd296b94aa691b520d7a8,Subgrupo A2,Personal Funcionario\personal Eventual,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,UC3M-73e4e5c4f7af862948da38edf48c50bb,Servicio Activo,UC3M-6e7efa7f431fff4bd8f3314f487e01dc,false,UC3M-8dc97da18b264669e4b75f39f28d75a0,false,UC3M-d420c7c973073b4fdfe90ec59c930040,7
036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,2020,Funcionario De Carrera,Mujer,UC3M-593cc86f7e563494e2b2608258c1eaa2,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UC3M-5fa787be56ec90033ec6eddf8023e489,13,Madrid,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/madrid,https://www.wikidata.org/wiki/Q5756,28,Madrid,http://www.semanticweb.org/universidata/resource/provincia/madrid,https://www.wikidata.org/wiki/Q24004405,28074,Leganes,http://www.semanticweb.org/universidata/resource/municipio/leganes,https://www.wikidata.org/wiki/Q77433,40.32642,-3.758988,UC3M-a69f21dd70d6b4e7dc7b02ad36027fba,1964,UC3M-5ea3306a1691d7b09a0d876ea78d6b2b,1996,UC3M-125a9360078bc1c0daec701bf0bb9a1b,false,,,UC3M-2e8589f50222c424012f623174e94d69,Otros,UC3M-a2153d6f58bce2d7402d5481f01e71cd,Subgrupo A1,Personal Funcionario\personal Eventual,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,UC3M-3fdd71bc173e162f61cb18218d824688,Servicio Activo,UC3M-69556b3d778b114546514b710cc50055,false,UC3M-3d52096cffa7d95ac054a53b62b62456,false,UC3M-5741f53044c2d1d839e2dc1fddc7756d,7
036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,2020,Funcionario De Carrera,Mujer,UC3M-b8974ac55d902efb2a828100a03fdbf1,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UC3M-604ff7aff90ed233233836d8a43a42d2,8,Castilla La Mancha,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/castilla-la-mancha,https://www.wikidata.org/wiki/Q5748,45,Toledo,http://www.semanticweb.org/universidata/resource/provincia/toledo,https://www.wikidata.org/wiki/Q54929,45040,Casar De Escalona El,http://www.semanticweb.org/universidata/resource/municipio/casar-de-escalona-el,,40.04669,-4.523818,UC3M-0681c5afe7ac4c8777e6f41eb35cfe76,1976,UC3M-5064c9aca173e29a16d785d0976ae43b,2001,UC3M-9aece62e7d9ece7461678d829a5a9f03,false,,,UC3M-014ff4a2f309cd54f744db1df9c676fe,Otros,UC3M-431ddc7900c44947e5870867ba7a670b,Subgrupo A2,Personal Funcionario\personal Eventual,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,UC3M-9ef5bddcbbf15f5ebf2c65a8fd93407c,Servicio Activo,UC3M-08190c2a67cdbac46e2437ad26750c91,false,UC3M-a35140b1c64b6e9f4a74bd26b62ead88,false,UC3M-a9a7962360c04e11615a71d07c6123f3,10
036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,2020,Funcionario De Carrera,Mujer,UC3M-17a09b007d1ff9d2b3cb98b0bc07bb1e,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UC3M-19bf35f4fe128f8f527523b5a48c2da2,13,Madrid,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/madrid,https://www.wikidata.org/wiki/Q5756,28,Madrid,http://www.semanticweb.org/universidata/resource/provincia/madrid,https://www.wikidata.org/wiki/Q24004405,28065,Getafe,http://www.semanticweb.org/universidata/resource/municipio/getafe,https://www.wikidata.org/wiki/Q8802,40.30498,-3.732677,UC3M-483814cd02f4ced48bdc06b2f29357b8,1967,UC3M-10610a4518b0f95077e4cf06f10c125e,2003,UC3M-0ed65d09445d24058163a5df28318d06,false,,,UC3M-50ae74e47cf58e75c67b88bcf898f8d9,Otros,UC3M-6a61addf22b01fee0a5051485ecfda34,Subgrupo A1,Personal Funcionario\personal Eventual,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,UC3M-49af3200342b50f505ae05c5facac2be,Servicio Activo,UC3M-8ad72ce3845b854d2f865d79b9c19426,false,UC3M-67c14e7c2341724b037807d57677dfef,false,UC3M-90742891aeb19667fc8c30798056db09,6
036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,2020,Funcionario De Carrera,Mujer,UC3M-a7b72fa06ef7df7daf8f9c80aec51ae2,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UC3M-0deab8ea2ef8edde6f40eb3250f283f6,13,Madrid,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/madrid,https://www.wikidata.org/wiki/Q5756,28,Madrid,http://www.semanticweb.org/universidata/resource/provincia/madrid,https://www.wikidata.org/wiki/Q24004405,28065,Getafe,http://www.semanticweb.org/universidata/resource/municipio/getafe,https://www.wikidata.org/wiki/Q8802,40.30498,-3.732677,UC3M-b2a3618bb77335d7d4dff829ef30feae,1980,UC3M-942df16711131dcb8c95b717f6415c0d,2005,UC3M-0c443cc0f407e74683f5c01f05560743,false,,,UC3M-83d8dceaaec2d9830b950f0b6640f1f6,Otros,UC3M-5f0db9f923a179a7157f78d987ae8639,Subgrupo C1,Personal Funcionario\personal Eventual,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,UC3M-d69992c7695ba633ad635e095a5a12be,Servicio Activo,UC3M-f9d9498b2ec8b0f0a155e4161099524c,false,UC3M-5cdf777d9c10412bc8d196be6ca7af48,false,UC3M-c4166dc3ed07184f3ff6cb82d76af728,10
