cod_universidad,des_universidad,URI_universidad,wikidata_universidad,anio,des_genero,cod_unidad_responsable,des_unidad_responsable,id_empleado_b2,cod_pais_nacionalidad,des_pais_nacionalidad,URI_pais_nacionalidad,wikidata_pais_nacionalidad,lat_pais_nacionalidad,lon_pais_nacionalidad,cod_continente_nacionalidad,des_continente_nacionalidad,URI_continente_nacionalidad,wikidata_continente_nacionalidad,cod_agregacion_paises_nacionalidad,des_agregacion_paises_nacionalidad,URI_agregacion_paises_nacionalidad,wikidata_agregacion_paises_nacionalidad,id_empleado_b3,cod_comunidad_residencia,des_comunidad_residencia,URI_comunidad_residencia,wikidata_comunidad_residencia,cod_provincia_residencia,des_provincia_residencia,URI_provincia_residencia,wikidata_provincia_residencia,cod_municipio_residencia,des_municipio_residencia,URI_municipio_residencia,wikidata_municipio_residencia,lat_municipio_residencia,lon_municipio_residencia,id_empleado_b4,anio_nacimiento,id_empleado_b5,des_tipo_personal,des_categoria_cuerpo_escala,des_tipo_contrato,des_dedicacion,num_horas_semanales_tiempo_parcial,des_situacion_administrativa,id_empleado_b6,ind_cargo_remunerado,id_empleado_b7,des_cuantia_titulo_doctorado,cod_pais_doctorado,des_pais_doctorado,URI_pais_doctorado,wikidata_pais_doctorado,lat_pais_doctorado,lon_pais_doctorado,cod_continente_doctorado,des_continente_doctorado,URI_continente_doctorado,wikidata_continente_doctorado,cod_agregacion_paises_doctorado,des_agregacion_paises_doctorado,URI_agregacion_paises_doctorado,wikidata_agregacion_paises_doctorado,cod_universidad_doctorado,des_universidad_doctorado,URI_universidad_doctorado,wikidata_universidad_doctorado,anio_lectura_tesis,anio_expedicion_titulo_doctor,ind_mencion_europea,id_empleado_b8,des_tipo_unidad_responsable,des_area_conocimiento,id_empleado_b9,anio_incorporacion_ap,anio_incorpora_cuerpo_docente,num_trienios,num_quinquenios,num_sexenios,id_empleado_b10,num_tesis,id_empleado_b11,ind_investigador_principal
036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,2020,Mujer,55001918,Departamento De Economia De La Empresa,UC3M-f60909125af0c16643173739fcbab397,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UC3M-200b10c5310847ea2a349090f5207a5a,13,Madrid,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/madrid,https://www.wikidata.org/wiki/Q5756,28,Madrid,http://www.semanticweb.org/universidata/resource/provincia/madrid,https://www.wikidata.org/wiki/Q24004405,28127,Rozas De Madrid Las,http://www.semanticweb.org/universidata/resource/municipio/rozas-de-madrid-las,https://www.wikidata.org/wiki/Q592747,40.49286,-3.875462,UC3M-d20d6132fe1e7b00a97da7f9d9b808cb,1971,UC3M-33dc5218488b9f4988a4671b57f93d61,Funcionario De Carrera,Profesor Titular De Universidad,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,Servicio Activo,UC3M-afd9b825dbb978dba7287b5b0a655beb,false,UC3M-d6f8056ee44ff97309a67a7afd107791,No,,,,,,,,,,,,,,,,,,,,,,UC3M-4fc869cb74c8407d46ed9dfa92a6ff8b,Departamento,,UC3M-61c1c77b8487b01a45f4dcc5d27efbaf,,,3,0,0,UC3M-c6a4c5972509254f8f1b432095f44e7c,0,UC3M-dcda94cf83433b7013931444814b04ad,false
036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,2020,Mujer,55001918,Departamento De Economia De La Empresa,UC3M-786791d177970c0ce7498ccafa081bb7,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UC3M-5dc24bc68c53a80cb78959e1fdc0e45a,13,Madrid,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/madrid,https://www.wikidata.org/wiki/Q5756,28,Madrid,http://www.semanticweb.org/universidata/resource/provincia/madrid,https://www.wikidata.org/wiki/Q24004405,28115,Pozuelo De Alarcon,http://www.semanticweb.org/universidata/resource/municipio/pozuelo-de-alarcon,https://www.wikidata.org/wiki/Q639422,40.4352,-3.813062,UC3M-acb3a545f338d8fda9f4d7756c6fab42,1979,UC3M-a52ee443a8a9e75db5d7b7bbca10adf3,Funcionario De Carrera,Profesor Titular De Universidad,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,Servicio Activo,UC3M-696be6eada9eb82ad7ec071d7c212e85,false,UC3M-24c374dee299df9a52453c4079580f27,No,,,,,,,,,,,,,,,,,,,,,,UC3M-6a13ef1a9c724b41ca78dd00a89775f0,Departamento,Economia Financiera Y Contabilidad,UC3M-d4381fcc3c9fafe306e7a9c16420fb94,,,0,0,0,UC3M-381fd38d8c8ebee7fbb613226c3f5c46,0,UC3M-3c4c31f76efcc9251789d59f4f3304a1,false
036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,2020,Mujer,55001918,Departamento De Economia De La Empresa,UC3M-8b6c9386524592c790f55f346dc34fee,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UC3M-293edd54e81e4ffac2f67dec5685ad72,13,Madrid,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/madrid,https://www.wikidata.org/wiki/Q5756,28,Madrid,http://www.semanticweb.org/universidata/resource/provincia/madrid,https://www.wikidata.org/wiki/Q24004405,28079,Madrid,http://www.semanticweb.org/universidata/resource/municipio/madrid,https://www.wikidata.org/wiki/Q2807,40.41669,-3.700346,UC3M-1a10f9115bf9b2809552ca21935a76ca,1965,UC3M-bd3909cecaf3035fe95e677ae3cd4065,Funcionario De Carrera,Catedratico De Universidad,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,Servicio Activo,UC3M-88b317029622decd9e6deda98c985b88,false,UC3M-12ebe2d5df0579a1d5e0b92c4325d535,No,,,,,,,,,,,,,,,,,,,,,,UC3M-fa7ba858978b0f9e53bd46fbe8804c49,Departamento,Economia Financiera Y Contabilidad,UC3M-ecd32aab88763b9168f57eb7323efe29,2006,2012,4,3,2,UC3M-f429a4f69d9038582f86ee4e635d99bb,0,UC3M-616364b14c567cefc1f275eb55b094b7,false
036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,2020,Mujer,55001918,Departamento De Economia De La Empresa,UC3M-0a8d3c0eb905df8e0d1412540494aad2,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UC3M-04dc9e8f07b869aed8fe86d9f8bbd6ce,13,Madrid,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/madrid,https://www.wikidata.org/wiki/Q5756,28,Madrid,http://www.semanticweb.org/universidata/resource/provincia/madrid,https://www.wikidata.org/wiki/Q24004405,28005,Alcala De Henares,http://www.semanticweb.org/universidata/resource/municipio/alcala-de-henares,https://www.wikidata.org/wiki/Q46940,40.48166,-3.364136,UC3M-1e8fc2da43c43b1e74a52c6c0e14340a,1965,UC3M-2268def8cbcd65ba440d5719e9c236af,Personal Laboral,Profesor Visitante,Contrato De Duracion Determinada,Dedicacion A Tiempo Completo,,Servicio Activo,UC3M-4444882184b36bda44c74e8790d7e84e,true,UC3M-8d4fd52b2c0646a3e5d813896527839e,Uno,,,,,,,,,,,,,,,,,,,2007,2007,false,UC3M-4319b5159d3860c4d072caab853f4bcf,Departamento,Comercializacion E Investigacion De Mercados,UC3M-b5957035fa35f74f2dd8a2080d01dd80,,,0,0,0,UC3M-ef43a5bddd9532342e3afbddb4e118d5,0,UC3M-650c4f1e670fa57a44ebd17f1b574e16,true
036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,2020,Mujer,55001918,Departamento De Economia De La Empresa,UC3M-9f7200270d35f4d98b0fd16685517dad,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UC3M-bb4aaca22774393572f1569be26bd7b9,13,Madrid,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/madrid,https://www.wikidata.org/wiki/Q5756,28,Madrid,http://www.semanticweb.org/universidata/resource/provincia/madrid,https://www.wikidata.org/wiki/Q24004405,28079,Madrid,http://www.semanticweb.org/universidata/resource/municipio/madrid,https://www.wikidata.org/wiki/Q2807,40.41669,-3.700346,UC3M-ee69035f1bc7f2d9bf02ae2e187cc2a5,1982,UC3M-6f71ffba6cf856e1a26c8a4345a5027e,Funcionario De Carrera,Catedratico De Universidad,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,Servicio Activo,UC3M-288279445a5416c66e0d4855b5a485f2,false,UC3M-e92a2c0ea5c3a93ab15d058377be9780,Uno,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,014,Universidad De Salamanca,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-salamanca,,2005,2005,false,UC3M-323370326b26ae4f70182843036f1a38,Departamento,,UC3M-e8381495ee93a09903d7c7f2648e214c,,,3,0,0,UC3M-e39b4a18f7900782a0627e27f1302cc5,0,UC3M-c1bff62b96cd0d99ca4305b3fa4704e0,false
036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,2020,Mujer,55001918,Departamento De Economia De La Empresa,UC3M-efeca3554fa6f0a3ff7d96b01f55c806,528,Paises Bajos,http://www.semanticweb.org/universidata/resource/pais/paises-bajos,https://www.wikidata.org/wiki/Q29999,52.132633,5.291266,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,UC3M-0bf393240b7cd205c1a016717837aaff,13,Madrid,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/madrid,https://www.wikidata.org/wiki/Q5756,28,Madrid,http://www.semanticweb.org/universidata/resource/provincia/madrid,https://www.wikidata.org/wiki/Q24004405,28013,Aranjuez,http://www.semanticweb.org/universidata/resource/municipio/aranjuez,https://www.wikidata.org/wiki/Q486792,40.03209,-3.603288,UC3M-c727311abb07a7c8d9059d2576b1da2c,1963,UC3M-a0e128f3e9246e328c61a7bc701d442e,Funcionario De Carrera,Catedratico De Universidad,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,Servicio Activo,UC3M-45ca6cb6fa3e5856e96ac58250ad8708,false,UC3M-5e9c5fe42c9e40e4b1e5931120def2af,No,,,,,,,,,,,,,,,,,,,,,,UC3M-82386caca7d4dcf0952aacdbcc646585,Departamento,Organizacion De Empresas,UC3M-29bdd86f3ef8556d152839e73b1457b1,,,4,0,0,UC3M-2b09bb08fd9803abac04f7cb700a95ca,0,UC3M-e421618040a0cf9c7d47b38356b24a8d,false
036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,2020,Mujer,55001918,Departamento De Economia De La Empresa,UC3M-41643efa79c2e40bb884ff648c3b0c25,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UC3M-58b871ea88529b53504ecb16aad0d88f,13,Madrid,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/madrid,https://www.wikidata.org/wiki/Q5756,28,Madrid,http://www.semanticweb.org/universidata/resource/provincia/madrid,https://www.wikidata.org/wiki/Q24004405,28079,Madrid,http://www.semanticweb.org/universidata/resource/municipio/madrid,https://www.wikidata.org/wiki/Q2807,40.41669,-3.700346,UC3M-2bd2169cc5e51b7325729c4fee34bbf9,1968,UC3M-0dd97fd2ab2a3797c8d4d192234bae7d,Personal Laboral,Profesor Visitante,Contrato De Duracion Determinada,Dedicacion A Tiempo Completo,,Servicio Activo,UC3M-4ed398426f7f57422fd7427541750b1f,false,UC3M-1aecf7d562aba6cf2c412d47a0416af6,Uno,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,2005,,false,UC3M-0e6b888900de921c9caf217051296381,Departamento,Comercializacion E Investigacion De Mercados,UC3M-ff187b454b6f99fcc67551be79103941,1992,2003,9,4,1,UC3M-0855e7f76002892991070c0c2e3086a9,0,UC3M-09292ac74aaba81042101d6b8be1cd3c,false
036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,2020,Mujer,55001918,Departamento De Economia De La Empresa,UC3M-28b51b25696753c4f577864b3ff38611,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UC3M-9ed158c222aa84500116f3616616e349,13,Madrid,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/madrid,https://www.wikidata.org/wiki/Q5756,28,Madrid,http://www.semanticweb.org/universidata/resource/provincia/madrid,https://www.wikidata.org/wiki/Q24004405,28065,Getafe,http://www.semanticweb.org/universidata/resource/municipio/getafe,https://www.wikidata.org/wiki/Q8802,40.30498,-3.732677,UC3M-bccce44aa96d647f71a5d1c43187a0c2,1964,UC3M-7134e9c7323fa65e4248cc51784bf6c1,Funcionario De Carrera,Profesor Titular De Universidad,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,Servicio Activo,UC3M-37c60ecc1adde00823cf0328053ecd69,false,UC3M-e51b486d98009098203d7fb6754c7661,Uno,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,,,,,1997,1997,false,UC3M-5cd99987ec964f20b030e92b7b0066cb,Departamento,Economia Financiera Y Contabilidad,UC3M-cf5f2d1b8dd39920bca30de126f21b86,,,0,0,0,UC3M-d3d7f448ca89a9bddca6122777cc88fb,0,UC3M-06c25e8d03cd35ace5c94bb6bdd20d9b,false
036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,2020,Mujer,55001918,Departamento De Economia De La Empresa,UC3M-5fd79536ce51778c962eb176ad2d7816,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UC3M-b8bb2aceccf9a285a1d47b4e293382f7,13,Madrid,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/madrid,https://www.wikidata.org/wiki/Q5756,28,Madrid,http://www.semanticweb.org/universidata/resource/provincia/madrid,https://www.wikidata.org/wiki/Q24004405,28079,Madrid,http://www.semanticweb.org/universidata/resource/municipio/madrid,https://www.wikidata.org/wiki/Q2807,40.41669,-3.700346,UC3M-772f80c08599149dedd5a278ea34df0d,1981,UC3M-c8edb6b47a77aceb524c178107f2ba4b,Personal Laboral,Profesor Asociado,Contrato De Duracion Determinada,Dedicacion A Tiempo Parcial,12,Servicio Activo,UC3M-52e2282ac16ff01df46d6faad6acd286,false,UC3M-11c80d2f2aa088921ef602cf337d772c,No,,,,,,,,,,,,,,,,,,,,,,UC3M-19b0f3b3170ea0d3943c5fe25d88dd7a,Departamento,Economia Financiera Y Contabilidad,UC3M-8a13627f98a9deb7fa93be07ba9085ae,,,0,0,0,UC3M-7ede97ee7458fb2229aceb784b671c45,0,UC3M-cc97ebb771665e54a14e06ec862cdd59,false
036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,2020,Mujer,55001918,Departamento De Economia De La Empresa,UC3M-7ca30b3d996c5608ec5b68ae0887791c,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UC3M-f98b4d93124cd98b24c994220af1c9c4,13,Madrid,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/madrid,https://www.wikidata.org/wiki/Q5756,28,Madrid,http://www.semanticweb.org/universidata/resource/provincia/madrid,https://www.wikidata.org/wiki/Q24004405,28079,Madrid,http://www.semanticweb.org/universidata/resource/municipio/madrid,https://www.wikidata.org/wiki/Q2807,40.41669,-3.700346,UC3M-823948409b61937a14f247d393844f64,1982,UC3M-a62f8f6ef986e1fb4f476599b25959c7,Funcionario De Carrera,Profesor Titular De Universidad,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,Servicio Activo,UC3M-ec44ecf16ecaa4e913e50a90704b6578,false,UC3M-a5213568dcc8921bc088742ac1f6dd4c,No,,,,,,,,,,,,,,,,,,,,,,UC3M-4cb087a5966b7e4e747c39db2ec1741a,Departamento,Comercializacion E Investigacion De Mercados,UC3M-a2145b97c503150d33d1261c7b526366,1997,2009,7,4,3,UC3M-2a074a41d5b739ab6bfe0c4e0e50eefb,0,UC3M-cd688ecd9993338b5f7c45bfaf0efe82,false
