cod_universidad,des_universidad,URI_universidad,wikidata_universidad,anio,cod_unidad_responsable,des_unidad_responsable,des_genero,id_empleado_b2,cod_pais_nacionalidad,des_pais_nacionalidad,URI_pais_nacionalidad,wikidata_pais_nacionalidad,lat_pais_nacionalidad,lon_pais_nacionalidad,cod_continente_nacionalidad,des_continente_nacionalidad,URI_continente_nacionalidad,wikidata_continente_nacionalidad,cod_agregacion_paises_nacionalidad,des_agregacion_paises_nacionalidad,URI_agregacion_paises_nacionalidad,wikidata_agregacion_paises_nacionalidad,id_empleado_b3,anio_nacimiento,id_empleado_b4,des_tipo_personal_investigacion,des_modalidad_personal_investigacion,des_tipo_organismo,des_dedicacion,duracion_meses,id_empleado_b5,des_cuantia_titulo_doctorado,cod_pais_doctorado,des_pais_doctorado,URI_pais_doctorado,wikidata_pais_doctorado,lat_pais_doctorado,lon_pais_doctorado,cod_continente_doctorado,des_continente_doctorado,URI_continente_doctorado,wikidata_continente_doctorado,cod_agregacion_paises_doctorado,des_agregacion_paises_doctorado,URI_agregacion_paises_doctorado,wikidata_agregacion_paises_doctorado,cod_universidad_doctorado,des_universidad_doctorado,URI_universidad_doctorado,wikidata_universidad_doctorado,anio_lectura_tesis,id_empleado_b6,anio_resolucion_convocatoria,anio_incorporacion,id_empleado_b7,des_tipo_unidad_responsable,des_area
010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,2017,55004078,Quimica En Ciencias Farmaceuticas,Mujer,UCM-70ed33d18cb73f590222667f44b4e435,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UCM-8cdde271cb35e5f39464b6606ec505ca,1992,UCM-8294abb3c0c446c7568a4f9c00e1cc67,Personal Tecnico De Apoyo A La Investigacion,Personal Tecnico De Apoyo,Universidad,Dedicacion A Tiempo Parcial,18,UCM-a5813c45706bddfa8d01e0e3834e7f5f,Uno,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/continente/europa-meridional,https://www.wikidata.org/wiki/Q27449,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,2015,UCM-282cad9c5af95ef8336273b3c57e83f3,2017,2017,UCM-99d2fc1baa072fcd6cac50a720fcb5e8,Departamento,
010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,2017,55000577,Optica,Hombre,UCM-8a0512308fbc32759074d2f693ce8786,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UCM-4518767949dc6b877eea9d685e0fef72,1984,UCM-5c2729442c67eddd1cf83482770ee528,Personal Tecnico De Apoyo A La Investigacion,Personal Tecnico De Apoyo,Universidad,Dedicacion A Tiempo Completo,6,UCM-467c8de1a9d42f84cfe534cf6772dfd2,No,,,,,,,,,,,,,,,,,,,,UCM-8783d4622faa5718ec38bc28dfba969b,2017,2016,UCM-e147e874130dbe0d74b46575a6aa6723,Departamento,
010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,2017,28054178,Centro De Vigilancia Sanitaria Veterinaria (visavet),Mujer,UCM-6cc9053216088ab8fd679c53099be1d4,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UCM-70964d68d0a7d913ec862cea6a4642d7,1992,UCM-f45ad0466bbd3fefc60ceacf7ffb3505,Personal Tecnico De Apoyo A La Investigacion,Personal Tecnico De Apoyo,Universidad,Dedicacion A Tiempo Parcial,12,UCM-9304616667ef5624ff5ba37d8157134d,No,,,,,,,,,,,,,,,,,,,,UCM-e368de866d252826a739104b8694b614,2017,2017,UCM-d77bde377a0cc17529d27284f1c7e0f4,Otro Tipo De Unidad,
010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,2017,55004056,"Biodiversidad, Ecologia Y Evolucion",Mujer,UCM-e5efdeef7fd0cde1207330bb77fc10d1,620,Portugal,http://www.semanticweb.org/universidata/resource/pais/portugal,https://www.wikidata.org/wiki/Q45,39.399872,-8.224454,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UCM-c74caeba77e5fcf4183e60bfcaa36079,1993,UCM-59b2e686f16b5e492c5a9b72ce7c39f7,Personal Tecnico De Apoyo A La Investigacion,Personal Tecnico De Apoyo,Universidad,Dedicacion A Tiempo Completo,10,UCM-867a35644731e05480bcd2bd91389d91,No,,,,,,,,,,,,,,,,,,,,UCM-0f4e7e5aa2c8890e05de272c682d2824,2017,2016,UCM-d4b2c8e2390790dd4b1b6b5ef78323b9,Departamento,
010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,2017,,,Hombre,UCM-c8194a42ed371266e8631c8ae476042b,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UCM-4eee1ff656415c96cb73f638cedced56,1993,UCM-3114a4d9e2676b87a5b8947c6b6bc025,"Investigador De Convocatorias Publicas Competitivas De Ambito Universitario, Local, Autonomico, Estatal O Internacional",Formacion De Personal Investigador (fpi),Administracion Central,Dedicacion A Tiempo Completo,48,UCM-dddfa80705bf5116f90188ded0ec6e1b,No,,,,,,,,,,,,,,,,,,,,UCM-fffc454a913373dcc96d8c01d7212b78,2017,2017,UCM-ecce9ec6d44db29e411c18e8055ad4f4,Departamento,
010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,2017,55004057,"Fisiologia, Genetica Y Microbiologia",Mujer,UCM-0d0e08a181286e78f1fab4e8113a8814,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UCM-2f051f05f13c72171ec5f76b8457d362,1989,UCM-1b3e26db442efea2d87024d2e3d99407,Personal Tecnico De Apoyo A La Investigacion,Personal Tecnico De Apoyo,Universidad,Dedicacion A Tiempo Parcial,12,UCM-77229614e2b94e15f5aee880e884886e,No,,,,,,,,,,,,,,,,,,,,UCM-2ae201b8f3a31ef99575d54d9edaf800,2017,2016,UCM-a44f70bbe7ad5ffd5630c6d690b4b7a6,Departamento,
010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,2017,55004091,Historia Del Arte,Hombre,UCM-85d6dacdbfe8305df43729b836367f79,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UCM-23cafcf6f5bedfe3558a8eb23180db8c,1992,UCM-3226dc9c64d0bd884d1b019662d503b7,Personal Tecnico De Apoyo A La Investigacion,Personal Tecnico De Apoyo,Universidad,Dedicacion A Tiempo Completo,12,UCM-c90d7e76489bdc0775c5cb8e81c9956a,No,,,,,,,,,,,,,,,,,,,,UCM-5ab85791d59944a28bb559f2ef0e2fc3,2017,2017,UCM-503a99a847d769097c8329ea17e2f02f,Departamento,
010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,2017,55004056,"Biodiversidad, Ecologia Y Evolucion",Hombre,UCM-a1c9dfda6af46fd7b1aa4e3124c70f7f,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UCM-aeada96ca218adb08cd2deeb01b6fda6,1985,UCM-6eee57d982e6c23da21821eb4a94a520,Personal Tecnico De Apoyo A La Investigacion,Personal Tecnico De Apoyo,Administracion Autonomica,Dedicacion A Tiempo Completo,24,UCM-fec32fb932e346021d642bb53aaaba84,No,,,,,,,,,,,,,,,,,,,,UCM-a68992da70f6cfc1cf41154e1fbe07db,2017,2016,UCM-292a5f54e8cecec0b21db108da63a0cb,Departamento,
010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,2017,,,Mujer,UCM-c82c0cc4ba11b81bc4a7f59f28b3ec6f,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UCM-68a2148f869634a83562502de2873a25,1991,UCM-14f547f6abc92e3bd43cdd4b50367971,"Investigador Con Cargo A Proyectos De Investigacion, Art. 83 Y A Grupos De Investigacion",Otro Investigador Postdoctoral (ya Sea En Formacion O En Contratacion),Administracion Central,Dedicacion A Tiempo Completo,12,UCM-2dcc3b3f648728e5350486f799f0b43a,No,,,,,,,,,,,,,,,,,,,,UCM-438e1a8ab4e28b80d7d25949c421f4c2,2017,2017,UCM-923f2c0405fc3e5825b2c0775b9bb043,Departamento,
010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,2017,55004091,Historia Del Arte,Mujer,UCM-434f95da277400cd7399cf70a13cba7f,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UCM-ddd820706d17b5e3d98bb8482aafb907,1990,UCM-310f309bb37e60268280df83c4b16595,Personal Tecnico De Apoyo A La Investigacion,Personal Tecnico De Apoyo,Administracion Autonomica,Dedicacion A Tiempo Completo,12,UCM-d11db277f98098f834b96d8895fb8c14,No,,,,,,,,,,,,,,,,,,,,UCM-e3c9dfd4e6d23dc0f2b164a0acfd0e40,2017,2017,UCM-3f70b08c18770b04613bfd9e7bdab2d0,Departamento,
