id_muestra_titulacion,curso_academico,cod_universidad,des_universidad,URI_universidad,wikidata_universidad,des_tipo_estudio,des_tipo_unidad_responsable,des_unidad_responsable,wikidata_unidad_responsable,cod_unidad_responsable,cod_titulacion,des_titulacion,des_rama,des_interuniversitario,ind_rol_coordinacion,ind_impartido,anio_inicio,des_situacion_actual,des_grado_presencialidad,cod_idioma_extranjero,des_idioma_extranjero,precio_credito_1,precio_credito_2,precio_credito_3,precio_credito_4,precio_credito_5,precio_tutela,num_creditos_necesarios,num_creditos_ofertados
UHU-6bfa1caeb21bced2b58d3a75ed4b3d2e,2019-20,049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,Grado,Centro,Facultad De Humanidades,,21005964,2501839,Grado En Historia,Artes Y Humanidades,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,12.62,25.25,48.13,64.17,,,240,300
UHU-7996ddce1d193d28b0391c965f7e97b3,2019-20,049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,Grado,Centro,Facultad De Humanidades,,21005964,2501838,Grado En Filologia Hispanica,Artes Y Humanidades,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,12.62,25.25,48.13,64.17,,,240,342
UHU-7af4e500a65f6cb9dc7ea85b499414a3,2019-20,049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,Grado,Centro,Facultad De Humanidades,,21005964,2501837,Grado En Estudios Ingleses,Artes Y Humanidades,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,12.62,25.25,48.13,64.17,,,240,330
UHU-4b5fb7b933a3d75500b0516503aae97d,2019-20,049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,Grado,Centro,Facultad De Humanidades,,21005964,2502764,Grado En Gestion Cultural,Artes Y Humanidades,No Es Interuniversitario,,true,2012,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,12.62,25.25,48.13,64.17,,,240,321
UHU-0877531f9093e7d90bf7e1185209785a,2019-20,049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,Grado,Centro,Facultad De Humanidades,,21005964,2502900,Grado En Humanidades,Artes Y Humanidades,No Es Interuniversitario,,true,2013,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,12.62,25.25,48.13,64.17,,,240,318
UHU-f5547fa9b08ddcd0dcb11fc0a711b73c,2019-20,049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,Grado,Centro,"Facultad De Educacion, Psicologia Y Ciencas Del Deporte",,21005952,2501845,Grado En Educacion Infantil,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,12.62,25.25,50.84,67.79,,,240,306
UHU-ea6bd2b96781f65efe6cf21c8a21252f,2019-20,049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,Grado,Centro,"Facultad De Educacion, Psicologia Y Ciencas Del Deporte",,21005952,2501846,Grado En Educacion Primaria,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,12.62,25.25,50.84,67.79,,,240,366
UHU-51dd14e72c766d629fa148ceb6b88c2b,2019-20,049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,Grado,Centro,"Facultad De Educacion, Psicologia Y Ciencas Del Deporte",,21005952,2501843,Grado En Educacion Social,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,12.62,25.25,50.84,67.79,,,240,318
UHU-f23147198fbbf4683541c2c88e9b03e5,2019-20,049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,Grado,Centro,"Facultad De Educacion, Psicologia Y Ciencas Del Deporte",,21005952,2501840,Grado En Psicologia,Ciencias De La Salud,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,12.62,25.25,54.71,75.75,,,240,296
UHU-8797cbdb7acb0eb7b30bb6c929db2468,2019-20,049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,Grado,Centro,"Facultad De Educacion, Psicologia Y Ciencas Del Deporte",,21005952,2502566,Grado En Ciencias De La Actividad Fisica Y Del Deporte,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2011,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,12.62,25.25,50.84,67.79,,,240,300
UHU-4aec31d9ea077890fc64ba3aaf3e07df,2019-20,049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,Grado,Centro,Facultad De Enfermeria,,21003359,2501146,Grado En Enfermeria,Ciencias De La Salud,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,12.62,25.25,54.71,75.75,,,240,252
UHU-eb2ef96d73ec8b1a3893254cd1358815,2019-20,049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,Grado,Centro,Facultad De Trabajo Social,,21004376,2501148,Grado En Trabajo Social,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,12.62,25.25,48.13,64.17,,,240,294
UHU-b7a68813ab8e8df557235164286c2251,2019-20,049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,Grado,Centro,Facultad De Ciencias Del Trabajo,,21005812,2501147,Grado En Relaciones Laborales Y Recursos Humanos,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2009,Activo,Varias Modalidades,0,No Se Oferta En Idioma Extranjero,12.62,25.25,48.13,64.17,,,240,288
UHU-d019e968c62c7b643f4168c5a516f3bf,2019-20,049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,Grado,Centro,Escuela Tecnica Superior De Ingenieria,,21003414,2501853,Grado En Ingenieria Informatica,Ingenieria Y Arquitectura,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,12.62,25.25,54.71,75.75,,,240,384
UHU-b74c91af2c72427ac8de9bc51414d0f7,2019-20,049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,Grado,Centro,Escuela Tecnica Superior De Ingenieria,,21003414,2501849,Grado En Ingenieria Agricola,Ingenieria Y Arquitectura,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,12.62,25.25,54.71,75.75,,,240,312
UHU-7e2e1261cb54a44207655bddafd62887,2019-20,049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,Grado,Centro,Escuela Tecnica Superior De Ingenieria,,21003414,2501855,Grado En Ingenieria Quimica Industrial,Ingenieria Y Arquitectura,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,12.62,25.25,54.71,75.75,,,240,282
UHU-37ec956d984fbd9debcaa0ee85f7d3b2,2019-20,049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,Grado,Centro,Escuela Tecnica Superior De Ingenieria,,21003414,2501850,Grado En Ingenieria Electrica,Ingenieria Y Arquitectura,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,12.62,25.25,54.71,75.75,,,240,270
UHU-aa1b749761fac467e7c4c95a346fbd55,2019-20,049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,Grado,Centro,Escuela Tecnica Superior De Ingenieria,,21003414,2501854,Grado En Ingenieria Mecanica,Ingenieria Y Arquitectura,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,12.62,25.25,54.71,75.75,,,240,282
UHU-3c46e394ed06ce4ed251b101024e056d,2019-20,049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,Grado,Centro,Escuela Tecnica Superior De Ingenieria,,21003414,2501852,Grado En Ingenieria Forestal Y Del Medio Natural,Ingenieria Y Arquitectura,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,12.62,25.25,54.71,75.75,,,240,285
