cod_universidad,des_universidad,URI_universidad,wikidata_universidad,anio,des_tipo_personal,des_genero,id_empleado_b2,cod_pais_nacionalidad,des_pais_nacionalidad,URI_pais_nacionalidad,wikidata_pais_nacionalidad,lat_pais_nacionalidad,lon_pais_nacionalidad,cod_continente_nacionalidad,des_continente_nacionalidad,URI_continente_nacionalidad,wikidata_continente_nacionalidad,cod_agregacion_paises_nacionalidad,des_agregacion_paises_nacionalidad,URI_agregacion_paises_nacionalidad,wikidata_agregacion_paises_nacionalidad,id_empleado_b3,cod_comunidad_residencia,des_comunidad_residencia,URI_comunidad_residencia,wikidata_comunidad_residencia,cod_provincia_residencia,des_provincia_residencia,URI_provincia_residencia,wikidata_provincia_residencia,cod_municipio_residencia,des_municipio_residencia,URI_municipio_residencia,wikidata_municipio_residencia,lat_municipio_residencia,lon_municipio_residencia,id_empleado_b4,anio_nacimiento,id_empleado_b5,anio_incorporacion,id_empleado_b6,ind_otra_unidad,cod_otra_unidad,des_otra_unidad,id_empleado_b7,des_servicio_prestado,id_empleado_b8,des_cuerpo_escala_PAS,des_tipo_contrato,des_titulacion_exigida,des_dedicacion,num_horas_semanales_tiempo_parcial,id_empleado_b9,des_situacion_administrativa,id_empleado_b10,ind_cargo_remunerado,id_empleado_b11,ind_imparte_docencia,id_empleado_b12,num_trienios
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2019,Personal Laboral,Hombre,UHU-a585abc106b2481f6a2dad8b8c11f86f,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-8aab129d64fd3581369945132aabdb54,1,Andalucia,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/andalucia,https://www.wikidata.org/wiki/Q5783,21,Huelva,http://www.semanticweb.org/universidata/resource/provincia/huelva,https://www.wikidata.org/wiki/Q95015,21002,Aljaraque,http://www.semanticweb.org/universidata/resource/municipio/aljaraque,,37.27111,-7.021585,UHU-2e115dd25515eb13f72c8bf976259919,1971,UHU-27646293b708ee871e573000d2ec9a9a,1993,UHU-ba7905a7d365172025de34b966de0d10,false,,,UHU-af3376cb9e59030c9f110d98c0b7f78b,Personal Administrativo De Nivel General,UHU-92b268b02f85e519f789daa7840c5939,Personal Laboral O Personal Eventual,Contrato Indefinido O Fijo,"Diplomatura Universitaria, Ingenieria Tecnica, Arquitectura Tecnica, Formacion Profesional De 3 Grado O Equivalente",Dedicacion A Tiempo Completo,,UHU-824944d20d06098e1e4f2e220c396f62,Servicio Activo,UHU-7bdc2cc37400706b05ea00d86a48a714,false,UHU-d41ddb1912cea6499d9a2abf5714ba68,false,UHU-f0e0d8c421b420ee516b8371fa4bfeaa,7
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2019,Personal Laboral,Hombre,UHU-4e7ae3e67ef35e78820dd684d2bacc1a,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-a046311f2af16118c1b9798eb61f9fc3,1,Andalucia,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/andalucia,https://www.wikidata.org/wiki/Q5783,21,Huelva,http://www.semanticweb.org/universidata/resource/provincia/huelva,https://www.wikidata.org/wiki/Q95015,21041,Huelva,http://www.semanticweb.org/universidata/resource/municipio/huelva,,37.2571,-6.949555,UHU-5e8bf29aa75c21a44c75d1774b5e6323,1964,UHU-11af34af5d3366e69b70d72084bea855,2004,UHU-bc8efdb786ae23e70751f0a96196c9f3,false,,,UHU-571b457bf76061b8ed4499cad46d0d66,Personal Administrativo De Nivel General,UHU-99abe963b08c574a0a28d5ed1a2c4b56,Personal Laboral O Personal Eventual,Contrato Indefinido O Fijo,"Graduado/a En Educacion Secundaria, Educacion General Basica, Formacion Profesional De Tecnico/a O Tecnico/a Auxiliar O Equivalente",Se Desconoce Por Estar En Otra Institucion (no Aplica),,UHU-4134c59d11a1707828e711c333375174,Servicio Activo,UHU-ee382bf43b6e3b40337bf4d2884e58f6,false,UHU-88517e95fd974dffe2322dfd5ded9739,false,UHU-8bb0caef783bbe7b12c4ce0cdd70dba4,10
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2019,Personal Laboral,Hombre,UHU-9f578e80523df3f28ce4cbcd999b8863,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-6b49902c647a80f31cf96a0607e3edb5,1,Andalucia,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/andalucia,https://www.wikidata.org/wiki/Q5783,21,Huelva,http://www.semanticweb.org/universidata/resource/provincia/huelva,https://www.wikidata.org/wiki/Q95015,21041,Huelva,http://www.semanticweb.org/universidata/resource/municipio/huelva,,37.2571,-6.949555,UHU-7541970402dbc639cfd5e3e3f498fc18,1959,UHU-32a046fc447daa9dbcff6a81a5215b76,2015,UHU-397b11eb20b02fc2c46c1294e52794f1,false,,,UHU-febce1bb1b5b60cf3e6afa27fc2cd55c,Personal Administrativo De Nivel General,UHU-7405d53b527af4205ae9986c1b68ed92,Personal Laboral O Personal Eventual,Contrato De Duracion Determinada,"Graduado/a En Educacion Secundaria, Educacion General Basica, Formacion Profesional De Tecnico/a O Tecnico/a Auxiliar O Equivalente",Dedicacion A Tiempo Completo,,UHU-776bdf107e09f8013cc2ed922c3626b2,Servicio Activo,UHU-676aafed38bec07c4a40d3138b444da9,false,UHU-9b5422c4107ce3e7be8419ab87c4af63,true,UHU-7f8b13a9b5d2fba9c693c31b75db1458,6
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2019,Personal Laboral,Hombre,UHU-14c3d71e84a779032877e8e455bce683,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-a25d6090838fb5f860a3e995619cc3b6,1,Andalucia,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/andalucia,https://www.wikidata.org/wiki/Q5783,21,Huelva,http://www.semanticweb.org/universidata/resource/provincia/huelva,https://www.wikidata.org/wiki/Q95015,21002,Aljaraque,http://www.semanticweb.org/universidata/resource/municipio/aljaraque,,37.27111,-7.021585,UHU-1f7abf283ceeacf050d435d95a1d1762,1968,UHU-66a7e280ceef6fece052ea39715f4d26,2004,UHU-177a9267ee35748a42a057a7d41b84a9,false,,,UHU-0871dfad6dc3467696902594d865da85,Personal Administrativo De Nivel General,UHU-db2a9941a195dc03001ff980a39cc1b6,Personal Laboral O Personal Eventual,Contrato Indefinido O Fijo,"Bachillerato, Bachillerato Unificado Polivalente, Formacion Profesional De Tecnico/a Superior O Tecnico/a Especialista O Equivalente",Dedicacion A Tiempo Completo,,UHU-d12b8c660d53c182cfd9af8602fc9cdf,Servicio Activo,UHU-e83269535fd49fbffb54954fdc817c8c,false,UHU-66142a7fef71504c8f09d5602adbeafd,false,UHU-b012729c1e7667f5a1bc7a265528e365,8
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2019,Personal Laboral,Hombre,UHU-feea38a232a771efc8b60ef586c883d6,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-17fdc840673787eb4478bd9c1b3eb760,1,Andalucia,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/andalucia,https://www.wikidata.org/wiki/Q5783,21,Huelva,http://www.semanticweb.org/universidata/resource/provincia/huelva,https://www.wikidata.org/wiki/Q95015,21002,Aljaraque,http://www.semanticweb.org/universidata/resource/municipio/aljaraque,,37.27111,-7.021585,UHU-50c95f409c928555532cc9e3cb1dd17d,1965,UHU-60b64e6d0ed27bef973cb2f144a7bbf2,2007,UHU-13315ed01dcf75827b430807043f2c89,false,,,UHU-a09e9231e869ff738063fb446e1a8347,,UHU-3974fc9c64d17c846c89b7d10255c5b1,Personal Laboral O Personal Eventual,Contrato Indefinido O Fijo,"Bachillerato, Bachillerato Unificado Polivalente, Formacion Profesional De Tecnico/a Superior O Tecnico/a Especialista O Equivalente",Dedicacion A Tiempo Completo,,UHU-c0720bc6fa2e15841d4fb19eca22c6d2,Servicio Activo,UHU-ae8dc701193ca29757e0ef17ef8a044f,false,UHU-3c528aea8bb56c1ab2f31c87914917ff,false,UHU-fcc01016fcabb79966205a3155ae12c8,7
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2019,Personal Laboral,Hombre,UHU-521258663b5b8d36170ed31897607905,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-524999aaa82e8834ff4c465afb75914e,1,Andalucia,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/andalucia,https://www.wikidata.org/wiki/Q5783,21,Huelva,http://www.semanticweb.org/universidata/resource/provincia/huelva,https://www.wikidata.org/wiki/Q95015,21002,Aljaraque,http://www.semanticweb.org/universidata/resource/municipio/aljaraque,,37.27111,-7.021585,UHU-0aeeed0044f22696e2989ca3f24f8a10,1960,UHU-0390e67b16df3c09553eee8919109bae,1993,UHU-a239ade0a5ba685597ba355bc62736a4,false,,,UHU-f09cc781ee7258ed98abdf9e67adfaf0,Personal Administrativo De Nivel General,UHU-d7d401db65996411c1516b8878f115c9,Personal Laboral O Personal Eventual,Contrato Indefinido O Fijo,"Diplomatura Universitaria, Ingenieria Tecnica, Arquitectura Tecnica, Formacion Profesional De 3 Grado O Equivalente",Dedicacion A Tiempo Completo,,UHU-779644aee10846939a405405b50e04c6,Servicio Activo,UHU-5fc8b5c74a5c69dd443f1f8e1988b897,false,UHU-3225e232839f37ea9efad626ad98244a,false,UHU-eed4dea9b5c2bfa1fc7d4590ff863e58,7
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2019,Personal Laboral,Hombre,UHU-b65dc75871afc04b84b286b3532e7a70,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-2a5fc00ac4dbae3f9d861bf087b6a202,1,Andalucia,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/andalucia,https://www.wikidata.org/wiki/Q5783,21,Huelva,http://www.semanticweb.org/universidata/resource/provincia/huelva,https://www.wikidata.org/wiki/Q95015,21041,Huelva,http://www.semanticweb.org/universidata/resource/municipio/huelva,,37.2571,-6.949555,UHU-66d10aef5cce2cf17c07860a0ce86637,1960,UHU-a123b22918d034bd3d5a16191355caad,2019,UHU-fbcae51ed7a0f7831c24804ab8e52df7,false,,,UHU-bc1b4a4e94130439223f45b0845bcf52,Personal Administrativo De Nivel General,UHU-071de1d1226b9e7f54a5f0a3db085bf6,Personal Laboral O Personal Eventual,Contrato Indefinido O Fijo,"Diplomatura Universitaria, Ingenieria Tecnica, Arquitectura Tecnica, Formacion Profesional De 3 Grado O Equivalente",Dedicacion A Tiempo Completo,,UHU-9531a4a6c78cd8aa16462697ae382fbf,Excedencia,UHU-7bb571d055c2e92d770af1e6e5a0f206,false,UHU-ee6b57d0c02939a0fd0b5af108878e0e,false,UHU-b28b66c2b3982b6eeeb53451c9008706,5
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2019,Personal Laboral,Hombre,UHU-4fc3eae77645ccfde18186fcc238b0a9,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-9472928514deb791f071844f808cf006,1,Andalucia,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/andalucia,https://www.wikidata.org/wiki/Q5783,21,Huelva,http://www.semanticweb.org/universidata/resource/provincia/huelva,https://www.wikidata.org/wiki/Q95015,21035,Gibraleon,http://www.semanticweb.org/universidata/resource/municipio/gibraleon,,37.37495,-6.970141,UHU-0083bc4ef3af180e95d91399cade0b8e,1971,UHU-95a59bfc8bc86313e950e410b071da59,2001,UHU-9819c954eb37950c647875be384a9f82,false,,,UHU-297414a1bb01d7707439b2f68ff4e8b5,Personal De Mantenimiento Y Servicios,UHU-b50c4e82e6297277c46126d10cdc6043,Personal Laboral O Personal Eventual,Contrato Indefinido O Fijo,"Graduado/a En Educacion Secundaria, Educacion General Basica, Formacion Profesional De Tecnico/a O Tecnico/a Auxiliar O Equivalente",Dedicacion A Tiempo Completo,,UHU-eac81865931bc1c1f06c12a78cf676ed,Servicio Activo,UHU-5dcc039746731c1721337bec845059b7,false,UHU-aed07876a2616071856092fbfc7de006,false,UHU-d7d921d8f2b83a087e9ae3b4e5c0620e,9
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2019,Personal Laboral,Hombre,UHU-8163957fc69d4c10b72eba8c901015a6,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-dfa50187245326499ba3073390d0f7ea,1,Andalucia,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/andalucia,https://www.wikidata.org/wiki/Q5783,21,Huelva,http://www.semanticweb.org/universidata/resource/provincia/huelva,https://www.wikidata.org/wiki/Q95015,21041,Huelva,http://www.semanticweb.org/universidata/resource/municipio/huelva,,37.2571,-6.949555,UHU-16509742caef14230132433f565f1a88,1959,UHU-bc518aa4d2d3a72411de6cb6c9944e5f,1997,UHU-54bb017915857c356e0c488a24b0bdd2,false,,,UHU-84f64fe1c4c5e9e2663a537baeb18ed0,Asistente Auxiliar De Investigacion,UHU-3238ab7e6c7dec071117bf2752d2122b,Personal Laboral O Personal Eventual,Contrato Indefinido O Fijo,"Bachillerato, Bachillerato Unificado Polivalente, Formacion Profesional De Tecnico/a Superior O Tecnico/a Especialista O Equivalente",Dedicacion A Tiempo Completo,,UHU-0618c1741c62e802df0e6d4b7fbac3ec,Servicio Activo,UHU-3f7f0a24a76a2fe952ec9a5eba5487c2,false,UHU-94d9792b03c5b8736bfbcb1838a85cc7,false,UHU-13eec43fa426681a1e4e5d6acb55a990,3
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2019,Personal Laboral,Hombre,UHU-e8711c4da2a1fe4f3604c32c1836d515,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-a34bd5e0bccfb3e61b4ef189c147de36,1,Andalucia,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/andalucia,https://www.wikidata.org/wiki/Q5783,21,Huelva,http://www.semanticweb.org/universidata/resource/provincia/huelva,https://www.wikidata.org/wiki/Q95015,21041,Huelva,http://www.semanticweb.org/universidata/resource/municipio/huelva,,37.2571,-6.949555,UHU-62fb3a8b375929706b119c69af80e67e,1963,UHU-2c6cbaea0cd2a2a74003d4bd4061effb,1998,UHU-4219196f70947580b1995da0e81f335d,false,,,UHU-23a1de3873dfeb8bd1c446a1d2f6be46,Personal Profesional Educativo,UHU-c8d899cdf5c1879277a5d4cb1bc2baec,Personal Laboral O Personal Eventual,Contrato Indefinido O Fijo,"Bachillerato, Bachillerato Unificado Polivalente, Formacion Profesional De Tecnico/a Superior O Tecnico/a Especialista O Equivalente",Se Desconoce Por Estar En Otra Institucion (no Aplica),,UHU-cf85c2d2173cbcc156dc2703b6570089,Servicio Activo,UHU-c075b0f7e9d41e22d6009074c6f3d228,false,UHU-9ac0642efbdf2bbd6673ac5ce4b0530f,false,UHU-65d83498de0d7f088485740112372785,8
