cod_universidad,des_universidad,URI_universidad,wikidata_universidad,anio,des_genero,cod_unidad_responsable,des_unidad_responsable,id_empleado_b2,cod_pais_nacionalidad,des_pais_nacionalidad,URI_pais_nacionalidad,wikidata_pais_nacionalidad,lat_pais_nacionalidad,lon_pais_nacionalidad,cod_continente_nacionalidad,des_continente_nacionalidad,URI_continente_nacionalidad,wikidata_continente_nacionalidad,cod_agregacion_paises_nacionalidad,des_agregacion_paises_nacionalidad,URI_agregacion_paises_nacionalidad,wikidata_agregacion_paises_nacionalidad,id_empleado_b3,cod_comunidad_residencia,des_comunidad_residencia,URI_comunidad_residencia,wikidata_comunidad_residencia,cod_provincia_residencia,des_provincia_residencia,URI_provincia_residencia,wikidata_provincia_residencia,cod_municipio_residencia,des_municipio_residencia,URI_municipio_residencia,wikidata_municipio_residencia,lat_municipio_residencia,lon_municipio_residencia,id_empleado_b4,anio_nacimiento,id_empleado_b5,des_tipo_personal,des_categoria_cuerpo_escala,des_tipo_contrato,des_dedicacion,num_horas_semanales_tiempo_parcial,des_situacion_administrativa,id_empleado_b6,ind_cargo_remunerado,id_empleado_b7,des_cuantia_titulo_doctorado,cod_pais_doctorado,des_pais_doctorado,URI_pais_doctorado,wikidata_pais_doctorado,lat_pais_doctorado,lon_pais_doctorado,cod_continente_doctorado,des_continente_doctorado,URI_continente_doctorado,wikidata_continente_doctorado,cod_agregacion_paises_doctorado,des_agregacion_paises_doctorado,URI_agregacion_paises_doctorado,wikidata_agregacion_paises_doctorado,cod_universidad_doctorado,des_universidad_doctorado,URI_universidad_doctorado,wikidata_universidad_doctorado,anio_lectura_tesis,anio_expedicion_titulo_doctor,ind_mencion_europea,id_empleado_b8,des_tipo_unidad_responsable,des_area_conocimiento,id_empleado_b9,anio_incorporacion_ap,anio_incorpora_cuerpo_docente,num_trienios,num_quinquenios,num_sexenios,id_empleado_b10,num_tesis,id_empleado_b11,ind_investigador_principal
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2019,Hombre,55003969,"Psicologia Social, Evolutiva Y De La Educacion",UHU-8c5f95267a3bc781130368ca6b63f6b7,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-bef7c7f1a16519796e0f8b6bdc857714,1,Andalucia,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/andalucia,https://www.wikidata.org/wiki/Q5783,21,Huelva,http://www.semanticweb.org/universidata/resource/provincia/huelva,https://www.wikidata.org/wiki/Q95015,21041,Huelva,http://www.semanticweb.org/universidata/resource/municipio/huelva,,37.2571,-6.949555,UHU-7ef0f70cf63ff60d301adc4e6a8a8364,1959,UHU-26736cb4c9d2f3d1d4bf63b60c659574,Funcionario De Carrera,Catedratico De Escuela Universitaria,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,Servicio Activo,UHU-1c169d2a1c225c28442c06627edfb442,false,UHU-62f4f3cb91a92fd65ce7f51e2ef18289,Uno,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,,2005,false,UHU-151b2d1621dcbe01c18df64b2211f2af,Departamento,Psicologia Evolutiva Y De La Educacion,UHU-e52b0d55ae8832ab0f9003738d9224ca,1983,1987,12,6,0,UHU-36f8c67ebce061c7ad47f31d24cf0931,,UHU-58515c6975eac494e932f7f2432889eb,false
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2019,Hombre,55003969,"Psicologia Social, Evolutiva Y De La Educacion",UHU-08f45d2f45f4f732259976a3e221befd,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-37ae7af97f6b259cbb062e802a4cf32f,1,Andalucia,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/andalucia,https://www.wikidata.org/wiki/Q5783,21,Huelva,http://www.semanticweb.org/universidata/resource/provincia/huelva,https://www.wikidata.org/wiki/Q95015,21035,Gibraleon,http://www.semanticweb.org/universidata/resource/municipio/gibraleon,,37.37495,-6.970141,UHU-910c44795df8b2231c82d90985a6ae42,1957,UHU-afc53c74e9eacb4c5516f651b98fc762,Personal Laboral,Profesor Asociado,Contrato De Duracion Determinada,Dedicacion A Tiempo Parcial,12,Servicio Activo,UHU-39fa82e1f05f3e85c59999d05595d5b8,false,UHU-5a8d0e025deb23656eab6b9c46250834,Uno,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,,2017,false,UHU-09598f4e4c79d6bdeb2185b756f90cf3,Departamento,Psicologia Social,UHU-91e8493d1c39bc3150e041f0a9c6e942,1979,1993,13,6,1,UHU-5a61eb3d6f386edc44588f4671fef427,,UHU-cd165157c25a94c996dc09a15a41a347,true
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2019,Hombre,55003969,"Psicologia Social, Evolutiva Y De La Educacion",UHU-96c58cfcff30ca9f9d1ba4e641f61652,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-c099f3363a801ccc71e5ad7186bdfced,1,Andalucia,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/andalucia,https://www.wikidata.org/wiki/Q5783,21,Huelva,http://www.semanticweb.org/universidata/resource/provincia/huelva,https://www.wikidata.org/wiki/Q95015,21041,Huelva,http://www.semanticweb.org/universidata/resource/municipio/huelva,,37.2571,-6.949555,UHU-08935cf5c1be76e330539c7bd0653470,1958,UHU-2f597ea449c6895c642b05b9f13c88d5,Personal Laboral,Profesor Asociado,Contrato De Duracion Determinada,Dedicacion A Tiempo Parcial,12,Servicio Activo,UHU-3ddebdd685b7a263e3fff74704c42fd9,false,UHU-5463e0bd24d6784a46c4732ff3bbb9e6,Uno,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,,2014,false,UHU-e4b03faffee74220ce23c2438f645fa7,Departamento,Psicologia Evolutiva Y De La Educacion,UHU-4d4e98eeb12ebbced4c9ba71af90fc56,,,1,0,0,UHU-0628afc659f309bb02c28093d8906745,,UHU-9309ef552691502e5438ffdc82b7059e,false
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2019,Hombre,55003969,"Psicologia Social, Evolutiva Y De La Educacion",UHU-f27a30454e113b74d1c2f24f9d991bd7,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-82f600730af65e938e5637cbd01d3dd6,1,Andalucia,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/andalucia,https://www.wikidata.org/wiki/Q5783,21,Huelva,http://www.semanticweb.org/universidata/resource/provincia/huelva,https://www.wikidata.org/wiki/Q95015,21041,Huelva,http://www.semanticweb.org/universidata/resource/municipio/huelva,,37.2571,-6.949555,UHU-1d2d3aea17f1e186bb165db093295e0d,1974,UHU-ca4393c8af6318d15708eecab4e4a6c1,Funcionario De Carrera,Catedratico De Escuela Universitaria,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,Servicio Activo,UHU-9e3000595931a488770523e9c4935540,false,UHU-c8de6441bcdc8e617029e2c27ec91e46,Uno,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,028,Universidad Nacional De Educacion A Distancia,http://www.semanticweb.org/universidata/resource/universidad/universidad-nacional-de-educacion-a-distancia,https://www.wikidata.org/wiki/Q421739,,2019,false,UHU-86f37156c1acc20dcc44481bbbd2d62f,Departamento,Psicologia Evolutiva Y De La Educacion,UHU-903a91524c9e9eec3c8d5ba91636617b,,,3,0,0,UHU-7fc1d52a967e7ff65a20ee2d54435e27,,UHU-9e470bbd1a47b81f7095138f6895c264,false
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2019,Hombre,55003969,"Psicologia Social, Evolutiva Y De La Educacion",UHU-a2004637983492c9d9e41145f137c603,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-5ee95a29f9b9ae9ebfe234069bf14444,1,Andalucia,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/andalucia,https://www.wikidata.org/wiki/Q5783,41,Sevilla,http://www.semanticweb.org/universidata/resource/provincia/sevilla,https://www.wikidata.org/wiki/Q95088,41091,Sevilla,http://www.semanticweb.org/universidata/resource/municipio/sevilla,,37.38264,-5.996295,UHU-97e32542bd4fb52b33c712f621da34e4,1954,UHU-c3e4e630429ceb6718b18072c117a698,Personal Laboral,Profesor Sustituto,Contrato De Duracion Determinada,Dedicacion A Tiempo Parcial,8,Servicio Activo,UHU-eefb1ec5e9607c64cc06f683d4026117,false,UHU-712f2424892849c0c80ceb37970f04cf,Uno,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,058,Universidad Pablo De Olavide,http://www.semanticweb.org/universidata/resource/universidad/universidad-pablo-de-olavide,https://www.wikidata.org/wiki/Q477988,,2014,false,UHU-f59e4468a08cf8d51c0282d3a53ef0ce,Departamento,Psicologia Evolutiva Y De La Educacion,UHU-c114c892d80d4373eb815f972fefe661,,,0,0,0,UHU-ba044471f1fa22069e85e06a7c4ac445,,UHU-85b05ff75cad5becccbb8a2d03ecd59a,false
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2019,Hombre,55003969,"Psicologia Social, Evolutiva Y De La Educacion",UHU-d9a6fbf6d4abd4a431b40f5a3ce3fd79,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-bcbbe0006217fbfd89da3867e0e50b9c,1,Andalucia,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/andalucia,https://www.wikidata.org/wiki/Q5783,21,Huelva,http://www.semanticweb.org/universidata/resource/provincia/huelva,https://www.wikidata.org/wiki/Q95015,21002,Aljaraque,http://www.semanticweb.org/universidata/resource/municipio/aljaraque,,37.27111,-7.021585,UHU-2ad1d689df1ba83708870e412fbbc4e8,1963,UHU-57a1e1a9e2c119a068ba09bd3df743c4,Funcionario De Carrera,Catedratico De Universidad,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,Servicio Activo,UHU-b5f5f9e3eaa5e1b6b17d429a4fd7cd40,false,UHU-d5f0d2a576439201e74250ed51e7171e,Uno,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,017,Universidad De Sevilla,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-sevilla,https://www.wikidata.org/wiki/Q1229996,,2000,false,UHU-28f87f2f8945df932e9417385cf3b124,Departamento,Psicologia Social,UHU-46b6de680a167a277d893771f194ab0b,1980,1996,13,6,4,UHU-6033e7e2a83b7c3a977df524a622731c,,UHU-e7bc63e8a765027dec2c365ea7ac8cae,false
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2019,Hombre,55003969,"Psicologia Social, Evolutiva Y De La Educacion",UHU-40785ab93e1fa84df3eb6eeafe7068eb,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-5cc792be6d32b58cf991ff562df5574b,1,Andalucia,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/andalucia,https://www.wikidata.org/wiki/Q5783,21,Huelva,http://www.semanticweb.org/universidata/resource/provincia/huelva,https://www.wikidata.org/wiki/Q95015,21064,San Juan Del Puerto,http://www.semanticweb.org/universidata/resource/municipio/san-juan-del-puerto,,37.31416,-6.840784,UHU-40a18f9b22348adca0fe476661da067f,1985,UHU-63a3e148b77a3039972387910a96d8d9,Personal Laboral,Profesor Asociado,Contrato De Duracion Determinada,Dedicacion A Tiempo Parcial,4,Servicio Activo,UHU-d1a3b7fbb42eac0bbd0a1762d86bd12c,false,UHU-08acdf5da83184d70fcb270d674999f8,Uno,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,,2003,false,UHU-6f560204b7b907c04b23dca9f08be0fb,Departamento,Psicologia Evolutiva Y De La Educacion,UHU-a3fff967bae072838d28bc830b0af942,,,2,0,0,UHU-885448a2828f6e036bc7177d20099398,,UHU-f5ca7c26c7f682edf8760127978940ea,false
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2019,Hombre,55003969,"Psicologia Social, Evolutiva Y De La Educacion",UHU-f19eaac72ec19eaf38f646298f19b712,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-606014e3eb80f6c7a5e8b1bdda44edf5,1,Andalucia,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/andalucia,https://www.wikidata.org/wiki/Q5783,41,Sevilla,http://www.semanticweb.org/universidata/resource/provincia/sevilla,https://www.wikidata.org/wiki/Q95088,41004,Alcala De Guadaira,http://www.semanticweb.org/universidata/resource/municipio/alcala-de-guadaira,,37.33833,-5.844032,UHU-fc6be1bbc74bda868658a147e8cdab42,1969,UHU-5a21db0e8eb5fcd5f646e909f6a900d8,Personal Laboral,Profesor Ayudante Doctor,Contrato De Duracion Determinada,Dedicacion A Tiempo Completo,,Servicio Activo,UHU-626240e33815c0f4f4dd78d631ee3bc8,false,UHU-4d5544023eae6f2376e01e92c422e9d5,Uno,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,017,Universidad De Sevilla,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-sevilla,https://www.wikidata.org/wiki/Q1229996,,1999,false,UHU-5a4960c1cd5520ffae550c0ee05b3fb5,Departamento,Psicologia Social,UHU-7a2bc514d561ef6a0034d5054d962498,1981,2018,12,1,2,UHU-3475734885c418db015bf9cab8126e7f,,UHU-db60524a172065a9ec276f069091e967,false
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2019,Hombre,55003969,"Psicologia Social, Evolutiva Y De La Educacion",UHU-493fb6e3b08196c13f36af0708ee4d21,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-31f93443743d89d6e5fb9ff659fed79c,1,Andalucia,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/andalucia,https://www.wikidata.org/wiki/Q5783,21,Huelva,http://www.semanticweb.org/universidata/resource/provincia/huelva,https://www.wikidata.org/wiki/Q95015,21041,Huelva,http://www.semanticweb.org/universidata/resource/municipio/huelva,,37.2571,-6.949555,UHU-471a51368066ad2c07edf8fcbe9576cf,1956,UHU-ddf35da9c45e214ccf66bd20a0c83df6,Personal Laboral,Profesor Asociado,Contrato De Duracion Determinada,Dedicacion A Tiempo Parcial,12,Servicio Activo,UHU-597f73d3cf5a1bd88b379447626e1354,false,UHU-0e948b30e67e14e35a9aa94d6adc67a1,Uno,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,028,Universidad Nacional De Educacion A Distancia,http://www.semanticweb.org/universidata/resource/universidad/universidad-nacional-de-educacion-a-distancia,https://www.wikidata.org/wiki/Q421739,,2017,false,UHU-76d0752163968c45afcd343a5c18a757,Departamento,Psicologia Social,UHU-f1156fe7e81caee74f84adc20ac32963,,,0,0,0,UHU-6107bffff664e140aaf67df3f4df9776,,UHU-86ab6fe9c134def19ba63fcfdd88592c,false
049,Universidad De Huelva,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-huelva,https://www.wikidata.org/wiki/Q478464,2019,Hombre,55003969,"Psicologia Social, Evolutiva Y De La Educacion",UHU-4248f61b7c81f171341ae5cb30019e24,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UHU-aed10c3e97b1a42d8f07984ad55f96fc,1,Andalucia,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/andalucia,https://www.wikidata.org/wiki/Q5783,41,Sevilla,http://www.semanticweb.org/universidata/resource/provincia/sevilla,https://www.wikidata.org/wiki/Q95088,41091,Sevilla,http://www.semanticweb.org/universidata/resource/municipio/sevilla,,37.38264,-5.996295,UHU-4c45c9418a34576d628254dd970c0b7c,1965,UHU-0636a239fe653ed955eead2095ce07c8,Funcionario De Carrera,Profesor Titular De Universidad,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,Servicio Activo,UHU-bad2b990b23bef395e92d2f19ec4fc05,false,UHU-bb1f414dddc6469dd69f1d123ac0bdbd,No,,,,,,,,,,,,,,,,,,,,,,UHU-b869d0e7631fa5fff0c5623c7adea4af,Departamento,Psicologia Social,UHU-fb34c57dc9d4519994152f4a38d93021,1981,1995,12,6,0,UHU-bcc33fd64650eb2024fcb3b60beeddcf,,UHU-7294cdd54f31e06f277c2eb9132ce5a9,false
