cod_universidad_origen,des_universidad_origen,URI_universidad_origen,wikidata_universidad_origen,curso_academico,cod_titulacion_origen,des_titulacion_origen,des_genero,id_matricula_b2,des_tipo_programa_mov,des_programa_movilidad,id_matricula_b3,cod_pais_nacionalidad,des_pais_nacionalidad,URI_pais_nacionalidad,wikidata_pais_nacionalidad,lat_pais_nacionalidad,lon_pais_nacionalidad,cod_continente_nacionalidad,des_continente_nacionalidad,URI_continente_nacionalidad,wikidata_continente_nacionalidad,cod_agregacion_paises_nacionalidad,des_agregacion_paises_nacionalidad,URI_agregacion_paises_nacionalidad,wikidata_agregacion_paises_nacionalidad,id_matricula_b4,anio_nacimiento,id_matricula_b5,des_nivel_formativo_origen,id_matricula_b6,cod_universidad_destino,des_universidad_destino,URI_universidad_destino,wikidata_universidad_destino,cod_pais_univ_destino,des_pais_univ_destino,URI_pais_univ_destino,wikidata_pais_univ_destino,lat_pais_univ_destino,lon_pais_univ_destino,cod_continente_univ_destino,des_continente_univ_destino,URI_continente_univ_destino,wikidata_continente_univ_destino,cod_agregacion_paises_univ_destino,des_agregacion_paises_univ_destino,URI_agregacion_paises_univ_destino,wikidata_agregacion_paises_univ_destino,cod_municipio_destino,des_municipio_destino,URI_municipio_destino,wikidata_municipio_destino,lat_municipio_destino,lon_municipio_destino,cod_comunidad_destino,des_comunidad_destino,URI_comunidad_destino,wikidata_comunidad_destino,cod_provincia_destino,des_provincia_destino,URI_provincia_destino,wikidata_provincia_destino,des_ambito_univ_destino,id_matricula_b7,mes_inicio_programa,mes_fin_programa
056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,2018-19,2500091,Grado En Medicina,Mujer,URJC-2df12168066c534ca4fcce428c6e970e,,Sicue-seneca,URJC-7186d71551bde2543580eea5d7add1e9,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,URJC-629cfb34eaa3de9032d14dfdc89d3372,1996,URJC-f28f6c58daddda16798ee5ed5602af64,Grado,URJC-e633871e602132c7cc7ed81460997d39,Uk Manches01,The University Of Manchester,http://www.semanticweb.org/universidata/resource/universidad/the-university-of-manchester,https://www.wikidata.org/wiki/Q230899,826,Reino Unido De Gran Bretana E Irlanda Del Norte,http://www.semanticweb.org/universidata/resource/pais/reino-unido-de-gran-bretana-e-irlanda-del-norte,https://www.wikidata.org/wiki/Q145,55.378051,-3.435973,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,154,Europa Septentrional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-septentrional,https://www.wikidata.org/wiki/Q27479,,Manchester,http://www.semanticweb.org/universidata/resource/municipio/manchester,https://www.wikidata.org/wiki/Q18125,,,,,,,,,,,,URJC-ac19cb61ac92db9dc575240d22a3f1f7,2018-09-01,2019-10-01
056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,2018-19,2500091,Grado En Medicina,Mujer,URJC-63560357ba3fd5755d797d93e76d2b27,,Otras Fuera De La Ue,URJC-85b2815ef06a08351c36eb8f88d7a71e,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,URJC-f0b27336beb4bde0eaeff3ba51e0cf0d,1995,URJC-e97b221c1a3f976a7a1c752396f6e1b3,Grado,URJC-6a6f29664318e6399f50009113ac0545,Pl Warszaw06,Warszawski Uniwersytet Medyczny,http://www.semanticweb.org/universidata/resource/universidad/warszawski-uniwersytet-medyczny,,616,Polonia,http://www.semanticweb.org/universidata/resource/pais/polonia,https://www.wikidata.org/wiki/Q36,51.919438,19.145136,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,151,Europa Oriental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-oriental,https://www.wikidata.org/wiki/Q27468,,Warszawa,http://www.semanticweb.org/universidata/resource/municipio/warszawa,https://www.wikidata.org/wiki/Q270,,,,,,,,,,,,URJC-144e9096aaf056c6489d31ba130fa0c7,2018-09-01,2019-06-01
056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,2018-19,2500091,Grado En Medicina,Mujer,URJC-64771a01eb4530aad51748e3c184805f,,Erasmus,URJC-62e5b5c8dce61dbb2a6c9bddb7f50b8f,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,URJC-152160c8a84142875b8c8126bd55d9d3,1993,URJC-f1d217d7f743b64af7ea954146441824,Grado,URJC-825f6c5e994c55c708894ba4d0849520,015,Universidad De La Laguna,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-la-laguna,https://www.wikidata.org/wiki/Q539881,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,38023,San Cristobal De La Laguna,http://www.semanticweb.org/universidata/resource/municipio/san-cristobal-de-la-laguna,https://www.wikidata.org/wiki/Q54898,28.48812,-16.31478,5,Canarias,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/canarias,https://www.wikidata.org/wiki/Q5813,38,Santa Cruz De Tenerife,http://www.semanticweb.org/universidata/resource/provincia/santa-cruz-de-tenerife,https://www.wikidata.org/wiki/Q99976,,URJC-b6b23226571152a1ef294c43f0c19516,2018-09-01,2019-06-01
056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,2018-19,2500091,Grado En Medicina,Mujer,URJC-cdffc692a9352bce71b03ba9e34acc6b,,Erasmus,URJC-32620a2d0c65c9024335fe1aaf195292,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,URJC-30794f626debe357edd8c80797a958b8,1996,URJC-75284aabe4dbf48a13e9828723cda92d,Grado,URJC-23b8d8434070713454fc87a97829edbb,F Bordeau58,Universite De Bordeaux,http://www.semanticweb.org/universidata/resource/universidad/universite-de-bordeaux,https://www.wikidata.org/wiki/Q13344,250,Francia,http://www.semanticweb.org/universidata/resource/pais/francia,https://www.wikidata.org/wiki/Q142,46.227638,2.213749,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,,Talence,http://www.semanticweb.org/universidata/resource/municipio/talence,https://www.wikidata.org/wiki/Q49466333,,,,,,,,,,,,URJC-854f1872da4589a6c842de90aa961cc7,2018-09-01,2019-09-01
056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,2018-19,2500091,Grado En Medicina,Mujer,URJC-d6f75df7b2ce850c9aa1b3506189f201,,Erasmus,URJC-688c9a32326ec443afa9ef681b011907,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,URJC-b8a562283086a73af0b977dd260ab066,1996,URJC-0f6afba402592096e525879974114571,Grado,URJC-8238f83fcabf72b099bb0522f91e647a,,,,,484,Mexico,http://www.semanticweb.org/universidata/resource/pais/mexico,https://www.wikidata.org/wiki/Q96,23.634501,-102.552784,019,Americas,http://www.semanticweb.org/universidata/resource/continente/americas,https://www.wikidata.org/wiki/Q828,419,America Latina Y El Caribe,http://www.semanticweb.org/universidata/resource/agregacion-paises/america-latina-y-el-caribe,https://www.wikidata.org/wiki/Q72829598,,,,,,,,,,,,,,,,URJC-9ccc7d0c0ee9cf583fc8a307cdc9d351,2018-09-01,2019-07-01
056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,2018-19,2500091,Grado En Medicina,Mujer,URJC-21131ba3c66bab3080c1b212b7db15c2,,Erasmus,URJC-ea7e794122927718a08a53c56e3824d1,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,URJC-1d0001c29b0a97e3e807e5c510deaba0,1995,URJC-b3beb92dc62b46afb0514e7006cac3fc,Grado,URJC-a13d8e620a19e0c9e9af6b1e0ade5ac1,Uk Manches01,The University Of Manchester,http://www.semanticweb.org/universidata/resource/universidad/the-university-of-manchester,https://www.wikidata.org/wiki/Q230899,826,Reino Unido De Gran Bretana E Irlanda Del Norte,http://www.semanticweb.org/universidata/resource/pais/reino-unido-de-gran-bretana-e-irlanda-del-norte,https://www.wikidata.org/wiki/Q145,55.378051,-3.435973,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,154,Europa Septentrional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-septentrional,https://www.wikidata.org/wiki/Q27479,,Manchester,http://www.semanticweb.org/universidata/resource/municipio/manchester,https://www.wikidata.org/wiki/Q18125,,,,,,,,,,,,URJC-12db09937f64d526e07fdd3279e98439,2018-09-01,2019-07-01
056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,2018-19,2500091,Grado En Medicina,Mujer,URJC-dbe02eab9392d1f2f4d0ea3230da808b,,Erasmus,URJC-179eaf31b6d7a0b31f6cd702feade5a3,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,URJC-c057816cb1f20ecb0f71e0dbdb59caaa,1995,URJC-7ab3ee450714e98a47863d71ec950ef1,Grado,URJC-d562e71fc20f412dc34dca373cb19d8d,I L-aquil01,Universita  Degli Studi Dell aquila,http://www.semanticweb.org/universidata/resource/universidad/universita-degli-studi-dell-aquila,https://www.wikidata.org/wiki/Q1494671,380,Italia,http://www.semanticweb.org/universidata/resource/pais/italia,https://www.wikidata.org/wiki/Q38,41.87194,12.56738,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,,L aquila,http://www.semanticweb.org/universidata/resource/municipio/l-aquila,https://www.wikidata.org/wiki/Q3476,,,,,,,,,,,,URJC-76247a3286c3ac6dbeca62ff427de8c9,2018-09-01,2019-07-01
056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,2018-19,2500170,Grado En Comunicacion Audiovisual,Mujer,URJC-19c5b32e4fced6019b8e486e0b93ac77,,Otras Fuera De La Ue,URJC-d0bb5494e983e891d91123eec78fb12a,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,URJC-97e286703c064c810740328edb9a1005,1998,URJC-9dff50a9c161458ab355b90c58aeee21,Grado,URJC-7560c6d8ebc0358df98460407cd8cc26,D Hamburg06,Hochschule Fuer Angewandte Wissenschaften Hamburg,http://www.semanticweb.org/universidata/resource/universidad/hochschule-fuer-angewandte-wissenschaften-hamburg,,276,Alemania,http://www.semanticweb.org/universidata/resource/pais/alemania,https://www.wikidata.org/wiki/Q183,51.165691,10.451526,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,,Hamburg,http://www.semanticweb.org/universidata/resource/municipio/hamburg,https://www.wikidata.org/wiki/Q1055,,,,,,,,,,,,URJC-8512b4be3c2ddad3fc4dd9b31ed6bb49,2018-09-01,2019-06-01
056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,2018-19,2500170,Grado En Comunicacion Audiovisual,Mujer,URJC-034f4ecbfd9f77382b3030d068a23209,,Erasmus,URJC-9ab39efde0d8c1ec528d0a41d3af54e0,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,URJC-29d8bdcb831402c950c384f907e5e48a,1998,URJC-78da472900c3a21447438b0bb5a21be3,Grado,URJC-2596fdb0cdc9702ef0eccfc7a6c64c9b,I Roma01,Universita  Degli Studi Di Roma  la Sapienza ,http://www.semanticweb.org/universidata/resource/universidad/universita-degli-studi-di-roma-la-sapienza-,https://www.wikidata.org/wiki/Q209344,380,Italia,http://www.semanticweb.org/universidata/resource/pais/italia,https://www.wikidata.org/wiki/Q38,41.87194,12.56738,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,,Roma,http://www.semanticweb.org/universidata/resource/municipio/roma,https://www.wikidata.org/wiki/Q220,,,,,,,,,,,,URJC-bdd23fcaf2aeeff236c5034ae1d7d177,2018-09-01,2019-07-01
056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,2018-19,2500170,Grado En Comunicacion Audiovisual,Mujer,URJC-dfbb55f434a5d38acb3a1fc8b71a86a4,,Otras Fuera De La Ue,URJC-8e362ce726bfff52845eef43605d0697,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,URJC-d1fbff6782083f2df5128e86be078b7b,1998,URJC-0bae8e79026b68dcedd54e48809dfae7,Grado,URJC-a4a973dc2e16c80328a0a56d59155e9b,,,,,484,Mexico,http://www.semanticweb.org/universidata/resource/pais/mexico,https://www.wikidata.org/wiki/Q96,23.634501,-102.552784,019,Americas,http://www.semanticweb.org/universidata/resource/continente/americas,https://www.wikidata.org/wiki/Q828,419,America Latina Y El Caribe,http://www.semanticweb.org/universidata/resource/agregacion-paises/america-latina-y-el-caribe,https://www.wikidata.org/wiki/Q72829598,,,,,,,,,,,,,,,,URJC-4a91044f62357c5d4452f3996bbdcbc4,2018-09-01,2019-09-01
