id_muestra_titulacion,curso_academico,cod_universidad,des_universidad,URI_universidad,wikidata_universidad,des_tipo_estudio,des_tipo_unidad_responsable,des_unidad_responsable,wikidata_unidad_responsable,cod_unidad_responsable,cod_titulacion,des_titulacion,des_rama,des_interuniversitario,ind_rol_coordinacion,ind_impartido,anio_inicio,des_situacion_actual,des_grado_presencialidad,cod_idioma_extranjero,des_idioma_extranjero,precio_credito_1,precio_credito_2,precio_credito_3,precio_credito_4,precio_credito_5,precio_tutela,num_creditos_necesarios,num_creditos_ofertados
URJC-91a522972840729c775f0384cdf4a26d,2018-19,056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,Grado,Centro,Facultad De Ciencias De La Comunicacion,,28051581,2500089,Grado En Periodismo,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2008,Activo,Varias Modalidades,0,No Se Oferta En Idioma Extranjero,21.39,40.02,82.3,113.71,,,240,240
URJC-1d478991964f53248aaaf6ee179e074c,2018-19,056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,Grado,Centro,Facultad De Ciencias De La Comunicacion. Campus De Madrid,,28051621,2500089,Grado En Periodismo,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2008,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.39,40.02,82.3,113.71,,,240,240
URJC-7c7f43b580f1ad331209aa185bf110a3,2018-19,056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,Grado,Centro,Facultado De Ciencias Juridicas Y Sociales. Campus De Aranjuez,,28053851,2500090,Grado En Turismo,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2008,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.39,40.02,82.3,113.71,,,240,258
URJC-8055f1e70d76deb18185c06202b49433,2018-19,056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,Grado,Centro,Escuela Superior Eserp,,28051414,2500090,Grado En Turismo,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2008,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,10.7,20.01,41.15,56.86,,,240,258
URJC-4ea2469af46c6a81fdfa8ab2d183cc59,2018-19,056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,Grado,Centro,Facultad De Ciencias Juridicas Y Sociales. Campus Fuenlabrada,,28051517,2500090,Grado En Turismo,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2008,Activo,Varias Modalidades,0,No Se Oferta En Idioma Extranjero,21.39,40.02,82.3,113.71,,,240,258
URJC-24b52c57303c6d4824ddb451c10a6f00,2018-19,056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,Grado,Centro,Facultad De Ciencias Juridicas Y Sociales,,28049225,2500090,Grado En Turismo,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2008,Activo,Varias Modalidades,2,"Existen Planes Separados, Uno De Ellos En Ingles",21.39,40.02,82.3,113.71,,,240,258
URJC-faa535074965777273848c24c415e421,2018-19,056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,Grado,Centro,Facultad De Ciencias De La Salud,https://www.wikidata.org/wiki/Q16493008,28048373,2500091,Grado En Medicina,Ciencias De La Salud,No Es Interuniversitario,,true,2008,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,26.14,48.03,98.75,136.44,,,360,360
URJC-94b6a3569116f2f4f34220bdbed7f280,2018-19,056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,Grado,Centro,Facultad De Ciencias De La Comunicacion,,28051581,2500170,Grado En Comunicacion Audiovisual,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2008,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.39,40.02,82.3,113.71,,,240,240
URJC-70822ab693b7c0a5bb8c98acccc32230,2018-19,056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,Grado,Centro,Facultad De Ciencias De La Comunicacion. Campus De Madrid,,28051621,2500170,Grado En Comunicacion Audiovisual,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2008,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.39,40.02,82.3,113.71,,,240,240
URJC-dd9ccb63dbaaddc1d8dff7d0b4464507,2018-19,056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,Grado,Centro,Facultad De Ciencias Juridicas Y Sociales. Campus Fuenlabrada,,28051517,2500424,Grado En Historia,Artes Y Humanidades,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.39,40.02,82.3,113.71,,,240,180
