cod_universidad,des_universidad,URI_universidad,wikidata_universidad,anio,cod_unidad_responsable,des_unidad_responsable,des_genero,id_empleado_b2,cod_pais_nacionalidad,des_pais_nacionalidad,URI_pais_nacionalidad,wikidata_pais_nacionalidad,lat_pais_nacionalidad,lon_pais_nacionalidad,cod_continente_nacionalidad,des_continente_nacionalidad,URI_continente_nacionalidad,wikidata_continente_nacionalidad,cod_agregacion_paises_nacionalidad,des_agregacion_paises_nacionalidad,URI_agregacion_paises_nacionalidad,wikidata_agregacion_paises_nacionalidad,id_empleado_b3,anio_nacimiento,id_empleado_b4,des_tipo_personal_investigacion,des_modalidad_personal_investigacion,des_tipo_organismo,des_dedicacion,duracion_meses,id_empleado_b5,des_cuantia_titulo_doctorado,cod_pais_doctorado,des_pais_doctorado,URI_pais_doctorado,wikidata_pais_doctorado,lat_pais_doctorado,lon_pais_doctorado,cod_continente_doctorado,des_continente_doctorado,URI_continente_doctorado,wikidata_continente_doctorado,cod_agregacion_paises_doctorado,des_agregacion_paises_doctorado,URI_agregacion_paises_doctorado,wikidata_agregacion_paises_doctorado,cod_universidad_doctorado,des_universidad_doctorado,URI_universidad_doctorado,wikidata_universidad_doctorado,anio_lectura_tesis,id_empleado_b6,anio_resolucion_convocatoria,anio_incorporacion,id_empleado_b7,des_tipo_unidad_responsable,des_area
056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,2017,55003678,"Ciencias De La Computacion, Arquitectura De La Computacion, Lenguajes Y Sistemas Informaticos Y Estadistica E Investigacion Operativa",Mujer,URJC-6b23c8cdfa16eec72cdfc19e420401dc,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,URJC-43f015c9b9cbb2c404ff2c3199cf4577,1987,URJC-221139d29c01db66b085b0de2ac01a5c,"Investigador De Convocatorias Publicas Competitivas De Ambito Universitario, Local, Autonomico, Estatal O Internacional",Otro Investigador Predoctoral (ya Sea En Formacion O En Contratacion),Administracion Autonomica,Dedicacion A Tiempo Completo,24,URJC-4b944065a54c4b50c1841f36b99725ff,Uno,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/continente/europa-meridional,https://www.wikidata.org/wiki/Q27449,056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,2016,URJC-a900e02c75c59a2de3e4b81c79029d48,2017,2014,URJC-76337eeeb295fa074de35d0c0442bdc6,Departamento,Ciencias De La Computacion Y Tecnologia Informatica
056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,2017,55003679,Teoria De La Senal Y Las Comunicaciones Y Sistemas Telematicos Y Computacion,Hombre,URJC-bcfc6fa60308cbe1bc5c8548c9d5646d,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,URJC-2aa0728db49049a0f9d2d531deedb9e3,1989,URJC-2112383624865304705f684374bd4848,"Investigador Con Cargo A Proyectos De Investigacion, Art. 83 Y A Grupos De Investigacion",Otro Investigador Postdoctoral (ya Sea En Formacion O En Contratacion),Administracion Central,Dedicacion A Tiempo Completo,24,URJC-419a15b40005b0a7f252d60dc94610b2,No,,,,,,,,,,,,,,,,,,,,URJC-218e6ce59d26722713984a439e16dcf9,2017,2017,URJC-4b321240b24a4c3c03f7e0f9bd96b23a,Departamento,Ingenieria Telematica
056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,2017,55003678,"Ciencias De La Computacion, Arquitectura De La Computacion, Lenguajes Y Sistemas Informaticos Y Estadistica E Investigacion Operativa",Hombre,URJC-3b7129e8dd5a250c421de246ef942e3a,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,URJC-5e07b50ba453090acec447e8b5058944,1987,URJC-d06dc14458674c5ebc8e5a7fa7334d29,Personal Tecnico De Apoyo A La Investigacion,Personal Tecnico De Apoyo,Empresa Nacional/internacional,Dedicacion A Tiempo Completo,2,URJC-7d9ffee178b6756402901e963bba9790,Uno,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/continente/europa-meridional,https://www.wikidata.org/wiki/Q27449,028,Universidad Nacional De Educacion A Distancia,http://www.semanticweb.org/universidata/resource/universidad/universidad-nacional-de-educacion-a-distancia,https://www.wikidata.org/wiki/Q421739,2015,URJC-8b4e344867d7bdb854883754a90e5f54,2017,2009,URJC-0edc7672f92b9b5da8fd5f39e4e1a2e0,Departamento,Estadistica E Investigacion Operativa
056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,2017,55003678,"Ciencias De La Computacion, Arquitectura De La Computacion, Lenguajes Y Sistemas Informaticos Y Estadistica E Investigacion Operativa",Mujer,URJC-210cf9b510a6ea3193967f8f32373b53,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,URJC-42ab77409360de6c1c3e3fa611257a5b,1994,URJC-721666888fbddb37992f2b4aa45597dd,"Investigador Con Cargo A Proyectos De Investigacion, Art. 83 Y A Grupos De Investigacion",Otro Investigador Postdoctoral (ya Sea En Formacion O En Contratacion),Administracion Autonomica,Dedicacion A Tiempo Completo,11,URJC-2faae88d2c56e9c0c86a97c13be25ba3,No,,,,,,,,,,,,,,,,,,,,URJC-d9e5ba5af1e4f43f04a650e30b13c332,2017,2017,URJC-c1a7aa8b83c3cbeb3efc29803d8a472a,Departamento,Ciencia De La Computacion E Inteligencia Artificial
056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,2017,55003689,"Tecnologia Quimica Y Energetica, Tecnologia Quimica Y Ambiental, Y Tecnologia Mecanica Y Quimica Analitica",Hombre,URJC-67e9b42605892af018cd6f744664c0f0,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,URJC-69a099ed69426f0a810742bd6dcd8266,1986,URJC-b19616f162bbe53be6179bed7a6e0947,Otros,Otro Investigador Predoctoral (ya Sea En Formacion O En Contratacion),Universidad,Dedicacion A Tiempo Completo,25,URJC-0416f20ea862d7f1b8903ee6c3fd4f7c,Uno,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/continente/europa-meridional,https://www.wikidata.org/wiki/Q27449,034,Universidad De Castilla-la Mancha,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-castilla-la-mancha,https://www.wikidata.org/wiki/Q941806,2012,URJC-41a77f7bad677b7cf3f677f8dc1fd513,2017,2017,URJC-0553b57e7b4513a0af115a36e2bea6d0,Departamento,
056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,2017,55003683,"Biologia Y Geologia, Fisica Y Quimica Inorganica",Mujer,URJC-d4e7d68c8fe1c793eb58d136e707ae93,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,URJC-d0901611bd21c757be3eb232806bb51d,1979,URJC-e88729c7b6c1f42b305bbd3a63752def,"Investigador Con Cargo A Proyectos De Investigacion, Art. 83 Y A Grupos De Investigacion",Otro Investigador Predoctoral (ya Sea En Formacion O En Contratacion),Administracion Central,Dedicacion A Tiempo Completo,10,URJC-7bb29ce68730659c2d4c16cd6d1f6691,No,,,,,,,,,,,,,,,,,,,,URJC-34732c620b6ba557378b0a2966135092,2017,2017,URJC-6da21253f439fc2e6f5a11fcadbe3736,Departamento,Ecologia
056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,2017,55003687,"Matematica Aplicada, Ciencia E Ingenieria De Los Materiales Y Tecnologia Electronica",Hombre,URJC-a2439237f0ef73c6c95ea297eafac62b,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,URJC-859546110778ed273e9620b9ac244514,1979,URJC-23df0ff1795efab5663cab91ce2b5fab,"Investigador Con Cargo A Proyectos De Investigacion, Art. 83 Y A Grupos De Investigacion",Otro Investigador Predoctoral (ya Sea En Formacion O En Contratacion),Organismo Europeo,Dedicacion A Tiempo Parcial,12,URJC-aba775b84b2bf7f261a5c7e5ec624c5c,No,,,,,,,,,,,,,,,,,,,,URJC-203a6265b8134ac775b771e612f05d04,2017,2017,URJC-69ecaa97ebc529406357311c9ea0daa9,Departamento,Ciencia De Los Materiales E Ingenieria Metalurgica
056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,2017,55003679,Teoria De La Senal Y Las Comunicaciones Y Sistemas Telematicos Y Computacion,Mujer,URJC-00501ec8d68b4d39724f64249f9e0e29,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,URJC-c65225aed11d3ab87bd8aad62a8ee640,1992,URJC-3ed70cf4d42036624369368840e717a2,"Investigador Con Cargo A Proyectos De Investigacion, Art. 83 Y A Grupos De Investigacion",Otro Investigador Predoctoral (ya Sea En Formacion O En Contratacion),Administracion Central,Dedicacion A Tiempo Completo,9,URJC-061f3f010c28f10d374e201ab8e0e36f,No,,,,,,,,,,,,,,,,,,,,URJC-172a4df4a9a2377bb483268e2ab2d904,2017,2017,URJC-c4fa919eb68b941dd0f6c0baa30ff7f8,Departamento,Tecnologia Electronica Y De Las Comunicaciones
056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,2017,55003678,"Ciencias De La Computacion, Arquitectura De La Computacion, Lenguajes Y Sistemas Informaticos Y Estadistica E Investigacion Operativa",Hombre,URJC-7adbe1ca1b5888bccf4990d78b88d990,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,URJC-a786543c6308574e4f53379e566ffa26,1978,URJC-9a4a407877e92ca3051f3d8fc1ef056d,"Investigador Con Cargo A Proyectos De Investigacion, Art. 83 Y A Grupos De Investigacion",Otro Investigador Postdoctoral (ya Sea En Formacion O En Contratacion),Administracion Central,Dedicacion A Tiempo Parcial,17,URJC-0c229c3975c0a1bdf43da8acf9b08d66,No,,,,,,,,,,,,,,,,,,,,URJC-5199063b72cb517a489a56614ce87fd2,2017,2010,URJC-40df26ebdc97ea433056c1d68e2e3cc8,Departamento,Ciencias De La Computacion Y Tecnologia Informatica
056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,2017,55003679,Teoria De La Senal Y Las Comunicaciones Y Sistemas Telematicos Y Computacion,Hombre,URJC-c00a590087ebe01fab2289564607c7a0,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,URJC-6f75ebc5631bd36dba94790dea3c2be0,1981,URJC-82a877840ff2d7bc0a0ca1608695138b,Personal Tecnico De Apoyo A La Investigacion,Personal Tecnico De Apoyo,Empresa Nacional/internacional,Dedicacion A Tiempo Completo,7,URJC-6039408e45af767e0ce525ed4804e2cd,No,,,,,,,,,,,,,,,,,,,,URJC-14215aac35656e500fd44a0dde7cb45f,2017,2011,URJC-99ee587e87db48bd1a6054f2608ac2e1,Departamento,
