cod_universidad_origen,des_universidad_origen,URI_universidad_origen,wikidata_universidad_origen,curso_academico,cod_titulacion_origen,des_titulacion_origen,des_genero,id_matricula_b2,des_tipo_programa_mov,des_programa_movilidad,id_matricula_b3,cod_pais_nacionalidad,des_pais_nacionalidad,URI_pais_nacionalidad,wikidata_pais_nacionalidad,lat_pais_nacionalidad,lon_pais_nacionalidad,cod_continente_nacionalidad,des_continente_nacionalidad,URI_continente_nacionalidad,wikidata_continente_nacionalidad,cod_agregacion_paises_nacionalidad,des_agregacion_paises_nacionalidad,URI_agregacion_paises_nacionalidad,wikidata_agregacion_paises_nacionalidad,id_matricula_b4,anio_nacimiento,id_matricula_b5,des_nivel_formativo_origen,id_matricula_b6,cod_universidad_destino,des_universidad_destino,URI_universidad_destino,wikidata_universidad_destino,cod_pais_univ_destino,des_pais_univ_destino,URI_pais_univ_destino,wikidata_pais_univ_destino,lat_pais_univ_destino,lon_pais_univ_destino,cod_continente_univ_destino,des_continente_univ_destino,URI_continente_univ_destino,wikidata_continente_univ_destino,cod_agregacion_paises_univ_destino,des_agregacion_paises_univ_destino,URI_agregacion_paises_univ_destino,wikidata_agregacion_paises_univ_destino,cod_municipio_destino,des_municipio_destino,URI_municipio_destino,wikidata_municipio_destino,lat_municipio_destino,lon_municipio_destino,cod_comunidad_destino,des_comunidad_destino,URI_comunidad_destino,wikidata_comunidad_destino,cod_provincia_destino,des_provincia_destino,URI_provincia_destino,wikidata_provincia_destino,des_ambito_univ_destino,id_matricula_b7,mes_inicio_programa,mes_fin_programa
019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,2017-18,2501692,Grado En Publicidad Y Relaciones Publicas,Hombre,UVA-3eeffe3c188ef494477e7a9d6bb18a5b,Estudios Y/o Proyecto Fin De Grado,Otras Fuera De La Ue,UVA-70116f19c36995adcdb5fd9484a5240a,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UVA-c16d82213003bdae40fc873c84aa6859,1993,UVA-ebbef8846287baa55342ce11a9050212,Grado,UVA-9e85a35287cde3da538a73f4e7433ad5,F Angers04,Universite Catholique De L ouest,http://www.semanticweb.org/universidata/resource/universidad/universite-catholique-de-l-ouest,https://www.wikidata.org/wiki/Q1476738,250,Francia,http://www.semanticweb.org/universidata/resource/pais/francia,https://www.wikidata.org/wiki/Q142,46.227638,2.213749,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,,Angers,http://www.semanticweb.org/universidata/resource/municipio/angers,https://www.wikidata.org/wiki/Q38380,,,,,,,,,,,,UVA-ab010f29d2eb5650b61b4e147f9f1f67,2017-09-01,2018-06-01
019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,2017-18,2501692,Grado En Publicidad Y Relaciones Publicas,Hombre,UVA-ec66b245b60460cd41f121cc23de36e4,Estudios Y/o Proyecto Fin De Grado,Erasmus +,UVA-16b7f89fa6204845b9f399f0dfff8a16,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UVA-43d345ca3a4959c723ba67e7ba512522,1993,UVA-d542bb516adc77c04aab8b360132ba4b,Grado,UVA-804450731ead669f3c08af7bac78d9ab,I Sassari01,Universita Degli Studi Di Sassari,http://www.semanticweb.org/universidata/resource/universidad/universita-degli-studi-di-sassari,https://www.wikidata.org/wiki/Q532822,380,Italia,http://www.semanticweb.org/universidata/resource/pais/italia,https://www.wikidata.org/wiki/Q38,41.87194,12.56738,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,,Sassari,http://www.semanticweb.org/universidata/resource/municipio/sassari,https://www.wikidata.org/wiki/Q13629,,,,,,,,,,,,UVA-30cdcf88fef304ac3e222274c4ef9229,2017-09-01,2018-06-01
019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,2017-18,2501692,Grado En Publicidad Y Relaciones Publicas,Hombre,UVA-59f8461752baeb617fd5a9b551ae2e55,Estudios Y/o Proyecto Fin De Grado,Erasmus +,UVA-88f10eaa742ae0c0c421abaa561fe765,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UVA-9251f12a224dbadd712294058a48bf58,1991,UVA-03109e2e082d5be3110838b6b6806a2d,Grado,UVA-a475808fe835727ceab3b6b111f999cd,Nl Groning01,Rijksuniversiteit Groningen,http://www.semanticweb.org/universidata/resource/universidad/rijksuniversiteit-groningen,https://www.wikidata.org/wiki/Q850730,528,Paises Bajos,http://www.semanticweb.org/universidata/resource/pais/paises-bajos,https://www.wikidata.org/wiki/Q29999,52.132633,5.291266,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,,Groningen,http://www.semanticweb.org/universidata/resource/municipio/groningen,https://www.wikidata.org/wiki/Q749,,,,,,,,,,,,UVA-666b784a03551c5edb8ab2b9acc5b9f0,2017-09-01,2018-06-01
019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,2017-18,2501692,Grado En Publicidad Y Relaciones Publicas,Hombre,UVA-71ea14b5e4429199ec987dc381aebbaf,Estudios Y/o Proyecto Fin De Grado,Erasmus +,UVA-7e711fd6a716b3552080dc12e86a7c86,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UVA-678a4bac600117399216d455080c3125,1988,UVA-1877b8262ea9b3712d88a6314608cd70,Grado,UVA-50742fd471e34ea114c3e145b2e64e43,043,Universidad De Girona,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-girona,https://www.wikidata.org/wiki/Q1814503,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,17079,Girona,http://www.semanticweb.org/universidata/resource/municipio/girona,https://www.wikidata.org/wiki/Q7038,41.9818,2.8237,9,Catalunya,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/catalunya,https://www.wikidata.org/wiki/Q5705,17,Girona,http://www.semanticweb.org/universidata/resource/provincia/girona,https://www.wikidata.org/wiki/Q7194,,UVA-3dffb7b60e09d83742a3c2cd51774bbd,2017-09-01,2018-06-01
019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,2017-18,2501692,Grado En Publicidad Y Relaciones Publicas,Hombre,UVA-2fc2e219bb4000117b5453557baf1d8d,Estudios Y/o Proyecto Fin De Grado,Erasmus +,UVA-58de28d875773915de5b0c3b7682b08f,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UVA-d8ae2308db10732a97ca6a07ebfe0252,1995,UVA-566e4864c491c5ae8bcc7f88ab94534d,Grado,UVA-8f4f5d41c65df993dae922e7272c12f8,Nl Nijmege01,Radboud Universiteit Nijmegen,http://www.semanticweb.org/universidata/resource/universidad/radboud-universiteit-nijmegen,https://www.wikidata.org/wiki/Q632004,528,Paises Bajos,http://www.semanticweb.org/universidata/resource/pais/paises-bajos,https://www.wikidata.org/wiki/Q29999,52.132633,5.291266,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,155,Europa Occidental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-occidental,https://www.wikidata.org/wiki/Q27496,,Nijmegen,http://www.semanticweb.org/universidata/resource/municipio/nijmegen,https://www.wikidata.org/wiki/Q13188714,,,,,,,,,,,,UVA-46998a5615e39c3da63c2251e60b8501,2017-09-01,2018-06-01
019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,2017-18,2501692,Grado En Publicidad Y Relaciones Publicas,Hombre,UVA-1e68c359c3e0dcd17cba8a7f18efb45d,Estudios Y/o Proyecto Fin De Grado,Sicue-seneca,UVA-2d8678579f242939a6c25a0337297f2c,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UVA-7c4d8d30f3145b8c2c28a04e63cbc8b3,1994,UVA-8a1415bcff6f0948ae23c6f573e2b739,Grado,UVA-2ca47c44754355e7576d08bc331725ba,777777777777,Otra Universidad Fuera De La Ue,http://www.semanticweb.org/universidata/resource/universidad/otra-universidad-fuera-de-la-ue,,288,Ghana,http://www.semanticweb.org/universidata/resource/pais/ghana,https://www.wikidata.org/wiki/Q117,7.946527,-1.023194,002,Africa,http://www.semanticweb.org/universidata/resource/continente/africa,https://www.wikidata.org/wiki/Q15,202,Africa Subsahariana,http://www.semanticweb.org/universidata/resource/agregacion-paises/africa-subsahariana,https://www.wikidata.org/wiki/Q132959,,,,,,,,,,,,,,,,UVA-370bb01c987c0848e50881c276f6dc41,2017-09-01,2018-06-01
019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,2017-18,2501692,Grado En Publicidad Y Relaciones Publicas,Hombre,UVA-a0c07330cccefd499dd33e7b8770fda4,Estudios Y/o Proyecto Fin De Grado,Erasmus +,UVA-6c1bc9675b17cef6b416e5347988740b,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UVA-40ab1057a5b0fd3d2d56875ef8888984,1996,UVA-0d245155e4efea9649fafa909c565ed9,Grado,UVA-5a3ec2c51cefbc8bc29c17aa51c0056e,P Leiria01,Instituto Politecnico De Leiria ipl,http://www.semanticweb.org/universidata/resource/universidad/instituto-politecnico-de-leiria-ipl,,620,Portugal,http://www.semanticweb.org/universidata/resource/pais/portugal,https://www.wikidata.org/wiki/Q45,39.399872,-8.224454,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,,Leiria,http://www.semanticweb.org/universidata/resource/municipio/leiria,https://www.wikidata.org/wiki/Q206933,,,,,,,,,,,,UVA-8b5ee50f53b88736e1cac41d5d202386,2017-09-01,2018-06-01
019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,2017-18,2501692,Grado En Publicidad Y Relaciones Publicas,Hombre,UVA-d76b6661d38bf0627b7d3a46830493ca,Estudios Y/o Proyecto Fin De Grado,Sicue-seneca,UVA-542c1cdb43840937e36679035af07396,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UVA-f7ef383f652a7dae18052cfcf558dabd,1996,UVA-bd4d2b52e781ef3f9ee5774e60ebc843,Grado,UVA-7d36a42150ba5f2ad84de6fee45e2410,777777777777,Otra Universidad Fuera De La Ue,http://www.semanticweb.org/universidata/resource/universidad/otra-universidad-fuera-de-la-ue,,288,Ghana,http://www.semanticweb.org/universidata/resource/pais/ghana,https://www.wikidata.org/wiki/Q117,7.946527,-1.023194,002,Africa,http://www.semanticweb.org/universidata/resource/continente/africa,https://www.wikidata.org/wiki/Q15,202,Africa Subsahariana,http://www.semanticweb.org/universidata/resource/agregacion-paises/africa-subsahariana,https://www.wikidata.org/wiki/Q132959,,,,,,,,,,,,,,,,UVA-f1f5f6c94cb81bafdc7f8300e517c2d6,2017-09-01,2018-06-01
019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,2017-18,2501692,Grado En Publicidad Y Relaciones Publicas,Hombre,UVA-4b3fe332ec1bf4ca7ce401f32e56d5ca,Estudios Y/o Proyecto Fin De Grado,Erasmus +,UVA-e0a7d2cda3514318d775fe09d427bd74,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UVA-fedbd3c50245e0356c30a62ff94e5987,1995,UVA-27b50beb33f437d13c393f10b269cca4,Grado,UVA-01e0fa5d4b6fc84d02586a0331b6749f,Bg Sofia02,Nov Bulgarski Universitet,http://www.semanticweb.org/universidata/resource/universidad/nov-bulgarski-universitet,https://www.wikidata.org/wiki/Q20498009,100,Bulgaria,http://www.semanticweb.org/universidata/resource/pais/bulgaria,https://www.wikidata.org/wiki/Q219,42.733883,25.48583,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,151,Europa Oriental,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-oriental,https://www.wikidata.org/wiki/Q27468,,Sofia,http://www.semanticweb.org/universidata/resource/municipio/sofia,https://www.wikidata.org/wiki/Q472,,,,,,,,,,,,UVA-2abd865c4ed2292079c9b20c369a8728,2017-09-01,2018-06-01
019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,2017-18,2501692,Grado En Publicidad Y Relaciones Publicas,Hombre,UVA-f2bcb41f750ff134d74e6b95aeb25c66,Estudios Y/o Proyecto Fin De Grado,Sicue-seneca,UVA-9cdef76f2462193a71656aa952639bfd,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UVA-8766eef15c7c7a40b2767e906e6d8ff4,1993,UVA-bd3323f95cf78df48973699dab3b09ee,Grado,UVA-443201473afc863b71335c0e3dee32bc,I Ferrara01,Universita  Degli Studi Di Ferrara,http://www.semanticweb.org/universidata/resource/universidad/universita-degli-studi-di-ferrara,https://www.wikidata.org/wiki/Q955609,380,Italia,http://www.semanticweb.org/universidata/resource/pais/italia,https://www.wikidata.org/wiki/Q38,41.87194,12.56738,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,,Ferrara,http://www.semanticweb.org/universidata/resource/municipio/ferrara,https://www.wikidata.org/wiki/Q13362,,,,,,,,,,,,UVA-96a3aef4b7ecf852e2786b2a560128a0,2017-09-01,2018-06-01
