id_muestra_titulacion,curso_academico,cod_universidad,des_universidad,URI_universidad,wikidata_universidad,des_tipo_estudio,des_tipo_unidad_responsable,des_unidad_responsable,wikidata_unidad_responsable,cod_unidad_responsable,cod_titulacion,des_titulacion,des_rama,des_interuniversitario,ind_rol_coordinacion,ind_impartido,anio_inicio,des_situacion_actual,des_grado_presencialidad,cod_idioma_extranjero,des_idioma_extranjero,precio_credito_1,precio_credito_2,precio_credito_3,precio_credito_4,precio_credito_5,precio_tutela,num_creditos_necesarios,num_creditos_ofertados
UVA-fb12fbbf879dac8df0d12caada2d9aa5,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,Facultad De Ciencias,,47005668,2501496,Grado En Quimica,Ciencias,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,22.96,36.25,78.55,108.76,,,240.00,240.00
UVA-6272b67df58e7b136b6a0330f8d23767,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,Facultad De Filosofia  Y Letras,,47005681,2501417,Grado En Historia,Artes Y Humanidades,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,16.22,25.61,55.49,76.83,,,240.00,240.00
UVA-ca83b86dce54084203a875e690fe6135,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,Facultad De Filosofia  Y Letras,,47005681,2501687,Grado En Lenguas Modernas Y Sus Literaturas,Artes Y Humanidades,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,16.22,25.61,55.49,76.83,,,240.00,240.00
UVA-3a0d6b3c5a836758d36b04f56903765b,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,Facultad De Filosofia  Y Letras,,47005681,2501416,Grado En Estudios Ingleses,Artes Y Humanidades,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,16.22,25.61,55.49,76.83,,,240.00,240.00
UVA-729df8e06d2fce11ff0f5ad74e7f6ceb,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,Facultad De Medicina,,47005693,2502472,Grado En Logopedia,Ciencias De La Salud,No Es Interuniversitario,,true,2017,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,19.07,30.11,65.24,90.33,,,240.00,267.00
UVA-800cc71fd26098ffb8e10130c7703f3f,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,Facultad De Fisioterapia De Soria,https://www.wikidata.org/wiki/Q20014893,42004145,2501363,Grado En Fisioterapia,Ciencias De La Salud,No Es Interuniversitario,,true,2014,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,24.27,38.33,83.04,114.99,,,240.00,285.00
UVA-fe0678415d7fd107b3e1f78688daeecd,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,Facultad De Ciencias,,47005668,2501083,Grado En Estadistica,Ciencias,No Es Interuniversitario,,true,2014,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,17.61,27.81,60.25,83.42,,,240.00,282.00
UVA-b01fa31960feb70fc60d342c97af03f5,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,Facultad De Derecho,,47005671,2502782,Grado En Criminologia,Ciencias Sociales Y Juridicas,Interuniversitario Con Universidades Espanolas,true,true,2014,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,17.61,27.81,60.25,83.42,,,240.00,69.00
UVA-d00d29c72dc1c3e6a5e2342ddc149959,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,Escuela De Ingenieria Informatica De Valladolid,,47008438,2503074,Grado En Ingenieria Informatica,Ingenieria Y Arquitectura,No Es Interuniversitario,,true,2014,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,26.33,41.59,90.10,124.76,,,240.00,504.00
UVA-f3beb6e93e852c57e57b559f312af3f8,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,Escuela Tecnica Superior De Arquitectura,https://www.wikidata.org/wiki/Q5838923,47005644,2503086,Grado En Fundamentos De La Arquitectura,Ingenieria Y Arquitectura,No Es Interuniversitario,,true,2014,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,28.74,45.38,98.32,136.14,,,300.00,392.00
UVA-14fd41487cb6dac31a3c18d3b1ef8e06,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,Facultad De Filosofia  Y Letras,,47005681,2501533,Grado En Estudios Clasicos,Artes Y Humanidades,No Es Interuniversitario,,true,2013,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,16.22,25.61,55.49,76.83,,,240.00,324.00
UVA-8b7893713a0a437ac747db6d4c20edfc,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,"Escuela De Ingenieria De La Industria Forestal, Agronomica Y De La Bioenergia",,42004169,2502913,Grado En Ingenieria Agraria Y Energetica,Ingenieria Y Arquitectura,No Es Interuniversitario,,true,2013,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,26.33,41.59,90.10,124.76,,,240.00,279.00
UVA-4a081c7b95608595c32e28a306eef1d1,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,Escuela Tecnica Superiorde  Ingenieros De Telecomunicacion,,47007069,2502917,Grado En Ingenieria De Tecnologias Especificas De Telecomunicacion,Ingenieria Y Arquitectura,No Es Interuniversitario,,true,2013,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,26.33,41.59,90.10,124.76,,,240.00,516.00
UVA-ba28e377b97ed35b8a74250cb3faeb15,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,Escuela De Ingenierias Industriales,,47007941,2502651,Grado En Ingenieria En Tecnologias Industriales,Ingenieria Y Arquitectura,No Es Interuniversitario,,true,2011,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,26.33,41.59,90.10,124.76,,,240.00,258.00
UVA-5f6aa3365649775acab5adc13d78bf87,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,Escuela Universitaria De Enfermeria Dr.Dacio Crespo De Palencia (adscrita A La Uva),,34003211,2502310,Grado En Enfermeria,Ciencias De La Salud,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,26.33,41.59,90.10,124.76,,,240.00,270.00
UVA-083ab32f255cd14550cda7620a751013,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,Facultad De Medicina,,47005693,2501690,Grado En Medicina,Ciencias De La Salud,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,28.74,45.38,98.32,136.14,,,360.00,393.00
UVA-746143e69c94f4d3992c4648976b5af0,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,Facultad De Educacion Y Trabajo Social,https://www.wikidata.org/wiki/Q20014982,47005632,2500886,Grado En Trabajo Social,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,17.61,27.81,60.25,83.42,,,240.00,270.00
UVA-a27da94149f6790c4a19b73703f6b8f5,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,Facultad De Enfermeria De Soria,https://www.wikidata.org/wiki/Q20014983,42004133,2502310,Grado En Enfermeria,Ciencias De La Salud,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,26.33,41.59,90.10,124.76,,,240.00,270.00
UVA-1d44d9d628a121fcf54ab294358d3f83,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,Facultad De Enfermeria De Valladolid,https://www.wikidata.org/wiki/Q20014892,47008153,2502310,Grado En Enfermeria,Ciencias De La Salud,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,26.33,41.59,90.10,124.76,,,240.00,273.00
UVA-d711b66397a07cb2d8583ebee2e1a1a8,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,Escuela Tecnica Superior De Arquitectura,https://www.wikidata.org/wiki/Q5838923,47005644,2502312,Grado En Arquitectura,Ingenieria Y Arquitectura,No Es Interuniversitario,,true,2010,En Proceso De Extincion,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,28.74,45.38,98.32,136.14,,,330.00,210.00
UVA-d30551f33ea229ee5dbf00cd85cd9fa2,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,Facultad De Ciencias,,47005668,2501689,Grado En Optica Y Optometria,Ciencias,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,19.07,30.11,65.24,90.33,,,240.00,294.00
UVA-d7cdc6cd06acc86805d8fa558dfdf7b8,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,Facultad De Medicina,,47005693,2502311,Grado En Nutricion Humana Y Dietetica,Ciencias De La Salud,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,22.96,36.25,78.55,108.76,,,240.00,258.00
UVA-a5a09f74e22ff471b5cc0a24fd097bb5,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,Facultad De Ciencias,,47005668,2501688,Grado En Fisica,Ciencias,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,17.61,27.81,60.25,83.42,,,240.00,288.00
UVA-6c9bf2dd3356403634c307e870d5d98e,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,Facultad De Ciencias Economicas Y  Empresariales,,47005701,2501691,Grado En Economia,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,17.61,27.81,60.25,83.42,,,240.00,366.00
UVA-8cc5830eb7abbcdcccf67ac863e2fc52,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,Facultad De Ciencias Economicas Y  Empresariales,,47005701,2502473,Grado En Marketing E Investigacion De Mercados,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,17.61,27.81,60.25,83.42,,,240.00,324.00
UVA-ac4f1cd8fe50f253824cdb95bf8565c5,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,Facultad De Ciencias Economicas Y  Empresariales,,47005701,2502469,Grado En Administracion Y Direccion De Empresas,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,17.61,27.81,60.25,83.42,,,240.00,408.00
UVA-94d873623b67a4cacfcc262cb173d4e2,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,Facultad De Ciencias Economicas Y  Empresariales,,47005701,2502470,"Grado En Finanzas, Banca Y Seguros",Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,17.61,27.81,60.25,83.42,,,240.00,384.00
UVA-c551855d74a6d6166e078b415dc5d0f1,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,"Escuela De Ingenieria De La Industria Forestal, Agronomica Y De La Bioenergia",,42004169,2502320,Grado En Ingenieria Forestal: Industrias Forestales,Ingenieria Y Arquitectura,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,26.33,41.59,90.10,124.76,,,240.00,268.00
UVA-43754aa5d04c5e11b35cc4c8598ab8ea,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,"Escuela De Ingenieria De La Industria Forestal, Agronomica Y De La Bioenergia",,42004169,2502313,Grado En Ingenieria Agricola Y Del Medio Rural,Ingenieria Y Arquitectura,No Es Interuniversitario,,false,2010,Extinguido En El Curso De Referencia,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,26.33,41.59,90.10,124.76,,,240.00,129.00
UVA-38e08d0fc10590d180e8c0acd384cf7d,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,Escuela Tecnica Superiorde  Ingenieros De Telecomunicacion,,47007069,2502471,Grado En Ingenieria De Tecnologias De Telecomunicacion,Ingenieria Y Arquitectura,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,26.33,41.59,90.10,124.76,,,240.00,258.00
UVA-4cec0439705de48a09c06154ec5d1127,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,"Facultad De Ciencias Sociales, Juridicas Y De La Comunicacion",,40004294,2502469,Grado En Administracion Y Direccion De Empresas,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,17.61,27.81,60.25,83.42,,,240.00,300.00
UVA-79f6aa59f646ad96650944b8e9a35d02,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,"Facultad De Ciencias Sociales, Juridicas Y De La Comunicacion",,40004294,2501692,Grado En Publicidad Y Relaciones Publicas,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,16.22,25.61,55.49,76.83,,,240.00,306.00
UVA-b66808894e0637ea7938442a2d7e7e87,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,"Facultad De Ciencias Sociales, Juridicas Y De La Comunicacion",,40004294,2501420,Grado En Relaciones Laborales Y Recursos Humanos,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,17.61,27.81,60.25,83.42,,,240.00,264.00
UVA-f28755fbb0c7a9a87e8592c47d751747,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,Escuela De Ingenierias Industriales,,47007941,2502322,Grado En Ingenieria Mecanica,Ingenieria Y Arquitectura,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,26.33,41.59,90.10,124.76,,,240.00,298.50
UVA-c952f796931eb1bf283b6d0845653ec5,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,"Facultad De Ciencias Sociales, Juridicas Y De La Comunicacion",,40004294,2501497,Grado En Derecho,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,16.22,25.61,55.49,76.83,,,240.00,264.00
UVA-bfb0e2eb11c60917589ff03e6424aca8,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,"Facultad De Ciencias Sociales, Juridicas Y De La Comunicacion",,40004294,2501693,Grado En Turismo,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,16.22,25.61,55.49,76.83,,,240.00,294.00
UVA-caa84d49b4ebf14f8ddcdbb2e61ae174,2018-19,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,Grado,Centro,Escuela De Ingenierias Industriales,,47007941,2502317,Grado En Ingenieria En Electronica Industrial Y Automatica,Ingenieria Y Arquitectura,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,26.33,41.59,90.10,124.76,,,240.00,306.00
