curso_academico,cod_universidad,des_universidad,URI_universidad,wikidata_universidad,cod_departamento,des_departamento,wikidata_departamento,id_muestra_departamento,URI_muestra_departamento,cod_municipio,des_municipio,URI_municipio,wikidata_municipio,cod_campus,des_campus,des_situacion_departamento,fecha_desde_situacion_departamento
2020-21,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,55001268,Tecnologia Electronica,https://www.wikidata.org/wiki/Q60780278,8952067a99c273dff1a57ba2a8b85eba,http://www.semanticweb.org/universidata/resource/muestra-departamento/UVA-8952067a99c273dff1a57ba2a8b85eba,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,https://www.wikidata.org/wiki/Q8356,01901,Valladolid,Activo,2004-01-01
2020-21,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,55001255,Literatura Espanola Y Teoria De La Literatura Y Literatura Comparada,https://www.wikidata.org/wiki/Q60779813,8f5d114d81887251103aa99cfdd1cec2,http://www.semanticweb.org/universidata/resource/muestra-departamento/UVA-8f5d114d81887251103aa99cfdd1cec2,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,https://www.wikidata.org/wiki/Q8356,01901,Valladolid,Activo,2004-01-01
2020-21,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,55001243,Geografia,,34c513bab17377e43dc7495eefae43a4,http://www.semanticweb.org/universidata/resource/muestra-departamento/UVA-34c513bab17377e43dc7495eefae43a4,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,https://www.wikidata.org/wiki/Q8356,01901,Valladolid,Activo,2004-01-01
2020-21,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,55001242,Fundamentos Del Analisis Economico E Historia E Instituciones Economicas,https://www.wikidata.org/wiki/Q60779315,8010815fc8f9e3d0562f38aa61bb11a5,http://www.semanticweb.org/universidata/resource/muestra-departamento/UVA-8010815fc8f9e3d0562f38aa61bb11a5,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,https://www.wikidata.org/wiki/Q8356,01901,Valladolid,Activo,2004-01-01
2020-21,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,55001225,Derecho Penal E Historia Y Teoria Del Derecho,https://www.wikidata.org/wiki/Q60778361,af403df47d7bab23f26e99bfcf3dc97b,http://www.semanticweb.org/universidata/resource/muestra-departamento/UVA-af403df47d7bab23f26e99bfcf3dc97b,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,https://www.wikidata.org/wiki/Q8356,01901,Valladolid,Activo,2004-01-01
2020-21,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,55001262,Produccion Vegetal Y Recursos Forestales,https://www.wikidata.org/wiki/Q60780135,1984d2384c41831827e6533f2483394d,http://www.semanticweb.org/universidata/resource/muestra-departamento/UVA-1984d2384c41831827e6533f2483394d,34120,Palencia,http://www.semanticweb.org/universidata/resource/municipio/palencia,https://www.wikidata.org/wiki/Q8378,01902,Palencia,Activo,2004-01-01
2020-21,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,55001264,Quimica Analitica,https://www.wikidata.org/wiki/Q60780190,a5d52033aeed701c2c56e8f33d967714,http://www.semanticweb.org/universidata/resource/muestra-departamento/UVA-a5d52033aeed701c2c56e8f33d967714,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,https://www.wikidata.org/wiki/Q8356,01901,Valladolid,Activo,2004-01-01
2020-21,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,55001256,Matematica Aplicada,,d5cffbe4fa5ec0b0787fb7491ee13a1f,http://www.semanticweb.org/universidata/resource/muestra-departamento/UVA-d5cffbe4fa5ec0b0787fb7491ee13a1f,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,https://www.wikidata.org/wiki/Q8356,01901,Valladolid,Activo,2004-01-01
2020-21,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,55001252,Ingenieria Energetica Y Fluidomecanica,https://www.wikidata.org/wiki/Q60779643,6aa3235aea4e1e3be331d919e516388a,http://www.semanticweb.org/universidata/resource/muestra-departamento/UVA-6aa3235aea4e1e3be331d919e516388a,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,https://www.wikidata.org/wiki/Q8356,01901,Valladolid,Activo,2004-01-01
2020-21,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,55001237,Filologia Inglesa,https://www.wikidata.org/wiki/Q60779045,f6e49a3262bcf1fb801b2edf0593c0bf,http://www.semanticweb.org/universidata/resource/muestra-departamento/UVA-f6e49a3262bcf1fb801b2edf0593c0bf,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,https://www.wikidata.org/wiki/Q8356,01901,Valladolid,Activo,2004-01-01
