cod_universidad,des_universidad,URI_universidad,wikidata_universidad,anio,des_tipo_personal,des_genero,id_empleado_b2,cod_pais_nacionalidad,des_pais_nacionalidad,URI_pais_nacionalidad,wikidata_pais_nacionalidad,lat_pais_nacionalidad,lon_pais_nacionalidad,cod_continente_nacionalidad,des_continente_nacionalidad,URI_continente_nacionalidad,wikidata_continente_nacionalidad,cod_agregacion_paises_nacionalidad,des_agregacion_paises_nacionalidad,URI_agregacion_paises_nacionalidad,wikidata_agregacion_paises_nacionalidad,id_empleado_b3,cod_comunidad_residencia,des_comunidad_residencia,URI_comunidad_residencia,wikidata_comunidad_residencia,cod_provincia_residencia,des_provincia_residencia,URI_provincia_residencia,wikidata_provincia_residencia,cod_municipio_residencia,des_municipio_residencia,URI_municipio_residencia,wikidata_municipio_residencia,lat_municipio_residencia,lon_municipio_residencia,id_empleado_b4,anio_nacimiento,id_empleado_b5,anio_incorporacion,id_empleado_b6,ind_otra_unidad,cod_otra_unidad,des_otra_unidad,id_empleado_b7,des_servicio_prestado,id_empleado_b8,des_cuerpo_escala_PAS,des_tipo_contrato,des_titulacion_exigida,des_dedicacion,num_horas_semanales_tiempo_parcial,id_empleado_b9,des_situacion_administrativa,id_empleado_b10,ind_cargo_remunerado,id_empleado_b11,ind_imparte_docencia,id_empleado_b12,num_trienios
019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,2018,Funcionario De Carrera,Mujer,UVA-30126b9c1c3e1af2a73f68e9185fcf57,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UVA-8c9e48462e37f078e87a871675ae0325,7,Castilla Leon,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/castilla-leon,https://www.wikidata.org/wiki/Q5739,47,Valladolid,http://www.semanticweb.org/universidata/resource/provincia/valladolid,https://www.wikidata.org/wiki/Q71097,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,,41.65295,-4.728388,UVA-4d8b5376f41ee4cacf644389267936de,1956,UVA-4ab42d8d28c44ffa98fc4c1eab2b0fc3,1986,UVA-8bb959f7db02b94e82cf004ec5dda3aa,false,,,UVA-35f21eafcc511383dbcd3922b32fa756,Personal Administrativo De Nivel General,UVA-0af3093d4809901a1c0b0be514ed07af,Subgrupo C1,Personal Funcionario\personal Eventual,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,UVA-9a259740f304acda5e4d01405ff70353,Servicio Activo,UVA-0967b2071fa2550668985dc644e27bbf,false,UVA-1e2ea1e34807ae4b9632deed5632a4bc,false,UVA-ca22917f29f6e53c1d3a6d5e370ec93b,10
019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,2018,Funcionario De Carrera,Mujer,UVA-85a2d8048198202e1d3717bcaf685762,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UVA-aa83ff1b43e9c04322b235b7c98f3e45,7,Castilla Leon,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/castilla-leon,https://www.wikidata.org/wiki/Q5739,47,Valladolid,http://www.semanticweb.org/universidata/resource/provincia/valladolid,https://www.wikidata.org/wiki/Q71097,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,,41.65295,-4.728388,UVA-e40c9993daf45b3fbcf155c5197eb9f6,1956,UVA-6712b066fd324195900d7539400634bd,1989,UVA-42d727e545e5d411142f1146a113b8a9,false,,,UVA-ef86f8a605a5893a618a29f5dd7b82ce,Personal De Apoyo Sanitario Y Social Al Alumnado,UVA-54cc485eb656119137387cbba35d8fec,Subgrupo C1,Personal Funcionario\personal Eventual,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,UVA-b08c5aaa7b350283145e83fffc2a2a03,Servicio Activo,UVA-c083b1dbcf2485b1d93125c4123d19f8,false,UVA-3b1502d21add28ec4f299c150dd5eb0c,false,UVA-211c2594ce4e822b3c70edfdbcc4629d,5
019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,2018,Funcionario De Carrera,Mujer,UVA-325ee313871e463708fd60b7c277b76f,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UVA-de7a6563cf29576a490c20242262631c,7,Castilla Leon,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/castilla-leon,https://www.wikidata.org/wiki/Q5739,47,Valladolid,http://www.semanticweb.org/universidata/resource/provincia/valladolid,https://www.wikidata.org/wiki/Q71097,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,,41.65295,-4.728388,UVA-ebfd4950c781a86905b4cf5979500d78,1961,UVA-8c0c32c5c6a60923d4a0cfc9e8ec7a3d,1992,UVA-9d646ac486273571147fa2e7a0b018b0,false,,,UVA-a75fb06ad417310ec20834a7a10fe454,Personal Administrativo De Nivel General,UVA-f07734c38a07bf9ce49a44018b6fa8af,Subgrupo A2,Personal Funcionario\personal Eventual,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,UVA-a655a20b38106a4c4b3200b1889307fc,Servicio Activo,UVA-3aab87757c0b75a8cb2f1a2753cca192,false,UVA-d8f44bccca2b74d72ef1c633efbedb70,false,UVA-dcbaec7ddc0826bf3772224056110317,14
019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,2018,Funcionario De Carrera,Mujer,UVA-4d88f131378b2e3ff730800f2d3e1f00,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UVA-2eac822c868ac39c0ec7c022d4cc8a28,7,Castilla Leon,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/castilla-leon,https://www.wikidata.org/wiki/Q5739,47,Valladolid,http://www.semanticweb.org/universidata/resource/provincia/valladolid,https://www.wikidata.org/wiki/Q71097,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,,41.65295,-4.728388,UVA-43978c2f059b3188970c94208a32e9a6,1961,UVA-8be91ec069b2690d18d53fed09d5ebce,1988,UVA-5e8b3fbf6026846c0eb503abddd1cfe1,false,,,UVA-77bdaaa1e4fb1fe929552f246569dfe2,Personal Administrativo De Nivel General,UVA-c67a4a65dcc96e6eadf9cc5afb85ec1c,Subgrupo C1,Personal Funcionario\personal Eventual,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,UVA-db0682c0cdbb902993116d621d71155d,Servicio Activo,UVA-b1322348415f1f3024e1612688af65df,false,UVA-a615b180464bd561ec96b15e668d85f5,false,UVA-8f9e17205a5fa544925c00442fdf1c3c,12
019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,2018,Funcionario De Carrera,Mujer,UVA-19241dc47eea0107cdf2fbcd5dc54903,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UVA-d90a4e045ebe2e3d2d2e806b9de40903,7,Castilla Leon,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/castilla-leon,https://www.wikidata.org/wiki/Q5739,47,Valladolid,http://www.semanticweb.org/universidata/resource/provincia/valladolid,https://www.wikidata.org/wiki/Q71097,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,,41.65295,-4.728388,UVA-8a2393e8700e359ddca7d3f1f42c6b21,1955,UVA-7f8abb01ed69d6e85feeaa780e6504bf,1976,UVA-509316c57f08aabc83c48cad0f0d3201,false,,,UVA-42a1a482749d1e0ca2b83872f950f5e5,Personal Administrativo De Nivel General,UVA-d14b08651d006129d3b79c503bdfc911,Subgrupo C1,Personal Funcionario\personal Eventual,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,UVA-f626ecee037ecb201a314ee9eca49bdf,Servicio Activo,UVA-7d01f5c0183bbee53e8c15a38de29bc1,false,UVA-5f119f3122be6c482a8b06ff4271a123,false,UVA-fef331bb833ecbe049e61042ccc21779,5
019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,2018,Funcionario De Carrera,Mujer,UVA-8a2d904b848513e1d58a5752af9f0fdc,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UVA-02219126027289add0b62b3dcd178518,7,Castilla Leon,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/castilla-leon,https://www.wikidata.org/wiki/Q5739,47,Valladolid,http://www.semanticweb.org/universidata/resource/provincia/valladolid,https://www.wikidata.org/wiki/Q71097,47133,Renedo De Esgueva,http://www.semanticweb.org/universidata/resource/municipio/renedo-de-esgueva,,41.65422,-4.627491,UVA-868eb1728f9b8296855794836beffe5e,1960,UVA-48a8fee9b80622df47d496c38ab0df9a,1989,UVA-8964498ab740e8bee0529be73d55f7b2,false,,,UVA-81e5029373e6ca24a78159dcb4762ee3,Personal Administrativo De Nivel General,UVA-182f25024ccc61ca3f87bf5d9b396eca,Subgrupo A1,Personal Funcionario\personal Eventual,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,UVA-5cbaa73806ecfe9e711eafd463fe9256,Servicio Activo,UVA-5d42ff4a33ac2566f2f0858097dc666a,false,UVA-ea7477046b3eaeb2390ac68e980cd0ca,false,UVA-9747f21bc5d5f6c6e86f69d5bc6b702f,11
019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,2018,Funcionario De Carrera,Mujer,UVA-69486addbf4566210ee0f8b583732c66,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UVA-a982fcaf86c17a1757157a4d8241fe05,7,Castilla Leon,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/castilla-leon,https://www.wikidata.org/wiki/Q5739,47,Valladolid,http://www.semanticweb.org/universidata/resource/provincia/valladolid,https://www.wikidata.org/wiki/Q71097,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,,41.65295,-4.728388,UVA-0ff3c71a56e281c1e0c247818ab2e877,1958,UVA-2171b32bab960577598124ce276159f9,1986,UVA-ba5c1be34c261760a939ba6fd68a92ba,true,47007801,Instituto Universitario De Estudios Europeos,UVA-94d312698ca93aecee94a78dccafc0d7,Personal Administrativo De Nivel General,UVA-5872edd9b225ad295d1db6deff6269a4,Subgrupo C1,Personal Funcionario\personal Eventual,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,UVA-81285dca9a7caba7834610e7d48b06d1,Servicio Activo,UVA-fd992e76be6670a204ef78d0e914a0e5,false,UVA-aa3e49b08ea11f330dcf2891afd4f2d8,false,UVA-978892e6ec1d4f73e8ae8afb0d3deae6,14
019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,2018,Funcionario De Carrera,Mujer,UVA-d4dac455eb5298243892878a8011825e,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UVA-a42865adbd6dfeb49b7a4b1e8bb937cd,7,Castilla Leon,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/castilla-leon,https://www.wikidata.org/wiki/Q5739,47,Valladolid,http://www.semanticweb.org/universidata/resource/provincia/valladolid,https://www.wikidata.org/wiki/Q71097,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,,41.65295,-4.728388,UVA-87cb895774bec8f91025da8d058b0ee0,1956,UVA-3aeab8583568fbaf3c2ae85c0d74f1e4,1984,UVA-c80ea2c207e3faab5dc1b9a58e971824,false,,,UVA-d7ce44456156cc2677da6df1e44391e3,Personal Administrativo De Nivel General,UVA-02e136c6e11a685c1ebc8f1d9c298bb9,Subgrupo C1,Personal Funcionario\personal Eventual,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,UVA-58cfa1e8565d76a24c35348916b10e9c,Servicio Activo,UVA-54923f32d25490b52336bf1a0b16e1ac,false,UVA-892c6eaa0a01e554fac4ddbbffd09869,false,UVA-d14aa3d9910df37c16784112253c11a4,10
019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,2018,Funcionario De Carrera,Mujer,UVA-487a56aa4c46ac5efd1cc66f3122f6fb,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UVA-00bcc85ba2177709ba2a278ec40cd4ac,7,Castilla Leon,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/castilla-leon,https://www.wikidata.org/wiki/Q5739,47,Valladolid,http://www.semanticweb.org/universidata/resource/provincia/valladolid,https://www.wikidata.org/wiki/Q71097,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,,41.65295,-4.728388,UVA-3e1eb38cf9216f19c2fa9f86333a7e13,1959,UVA-c7fc41061d954213f1500ffee8341646,1987,UVA-85fb494ded789ff13d3bce2eefa5f21f,false,,,UVA-5f65f416bb23d148521ee35fc4fe76ca,Personal Administrativo De Nivel General,UVA-d86e037d31c8f453e0f17a28fc350b69,Subgrupo C1,Personal Funcionario\personal Eventual,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,UVA-111bd9546704c0bfc03eea33a357ded0,Servicio Activo,UVA-1d42caed5c098fc3d42741ef90d1059f,false,UVA-55a76261a56ad5b7d6eada2b6ba589bb,false,UVA-2f42fda7cda751b5eba765ac9b16f270,8
019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,2018,Funcionario De Carrera,Mujer,UVA-3216f2359cd4059aa4773ddf34546a29,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,UVA-6a57af305e32cbd0124b011f407c02f7,7,Castilla Leon,http://www.semanticweb.org/universidata/resource/comunidad-autonoma/castilla-leon,https://www.wikidata.org/wiki/Q5739,47,Valladolid,http://www.semanticweb.org/universidata/resource/provincia/valladolid,https://www.wikidata.org/wiki/Q71097,47076,Laguna De Duero,http://www.semanticweb.org/universidata/resource/municipio/laguna-de-duero,,41.58331,-4.721731,UVA-825e95121828eb7d1484babac6f8ecb2,1959,UVA-79c9be0d71d74b8c26d148352a41cf2b,1990,UVA-e4e947d3700904b02bd51b926a236ab7,false,,,UVA-96ba17775ca556e76d211fc8e4555d12,Personal De Apoyo Sanitario Y Social Al Alumnado,UVA-5fb1215e4818cfa4ead1592af7a09f79,Subgrupo C1,Personal Funcionario\personal Eventual,Personal Funcionario\personal Eventual,Dedicacion A Tiempo Completo,,UVA-5cae57df82ec03ad4b435f0556755de2,Servicio Activo,UVA-e3f991cf3e4627835a07559fd3cf81df,false,UVA-71f51561e612566e61282f0450f0f8ab,false,UVA-dcfd94e1bbbf285627e6ecd0a49c0d04,3
