"curso_academico","cod_universidad","des_universidad","cod_centro","des_centro","cod_municipio","des_municipio","cod_campus","des_campus","cod_tipo_centro","des_tipo_centro","cod_naturaleza_centro","des_naturaleza_centro","cod_situacion_centro","des_situacion_centro","fecha_desde_situacion_centro","latitude","longitude"
"2018-19","023","Universidad Autónoma de Madrid","28027060","Facultad de Ciencias","28079","MADRID","02301","Cantoblanco","C1","Centro Propio","1","Público","1","Activo","20130601","40.545441","-3.695176"
"2018-19","023","Universidad Autónoma de Madrid","28027072","Facultad de Ciencias Económicas y Empresariales","28079","MADRID","02301","Cantoblanco","C1","Centro Propio","1","Público","1","Activo","20130601","40.544927","-3.696618"
"2018-19","023","Universidad Autónoma de Madrid","28027084","Facultad de Derecho","28079","MADRID","02301","Cantoblanco","C1","Centro Propio","1","Público","1","Activo","20130601","40.541621","-3.691126"
"2018-19","023","Universidad Autónoma de Madrid","28027096","Facultad de Filosofía y Letras","28079","MADRID","02301","Cantoblanco","C1","Centro Propio","1","Público","1","Activo","20130601","40.544302","-3.698460"
"2018-19","023","Universidad Autónoma de Madrid","28027102","Facultad de Medicina","28079","MADRID","02302","Mecidina","C1","Centro Propio","1","Público","1","Activo","20130601","40.481391","-3.691183"
"2018-19","023","Universidad Autónoma de Madrid","28027199","Centro Superior de Estudios Universitarios La Salle","28079","MADRID","02303","Campus del centro ""Centro Superior de Estudios Universitarios La Salle""","C2","Centro adscrito","2","Privado","1","Activo","20130601","40.466525","-3.782007"
"2018-19","023","Universidad Autónoma de Madrid","28032304","Escuela Universitaria de Enfermería Jimenez Diaz","28079","MADRID","02306","Campus del centro ""Escuela de Enfermería de La Fundación Jiménez Díaz""","C2","Centro adscrito","2","Privado","1","Activo","20130601","40.438386","-3.719646"
"2018-19","023","Universidad Autónoma de Madrid","28038513","Facultad de Psicología","28079","MADRID","02301","Cantoblanco","C1","Centro Propio","1","Público","1","Activo","20130601","40.543672","-3.692293"
"2018-19","023","Universidad Autónoma de Madrid","28040571","Escuela Universitaria de Fisioterapia de la ONCE","28079","MADRID","02307","Campus del centro ""Escuela Universitaria de Fisioterapia de La ONCE""","C2","Centro adscrito","2","Privado","1","Activo","20130601","40.493740","-3.707274"
"2018-19","023","Universidad Autónoma de Madrid","28044057","Escuela Universitaria de Enfermería Cruz Roja","28079","MADRID","02309","Campus del centro ""Escuela de Enfermería de la Cruz Roja""","C2","Centro adscrito","2","Privado","1","Activo","20130601","40.447294","-3.709629"
"2018-19","023","Universidad Autónoma de Madrid","28048397","Escuela Politécnica Superior","28079","MADRID","02301","Cantoblanco","C1","Centro Propio","1","Público","1","Activo","20130601","40.546981","-3.691527"
"2018-19","023","Universidad Autónoma de Madrid","28051271","Facultad de Formación de Profesorado y de la Educación","28079","MADRID","02301","Cantoblanco","C1","Centro Propio","1","Público","1","Activo","20130601","40.544710","-3.698034"
"2018-19","023","Universidad Autónoma de Madrid","28050951","INSTITUTO UNIVERSITARIO DE ADMÓN. DE EMPRESAS","28079","MADRID","02301","Cantoblanco","O1","Instituto universitario de investigación","1","Público","1","Activo","20130601","40.544922","-3.696633"
"2018-19","023","Universidad Autónoma de Madrid","28050926","Instituto Universitario de Estudios de la Mujer","28079","MADRID","02301","Cantoblanco","O1","Instituto universitario de investigación","1","Público","1","Activo","20130601","40.544876","-3.696604"
"2018-19","023","Universidad Autónoma de Madrid","28050914","Instituto Universitario de Predicción Económica Lawrence R. Klein","28079","MADRID","02301","Cantoblanco","O1","Instituto universitario de investigación","1","Público","1","Activo","20130601","40.544905","-3.696619"
"2018-19","023","Universidad Autónoma de Madrid","28050938","Instituto de Biología Molecular","28079","MADRID","02301","Cantoblanco","O1","Instituto universitario de investigación","1","Público","1","Activo","20130601","40.550056","-3.690524"
"2018-19","023","Universidad Autónoma de Madrid","28052650","Centro Universitario Salud Pública","28079","MADRID","02301","Cantoblanco","O1","Instituto universitario de investigación","1","Público","1","Activo","20130601","40.481372","-3.691171"
"2018-19","023","Universidad Autónoma de Madrid","28050963","Instituto Universitario de Ciencia de Materiales Nicolás Cabrera","28079","MADRID","02301","Cantoblanco","O1","Instituto universitario de investigación","1","Público","1","Activo","20130601","40.545523","-3.695199"
"2018-19","023","Universidad Autónoma de Madrid","28051384","Instituto Universitario de Investigación Gerontológica y Metabólica","28079","MADRID","02303","Campus del centro ""Centro Superior de Estudios Universitarios La Salle""","O1","Instituto universitario de investigación","1","Público","1","Activo","20130601","40.434139","-3.675910"
"2018-19","023","Universidad Autónoma de Madrid","28054233","Escuela de Doctorado","28079","MADRID","02301","Cantoblanco","O2","Escuela de doctorado","1","Público","1","Activo","20150901","40.543785","-3.698405"
"2018-19","023","Universidad Autónoma de Madrid","28050835","Instituto de Investigaciones Biomédicas Alberto Sols","28079","MADRID","02303","Campus del centro ""Centro Superior de Estudios Universitarios La Salle""","O1","Instituto universitario de investigación","1","Público","1","Activo","20130601","40.482902","-3.691793"
"2018-19","023","Universidad Autónoma de Madrid","28050975","Instituto Universitario de Sociología de las Nuevas Tecnologías","28079","MADRID","02301","Cantoblanco","O1","Instituto universitario de investigación","1","Público","1","Activo","20130601","40.544922","-3.696633"
