"curso_academico","cod_universidad","des_universidad","cod_departamento","des_departamento","cod_municipio","des_municipio","cod_campus","des_campus","cod_situacion_departamento","des_situacion_departamento","fecha_desde_situacion_departamento"
"2018-19","023","Universidad Autónoma de Madrid","55001490","Departamento de Ecología","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001512","Departamento de Estudios Árabes e Islámicos y Estudios Orientales","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001515","Departamento de Fisiología","28079","MADRID","02302","Mecidina","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001521","Departamento de Obstetricia y Ginecología","28079","MADRID","02302","Mecidina","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001528","Departamento de Didáctica y Teoría de la Educación","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001532","Departamento de Filología Inglesa","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001543","Departamento de Antropología Social y del Pensamiento Filosófico Español","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001554","Departamento de Filologías y su Didáctica","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55004165","Departamento de Ingeniería Química","28079","MADRID","02301","Cantoblanco","1","Activo","20180401"
"2018-19","023","Universidad Autónoma de Madrid","55001484","Departamento de Química","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001510","Departamento de Filología Española","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001524","Departamento de Cirugía","28079","MADRID","02302","Mecidina","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001540","Departamento de Física Teórica de la Materia Condensada","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001545","Departamento de Ingeniería Informática","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001546","Departamento de Didácticas Específicas","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001487","Departamento de Física de la Materia Condensada","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001492","Departamento de Química Analítica y Análisis instrumental","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001496","Departamento de Economía Aplicada","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001500","Departamento de Financiación e Investigación Comercial","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
