"curso_academico","cod_universidad","des_universidad","cod_tipo_estudio","des_tipo_estudio","cod_tipo_unidad_responsable","des_tipo_unidad_responsable","cod_unidad_responsable","des_unidad_responsable","cod_titulacion","des_titulacion","cod_rama","des_rama","cod_interuniversitario","des_interuniversitario","cod_rol_coordinacion","des_rol_coordinacion","cod_impartido","des_impartido","anio_inicio","cod_situacion_actual","des_situacion_actual","cod_grado_presencialidad","des_grado_presencialidad","cod_idioma_extranjero","des_idioma_extranjero","precio_credito_1","precio_credito_2","precio_credito_3","precio_credito_4","precio_credito_5","precio_tutela","num_creditos_necesarios","num_creditos_ofertados"
"2017-18","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28041822","Facultad de Ciencias Sociales y Jurídicas. (Getafe)","7700001","Grado Abierto UC3M en Ciencias Sociales y Humanidades","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2016","1","Activo","1","Estudio presencial","2","Existen planes separados, uno de ellos en Inglés","21,94","41,05","82.3","113.71",,,"120","178"
"2017-18","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28042292","Escuela Politécnica Superior. (Leganés)","7700002","Grado Abierto UC3M en Ingeniería","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2016","1","Activo","1","Estudio presencial","2","Existen planes separados, uno de ellos en Inglés","25,18","46,41","92.86","128.57",,,"120","998"
"2017-18","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28050461","Facultad de Ciencias Sociales y Jurídicas (Colmenarejo)","2500030","Grado en Administración de Empresas","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2008","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82.3","113.71",,,"240","599"
"2017-18","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28041822","Facultad de Ciencias Sociales y Jurídicas. (Getafe)","2500030","Grado en Administración de Empresas","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2008","1","Activo","1","Estudio presencial","2","Existen planes separados, uno de ellos en Inglés","21,94","41,05","82.3","113.71",,,"240","599"
"2017-18","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28041822","Facultad de Ciencias Sociales y Jurídicas. (Getafe)","2500024","Grado en Ciencias Políticas","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2008","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82.3","113.71",,,"240","470"
"2017-18","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28048385","Facultad de Humanidades, Comunicación y Documentación. (Getafe)","2500025","Grado en Comunicación Audiovisual","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2008","1","Activo","1","Estudio presencial","2","Existen planes separados, uno de ellos en Inglés","21,94","41,05","82.3","113.71",,,"240","174"
"2017-18","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28050461","Facultad de Ciencias Sociales y Jurídicas (Colmenarejo)","2500026","Grado en Derecho","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2008","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82.3","113.71",,,"240","537"
"2017-18","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28041822","Facultad de Ciencias Sociales y Jurídicas. (Getafe)","2500026","Grado en Derecho","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2008","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82.3","113.71",,,"240","537"
"2017-18","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28041822","Facultad de Ciencias Sociales y Jurídicas. (Getafe)","2500119","Grado en Economía","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2008","1","Activo","1","Estudio presencial","2","Existen planes separados, uno de ellos en Inglés","21,94","41,05","82.3","113.71",,,"240","593"
"2017-18","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28041822","Facultad de Ciencias Sociales y Jurídicas. (Getafe)","2500027","Grado en Estadística y Empresa","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2008","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82.3","113.71",,,"240","434"
"2017-18","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28041822","Facultad de Ciencias Sociales y Jurídicas. (Getafe)","2502997","Grado en Estudios Internacionales","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2014","1","Activo","1","Estudio presencial","1","Se oferta en Inglés","21,94","41,05","82.3","113.71",,,"240","431"
"2017-18","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28041822","Facultad de Ciencias Sociales y Jurídicas. (Getafe)","2502922","Grado en Filosofía, Política y Economía","3","Ciencias Sociales y Jurídicas","1","Interuniversitario con Universidades españolas","0","La Universidad es la coordinadora del estudio Interuniversitario","1","Se imparte en el curso académico de referencia","2013","1","Activo","1","Estudio presencial","1","Se oferta en Inglés","21,94","41,05","82.3","113.71",,,"240","534"
"2017-18","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28041822","Facultad de Ciencias Sociales y Jurídicas. (Getafe)","2500155","Grado en Finanzas y Contabilidad","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2008","1","Activo","1","Estudio presencial","2","Existen planes separados, uno de ellos en Inglés","21,94","41,05","82.3","113.71",,,"240","551"
"2017-18","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28048385","Facultad de Humanidades, Comunicación y Documentación. (Getafe)","2503593","Grado en Gestión de la Información y Contenidos Digitales","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2017","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82.3","113.71",,,"240","60"
"2017-18","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28051864","Centro Universitario Guardia Civil","2503333","Grado en Gestión de Seguridad Pública","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2017","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","0","0","","",,,"240","60"
"2017-18","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28048385","Facultad de Humanidades, Comunicación y Documentación. (Getafe)","2500120","Grado en Humanidades","1","Artes y Humanidades","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2008","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82.3","113.71",,,"240","138"
"2017-18","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28048385","Facultad de Humanidades, Comunicación y Documentación. (Getafe)","2500131","Grado en Información y Documentación (Semipresencial)","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2008","3","En proceso de extinción","2","Estudio semipresencial","0","No se oferta en idioma extranjero","21,94","41,05","82.3","113.71",,,"240","246"
"2017-18","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28042292","Escuela Politécnica Superior. (Leganés)","2501584","Grado en Ingeniería Aeroespacial","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","1","Se oferta en Inglés","25,18","46,41","92.86","128.57",,,"240","440"
"2017-18","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28042292","Escuela Politécnica Superior. (Leganés)","2501585","Grado en Ingeniería Biomédica","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","1","Se oferta en Inglés","26,81","49,26","98.75","136.44",,,"240","434"
"2017-18","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28042292","Escuela Politécnica Superior. (Leganés)","2502850","Grado en Ingeniería de la Energía","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2013","1","Activo","1","Estudio presencial","1","Se oferta en Inglés","25,18","46,41","92.86","128.57",,,"240","410"
"2017-18","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28051864","Centro Universitario Guardia Civil","2502665","Grado en Ingeniería de la Seguridad","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2012","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","0","0","","",,,"240","198"
"2017-18","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28042292","Escuela Politécnica Superior. (Leganés)","2500184","Grado en Ingeniería de Sistemas Audiovisuales","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2008","1","Activo","1","Estudio presencial","2","Existen planes separados, uno de ellos en Inglés","25,18","46,41","92.86","128.57",,,"240","431"
"2017-18","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28042292","Escuela Politécnica Superior. (Leganés)","2500045","Grado en Ingeniería de Sistemas de Comunicaciones","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2008","1","Activo","1","Estudio presencial","2","Existen planes separados, uno de ellos en Inglés","25,18","46,41","92.86","128.57",,,"240","404"
"2017-18","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28042292","Escuela Politécnica Superior. (Leganés)","2500188","Grado en Ingeniería Eléctrica","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2008","1","Activo","1","Estudio presencial","2","Existen planes separados, uno de ellos en Inglés","25,18","46,41","92.86","128.57",,,"240","429"
"2017-18","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28042292","Escuela Politécnica Superior. (Leganés)","2500196","Grado en Ingeniería Electrónica Industrial y Automática","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2008","1","Activo","1","Estudio presencial","2","Existen planes separados, uno de ellos en Inglés","25,18","46,41","92.86","128.57",,,"240","494"
"2017-18","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28042292","Escuela Politécnica Superior. (Leganés)","2501586","Grado en Ingeniería en Tecnologías de Telecomunicación","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","2","Existen planes separados, uno de ellos en Inglés","25,18","46,41","92.86","128.57",,,"240","482"
"2017-18","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28042292","Escuela Politécnica Superior. (Leganés)","2502457","Grado en Ingeniería en Tecnologías Industriales","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","2","Existen planes separados, uno de ellos en Inglés","25,18","46,41","92.86","128.57",,,"240","776"
"2017-18","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28051244","Escuela Politécnica Superior (Colmenarejo)","2500046","Grado en Ingeniería Informática","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2008","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","25,18","46,41","92.86","128.57",,,"240","550"
"2017-18","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28042292","Escuela Politécnica Superior. (Leganés)","2500046","Grado en Ingeniería Informática","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2008","1","Activo","1","Estudio presencial","2","Existen planes separados, uno de ellos en Inglés","25,18","46,41","92.86","128.57",,,"240","550"
