"curso_academico","cod_universidad","des_universidad","cod_centro","des_centro","cod_municipio","des_municipio","cod_campus","des_campus","cod_tipo_centro","des_tipo_centro","cod_naturaleza_centro","des_naturaleza_centro","cod_situacion_centro","des_situacion_centro","fecha_desde_situacion_centro","latitude","longitude"
"2019-20","036","Universidad Carlos III de Madrid","28041810","Campus Puerta de Toledo","28079","MADRID","03604","Madrid- Puerta de Toledo","C1","Centro Propio","1","Público","1","Activo","20130701","40.40685","-3.70966"
"2019-20","036","Universidad Carlos III de Madrid","28041822","Facultad de Ciencias Sociales y Jurídicas. (Getafe)","28065","GETAFE","03602","Getafe","C1","Centro Propio","1","Público","1","Activo","20130701","40.31570","-3.72570"
"2019-20","036","Universidad Carlos III de Madrid","28042292","Escuela Politécnica Superior. (Leganés)","28074","LEGANÉS","03601","Leganés","C1","Centro Propio","1","Público","1","Activo","20130701","40.33184","-3.76521"
"2019-20","036","Universidad Carlos III de Madrid","28048385","Facultad de Humanidades, Comunicación y Documentación. (Getafe)","28065","GETAFE","03602","Getafe","C1","Centro Propio","1","Público","1","Activo","20130701","40.31876","-3.72740"
"2019-20","036","Universidad Carlos III de Madrid","28050461","Facultad de Ciencias Sociales y Jurídicas (Colmenarejo)","28044","COLMENAREJO","03603","Colmenarejo","C1","Centro Propio","1","Público","1","Activo","20130701","40.54344","-4.01327"
"2019-20","036","Universidad Carlos III de Madrid","28050471","Facultad de Humanidades, Comunicación y Documentación (Colmenarejo)","28044","COLMENAREJO","03603","Colmenarejo","C1","Centro Propio","1","Público","1","Activo","20130701","40.54241","-4.01269"
"2019-20","036","Universidad Carlos III de Madrid","28051244","Escuela Politécnica Superior (Colmenarejo)","28044","COLMENAREJO","03603","Colmenarejo","C1","Centro Propio","1","Público","1","Activo","20130701","40.54344","-4.01327"
"2019-20","036","Universidad Carlos III de Madrid","28051864","Centro Universitario Guardia Civil","28013","ARANJUEZ","03605","Aranjuez","C2","Centro adscrito","1","Público","1","Activo","20130701","40.05263","-3.59978"
"2019-20","036","Universidad Carlos III de Madrid","28053708","Escuela de Doctorado","28065","GETAFE","03602","Getafe","C1","Centro Propio","1","Público","1","Activo","20141001","40.31706","-3.72682"
"2019-20","036","Universidad Carlos III de Madrid","28053708","Escuela de Doctorado","28074","LEGANÉS","03601","Leganés","C1","Centro Propio","1","Público","1","Activo","20141001","40.33180","-3.76523"
"2019-20","036","Universidad Carlos III de Madrid","28053711","Centro de Postgrado","28065","GETAFE","03602","Getafe","C1","Centro Propio","1","Público","1","Activo","20130701","40.31556","-3.72574"
"2019-20","036","Universidad Carlos III de Madrid","28053711","Centro de Postgrado Sección Escuela Politécnica Superior","28074","LEGANÉS","03601","Leganés","C1","Centro Propio","1","Público","1","Activo","20130701","40.33215","-3.76694"
"2019-20","036","Universidad Carlos III de Madrid","28053711","Centro de Postgrado","28079","MADRID","03604","Madrid- Puerta de Toledo","C1","Centro Propio","1","Público","1","Activo","20130701","40.40685","-3.70966"
