"IMPORTANTE","cod_universidad","des_universidad","anio","cod_pais_nacionalidad","des_pais_nacionalidad","lat_pais_nacionalidad","lon_pais_nacionalidad","cod_continente_nacionalidad","des_continente_nacionalidad","cod_agregacion_paises_nacionalidad","des_agregacion_paises_nacionalidad","cod_comunidad_residencia","des_comunidad_residencia","cod_provincia_residencia","des_provincia_residencia","cod_municipio_residencia","des_municipio_residencia","lat_municipio_residencia","lon_municipio_residencia","cod_genero","des_genero","anio_nacimiento","anio_incorporacion","ind_otra_unidad","cod_otra_unidad","des_otra_unidad","cod_servicio_prestado","des_servicio_prestado","cod_tipo_personal","des_tipo_personal","cod_cuerpo_escala_PAS","des_cuerpo_escala_PAS","cod_tipo_contrato","des_tipo_contrato","cod_titulacion_exigida","des_titulacion_exigida","cod_dedicacion","des_dedicacion","num_horas_semanales_tiempo_parcial","cod_situacion_administrativa","des_situacion_administrativa","ind_cargo_remunerado","ind_imparte_docencia","num_trienios"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","036","Universidad Carlos III de Madrid","2018","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","13","Madrid","28","Madrid","28177","VILLANUEVA DEL PARDILLO","40.49063","-3.964322","M","Mujer","1969","1998","N",,,"9","Otros","1","Funcionario de carrera","4","Subgrupo C1","8","Personal Funcionario\Personal eventual","8","Personal Funcionario\Personal eventual","1","Dedicación a Tiempo Completo",,"1","Servicio Activo","N","N","9"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","036","Universidad Carlos III de Madrid","2018","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","13","Madrid","28","Madrid","28079","MADRID","40.41669","-3.700346","M","Mujer","1972","1993","N",,,"9","Otros","1","Funcionario de carrera","4","Subgrupo C1","8","Personal Funcionario\Personal eventual","8","Personal Funcionario\Personal eventual","1","Dedicación a Tiempo Completo",,"1","Servicio Activo","N","N","5"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","036","Universidad Carlos III de Madrid","2018","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","13","Madrid","28","Madrid","28022","BOADILLA DEL MONTE","40.40525","-3.876992","M","Mujer","1968","1989","N",,,"9","Otros","1","Funcionario de carrera","5","Subgrupo C2","8","Personal Funcionario\Personal eventual","8","Personal Funcionario\Personal eventual","1","Dedicación a Tiempo Completo",,"1","Servicio Activo","N","N","4"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","036","Universidad Carlos III de Madrid","2018","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","13","Madrid","28","Madrid","28065","GETAFE","40.30498","-3.732677","M","Mujer","1974","1995","N",,,"9","Otros","1","Funcionario de carrera","2","Subgrupo A2","8","Personal Funcionario\Personal eventual","8","Personal Funcionario\Personal eventual","1","Dedicación a Tiempo Completo",,"1","Servicio Activo","N","N","5"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","036","Universidad Carlos III de Madrid","2018","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","13","Madrid","28","Madrid","28065","GETAFE","40.30498","-3.732677","M","Mujer","1971","2003","N",,,"9","Otros","1","Funcionario de carrera","1","Subgrupo A1","8","Personal Funcionario\Personal eventual","8","Personal Funcionario\Personal eventual","1","Dedicación a Tiempo Completo",,"1","Servicio Activo","N","N","5"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","036","Universidad Carlos III de Madrid","2018","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","13","Madrid","28","Madrid","28074","LEGANÉS","40.32642","-3.758988","M","Mujer","1977","2001","N",,,"9","Otros","1","Funcionario de carrera","2","Subgrupo A2","8","Personal Funcionario\Personal eventual","8","Personal Funcionario\Personal eventual","1","Dedicación a Tiempo Completo",,"1","Servicio Activo","N","N","6"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","036","Universidad Carlos III de Madrid","2018","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","13","Madrid","28","Madrid","28065","GETAFE","40.30498","-3.732677","M","Mujer","1971","1991","N",,,"9","Otros","1","Funcionario de carrera","4","Subgrupo C1","8","Personal Funcionario\Personal eventual","8","Personal Funcionario\Personal eventual","1","Dedicación a Tiempo Completo",,"1","Servicio Activo","N","N","6"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","036","Universidad Carlos III de Madrid","2018","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","13","Madrid","28","Madrid","28079","MADRID","40.41669","-3.700346","M","Mujer","1967","2011","N",,,"9","Otros","1","Funcionario de carrera","4","Subgrupo C1","8","Personal Funcionario\Personal eventual","8","Personal Funcionario\Personal eventual","1","Dedicación a Tiempo Completo",,"1","Servicio Activo","N","N","9"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","036","Universidad Carlos III de Madrid","2018","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","13","Madrid","28","Madrid","28065","GETAFE","40.30498","-3.732677","M","Mujer","1956","1990","N",,,"9","Otros","1","Funcionario de carrera","4","Subgrupo C1","8","Personal Funcionario\Personal eventual","8","Personal Funcionario\Personal eventual","1","Dedicación a Tiempo Completo",,"1","Servicio Activo","N","N","6"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","036","Universidad Carlos III de Madrid","2018","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","13","Madrid","28","Madrid","28079","MADRID","40.41669","-3.700346","M","Mujer","1959","1997","N",,,"9","Otros","1","Funcionario de carrera","5","Subgrupo C2","8","Personal Funcionario\Personal eventual","8","Personal Funcionario\Personal eventual","1","Dedicación a Tiempo Completo",,"1","Servicio Activo","N","N","9"
