"curso_academico","cod_universidad","des_universidad","cod_tipo_estudio","des_tipo_estudio","cod_tipo_unidad_responsable","des_tipo_unidad_responsable","cod_unidad_responsable","des_unidad_responsable","cod_titulacion","des_titulacion","cod_rama","des_rama","cod_interuniversitario","des_interuniversitario","cod_rol_coordinacion","des_rol_coordinacion","cod_impartido","des_impartido","anio_inicio","cod_situacion_actual","des_situacion_actual","cod_grado_presencialidad","des_grado_presencialidad","cod_idioma_extranjero","des_idioma_extranjero","precio_credito_1","precio_credito_2","precio_credito_3","precio_credito_4","precio_credito_5","precio_tutela","num_creditos_necesarios","num_creditos_ofertados"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027126","Facultad de Bellas Artes","2500811","GRADO EN BELLAS ARTES","1","Artes y Humanidades","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82,30","113,71",,,"240","354"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28026821","Facultad de Óptica y Optometría","2500791","GRADO EN ÓPTICA Y OPTOMETRÍA","5","Ciencias de la Salud","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","26,81","49,26","98,75","136,44",,,"240","324"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027849","Facultad de Ciencias Matemáticas","2500693","GRADO EN INGENIERÍA MATEMÁTICA","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","25,18","46,41","92,86","128,57",,,"240","360"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027849","Facultad de Ciencias Matemáticas","2500691","GRADO EN MATEMÁTICAS","2","Ciencias","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82,30","113,71",,,"240","432"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027849","Facultad de Ciencias Matemáticas","2500833","GRADO EN MATEMÁTICAS Y ESTADÍSTICA","2","Ciencias","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82,30","113,71",,,"240","324"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027035","Facultad de Medicina","2500812","GRADO EN MEDICINA","5","Ciencias de la Salud","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","26,81","49,26","98,75","136,44",,,"360","576"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28029044","Facultad de Psicología","2500310","GRADO EN LOGOPEDIA","5","Ciencias de la Salud","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82,30","113,71",,,"240","336"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28042383","Facultad de Ciencias de la Documentación","2500915","GRADO EN INFORMACIÓN Y DOCUMENTACIÓN","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82,30","113,71",,,"240","324"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027758","Facultad de Ciencias Físicas","2500689","GRADO EN FÍSICA","2","Ciencias","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82,30","113,71",,,"240","438"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027734","Facultad de Ciencias Geológicas","2500690","GRADO EN GEOLOGÍA","2","Ciencias","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","26,81","49,26","98,75","136,44",,,"240","297"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28026730","Facultad de Comercio y Turismo","2500981","GRADO EN TURISMO","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82,30","113,71",,,"240","354"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28029101","Facultad de Enfermería, Fisioterapia y Podología","2500309","GRADO EN ENFERMERÍA","5","Ciencias de la Salud","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","26,81","49,26","98,75","136,44",,,"240","240"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28029044","Facultad de Psicología","2500692","GRADO EN PSICOLOGÍA","5","Ciencias de la Salud","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","2","Existen planes separados, uno de ellos en Inglés","21,94","41,05","82,30","113,71",,,"240","390"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28043119","Facultad de Educación","2500913","GRADO EN EDUCACIÓN SOCIAL","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82,30","113,71",,,"240","330"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28043119","Facultad de Educación","2500912","GRADO EN MAESTRO EN EDUCACIÓN PRIMARIA","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","2","Existen planes separados, uno de ellos en Inglés","21,94","41,05","82,30","113,71",,,"240","430"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28043119","Facultad de Educación","2500911","GRADO EN MAESTRO EN EDUCACIÓN INFANTIL","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82,30","113,71",,,"240","360"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28043119","Facultad de Educación","2500688","GRADO EN PEDAGOGÍA","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82,30","113,71",,,"240","348"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027001","Facultad de Derecho","2500916","GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82,30","113,71",,,"240","312"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28026997","Facultad de Ciencias Políticas y Sociología","2500826","GRADO EN ANTROPOLOGÍA SOCIAL Y CULTURAL","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82,30","113,71",,,"240","294"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28026997","Facultad de Ciencias Políticas y Sociología","2500832","GRADO EN SOCIOLOGÍA","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82,30","113,71",,,"240","360"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027761","Facultad de Filosofía","2500685","GRADO EN FILOSOFÍA","1","Artes y Humanidades","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82,30","113,71",,,"240","324"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027722","Facultad de Ciencias Biológicas","2500487","GRADO EN BIOLOGÍA","2","Ciencias","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","26,81","49,26","98,75","136,44",,,"240","360"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28039293","Facultad de Odontología","2500311","GRADO EN ODONTOLOGÍA","5","Ciencias de la Salud","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","26,81","49,26","98,75","136,44",,,"300","324"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027837","Facultad de Ciencias Químicas","2500308","GRADO EN QUÍMICA","2","Ciencias","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","26,81","49,26","98,75","136,44",,,"240","312"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027837","Facultad de Ciencias Químicas","2500312","GRADO EN INGENIERÍA QUÍMICA","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","25,18","46,41","92,86","128,57",,,"240","282"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28026869","Facultad de Estudios Estadísticos","2501031","GRADO EN ESTADÍSTICA APLICADA","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82,30","113,71",,,"240","264"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027746","Facultad de Geografía e Historia","2500687","GRADO EN HISTORIA DEL ARTE","1","Artes y Humanidades","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82,30","113,71",,,"240","384"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027746","Facultad de Geografía e Historia","2500803","GRADO EN GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82,30","113,71",,,"240","306"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027746","Facultad de Geografía e Historia","2500686","GRADO EN HISTORIA","1","Artes y Humanidades","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82,30","113,71",,,"240","384"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28036917","Facultad de Trabajo Social","2500787","GRADO EN TRABAJO SOCIAL","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82,30","113,71",,,"240","390"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28026730","Facultad de Comercio y Turismo","2500914","GRADO EN COMERCIO","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82,30","113,71",,,"240","342"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027710","Facultad de Filología","2500684","GRADO EN FILOLOGÍA CLÁSICA","1","Artes y Humanidades","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82,30","113,71",,,"240","564"
