"curso_academico","cod_universidad","des_universidad","cod_centro","des_centro","cod_municipio","des_municipio","cod_campus","des_campus","cod_tipo_centro","des_tipo_centro","cod_naturaleza_centro","des_naturaleza_centro","cod_situacion_centro","des_situacion_centro","fecha_desde_situacion_centro","latitude","longitude"
"2019-20","010","Universidad Complutense de Madrid","28029044","Facultad de Psicología","28115","POZUELO DE ALARCÓN","01002","Somosaguas","C1","Centro Propio","1","Público","1","Activo","19000101","40.432276","-3.793079"
"2019-20","010","Universidad Complutense de Madrid","28027710","Facultad de Filología","28079","MADRID","01001","Ciudad Universitaria","C1","Centro Propio","1","Público","1","Activo","19000101","40.448791","-3.730503"
"2019-20","010","Universidad Complutense de Madrid","28027761","Facultad de Filosofía","28079","MADRID","01001","Ciudad Universitaria","C1","Centro Propio","1","Público","1","Activo","19000101","40.448740","-3.729855"
"2019-20","010","Universidad Complutense de Madrid","28027746","Facultad de Geografía e Historia","28079","MADRID","01001","Ciudad Universitaria","C1","Centro Propio","1","Público","1","Activo","19000101","40.449233","-3.734676"
"2019-20","010","Universidad Complutense de Madrid","28043119","Facultad de Educación","28079","MADRID","01001","Ciudad Universitaria","C1","Centro Propio","1","Público","1","Activo","19000101","40.450616","-3.717734"
"2019-20","010","Universidad Complutense de Madrid","28027837","Facultad de Ciencias Químicas","28079","MADRID","01001","Ciudad Universitaria","C1","Centro Propio","1","Público","1","Activo","19000101","40.450837","-3.724082"
"2019-20","010","Universidad Complutense de Madrid","28027758","Facultad de Ciencias Físicas","28079","MADRID","01001","Ciudad Universitaria","C1","Centro Propio","1","Público","1","Activo","19000101","40.450891","-3.726098"
"2019-20","010","Universidad Complutense de Madrid","28027849","Facultad de Ciencias Matemáticas","28079","MADRID","01001","Ciudad Universitaria","C1","Centro Propio","1","Público","1","Activo","19000101","40.449506","-3.725849"
"2019-20","010","Universidad Complutense de Madrid","28042899","Facultad de Informática","28079","MADRID","01001","Ciudad Universitaria","C1","Centro Propio","1","Público","1","Activo","19000101","40.452815","-3.733511"
"2019-20","010","Universidad Complutense de Madrid","28027722","Facultad de Ciencias Biológicas","28079","MADRID","01001","Ciudad Universitaria","C1","Centro Propio","1","Público","1","Activo","19000101","40.448944","-3.726835"
"2019-20","010","Universidad Complutense de Madrid","28027734","Facultad de Ciencias Geológicas","28079","MADRID","01001","Ciudad Universitaria","C1","Centro Propio","1","Público","1","Activo","19000101","40.448833","-3.725314"
"2019-20","010","Universidad Complutense de Madrid","28027035","Facultad de Medicina","28079","MADRID","01001","Ciudad Universitaria","C1","Centro Propio","1","Público","1","Activo","19000101","40.444095","-3.724105"
"2019-20","010","Universidad Complutense de Madrid","28027011","Facultad de Farmacia","28079","MADRID","01001","Ciudad Universitaria","C1","Centro Propio","1","Público","1","Activo","19000101","40.445310","-3.726335"
"2019-20","010","Universidad Complutense de Madrid","28027047","Facultad de Veterinaria","28079","MADRID","01001","Ciudad Universitaria","C1","Centro Propio","1","Público","1","Activo","19000101","40.449491","-3.738626"
"2019-20","010","Universidad Complutense de Madrid","28039293","Facultad de Odontología","28079","MADRID","01001","Ciudad Universitaria","C1","Centro Propio","1","Público","1","Activo","19000101","40.442458","-3.725827"
"2019-20","010","Universidad Complutense de Madrid","28027001","Facultad de Derecho","28079","MADRID","01001","Ciudad Universitaria","C1","Centro Propio","1","Público","1","Activo","19000101","40.450748","-3.730781"
"2019-20","010","Universidad Complutense de Madrid","28026997","Facultad de Ciencias Políticas y Sociología","28115","POZUELO DE ALARCÓN","01002","Somosaguas","C1","Centro Propio","1","Público","1","Activo","19000101","40.430033","-3.789513"
