"curso_academico","cod_universidad","des_universidad","cod_tipo_estudio","des_tipo_estudio","cod_tipo_unidad_responsable","des_tipo_unidad_responsable","cod_unidad_responsable","des_unidad_responsable","cod_titulacion","des_titulacion","cod_rama","des_rama","cod_interuniversitario","des_interuniversitario","cod_rol_coordinacion","des_rol_coordinacion","cod_impartido","des_impartido","anio_inicio","cod_situacion_actual","des_situacion_actual","cod_grado_presencialidad","des_grado_presencialidad","cod_idioma_extranjero","des_idioma_extranjero","precio_credito_1","precio_credito_2","precio_credito_3","precio_credito_4","precio_credito_5","precio_tutela","num_creditos_necesarios","num_creditos_ofertados"
"2019-20","049","Universidad de Huelva","G","Grado","1","Centro","21005964","FACULTAD DE HUMANIDADES","2501839","GRADO EN HISTORIA","1","Artes y Humanidades","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","12,62","25,25","48,13","64,17",,,"240","300"
"2019-20","049","Universidad de Huelva","G","Grado","1","Centro","21005964","FACULTAD DE HUMANIDADES","2501838","GRADO EN FILOLOGÍA HISPÁNICA","1","Artes y Humanidades","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","12,62","25,25","48,13","64,17",,,"240","342"
"2019-20","049","Universidad de Huelva","G","Grado","1","Centro","21005964","FACULTAD DE HUMANIDADES","2501837","GRADO EN ESTUDIOS INGLESES","1","Artes y Humanidades","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","12,62","25,25","48,13","64,17",,,"240","330"
"2019-20","049","Universidad de Huelva","G","Grado","1","Centro","21005964","FACULTAD DE HUMANIDADES","2502764","GRADO EN GESTIÓN CULTURAL","1","Artes y Humanidades","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2012","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","12,62","25,25","48,13","64,17",,,"240","321"
"2019-20","049","Universidad de Huelva","G","Grado","1","Centro","21005964","FACULTAD DE HUMANIDADES","2502900","GRADO EN HUMANIDADES","1","Artes y Humanidades","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2013","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","12,62","25,25","48,13","64,17",,,"240","318"
"2019-20","049","Universidad de Huelva","G","Grado","1","Centro","21005952","FACULTAD DE EDUCACION, PSICOLOGIA Y CIENCAS DEL DEPORTE","2501845","GRADO EN EDUCACIÓN INFANTIL","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","12,62","25,25","50,84","67,79",,,"240","306"
"2019-20","049","Universidad de Huelva","G","Grado","1","Centro","21005952","FACULTAD DE EDUCACION, PSICOLOGIA Y CIENCAS DEL DEPORTE","2501846","GRADO EN EDUCACIÓN PRIMARIA","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","12,62","25,25","50,84","67,79",,,"240","366"
"2019-20","049","Universidad de Huelva","G","Grado","1","Centro","21005952","FACULTAD DE EDUCACION, PSICOLOGIA Y CIENCAS DEL DEPORTE","2501843","GRADO EN EDUCACIÓN SOCIAL","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","12,62","25,25","50,84","67,79",,,"240","318"
"2019-20","049","Universidad de Huelva","G","Grado","1","Centro","21005952","FACULTAD DE EDUCACION, PSICOLOGIA Y CIENCAS DEL DEPORTE","2501840","GRADO EN PSICOLOGÍA","5","Ciencias de la Salud","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","12,62","25,25","54,71","75,75",,,"240","296"
"2019-20","049","Universidad de Huelva","G","Grado","1","Centro","21005952","FACULTAD DE EDUCACION, PSICOLOGIA Y CIENCAS DEL DEPORTE","2502566","GRADO EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2011","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","12,62","25,25","50,84","67,79",,,"240","300"
"2019-20","049","Universidad de Huelva","G","Grado","1","Centro","21003359","FACULTAD DE ENFERMERIA","2501146","GRADO EN ENFERMERÍA","5","Ciencias de la Salud","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","12,62","25,25","54,71","75,75",,,"240","252"
"2019-20","049","Universidad de Huelva","G","Grado","1","Centro","21004376","FACULTAD DE TRABAJO SOCIAL","2501148","GRADO EN TRABAJO SOCIAL","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","12,62","25,25","48,13","64,17",,,"240","294"
"2019-20","049","Universidad de Huelva","G","Grado","1","Centro","21005812","FACULTAD DE CIENCIAS DEL TRABAJO","2501147","GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","4","Varias modalidades","0","No se oferta en idioma extranjero","12,62","25,25","48,13","64,17",,,"240","288"
"2019-20","049","Universidad de Huelva","G","Grado","1","Centro","21003414","ESCUELA TECNICA SUPERIOR DE INGENIERIA","2501853","GRADO EN INGENIERÍA INFORMÁTICA","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","12,62","25,25","54,71","75,75",,,"240","384"
"2019-20","049","Universidad de Huelva","G","Grado","1","Centro","21003414","ESCUELA TECNICA SUPERIOR DE INGENIERIA","2501849","GRADO EN INGENIERÍA AGRÍCOLA","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","12,62","25,25","54,71","75,75",,,"240","312"
"2019-20","049","Universidad de Huelva","G","Grado","1","Centro","21003414","ESCUELA TECNICA SUPERIOR DE INGENIERIA","2501855","GRADO EN INGENIERÍA QUÍMICA INDUSTRIAL","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","12,62","25,25","54,71","75,75",,,"240","282"
"2019-20","049","Universidad de Huelva","G","Grado","1","Centro","21003414","ESCUELA TECNICA SUPERIOR DE INGENIERIA","2501850","GRADO EN INGENIERÍA ELÉCTRICA","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","12,62","25,25","54,71","75,75",,,"240","270"
"2019-20","049","Universidad de Huelva","G","Grado","1","Centro","21003414","ESCUELA TECNICA SUPERIOR DE INGENIERIA","2501854","GRADO EN INGENIERÍA MECÁNICA","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","12,62","25,25","54,71","75,75",,,"240","282"
"2019-20","049","Universidad de Huelva","G","Grado","1","Centro","21003414","ESCUELA TECNICA SUPERIOR DE INGENIERIA","2501852","GRADO EN INGENIERÍA FORESTAL Y DEL MEDIO NATURAL","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","12,62","25,25","54,71","75,75",,,"240","285"
"2019-20","049","Universidad de Huelva","G","Grado","1","Centro","21003414","ESCUELA TECNICA SUPERIOR DE INGENIERIA","2501851","GRADO EN INGENIERÍA ELECTRÓNICA INDUSTRIAL","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","12,62","25,25","54,71","75,75",,,"240","282"
"2019-20","049","Universidad de Huelva","G","Grado","1","Centro","21003414","ESCUELA TECNICA SUPERIOR DE INGENIERIA","2502578","GRADO EN INGENIERÍA ENERGÉTICA","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2011","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","12,62","25,25","54,71","75,75",,,"240","282"
