"curso_academico","cod_universidad","des_universidad","cod_centro","des_centro","cod_municipio","des_municipio","cod_campus","des_campus","cod_tipo_centro","des_tipo_centro","cod_naturaleza_centro","des_naturaleza_centro","cod_situacion_centro","des_situacion_centro","fecha_desde_situacion_centro","latitude","longitude"
"2019-20","049","Universidad de Huelva","21003359","FACULTAD DE ENFERMERIA","21041","HUELVA","04902","El Carmen","C1","Centro Propio","1","Público","1","Activo","19930701","37.27311","-6.92513"
"2019-20","049","Universidad de Huelva","21003414","ESCUELA TECNICA SUPERIOR DE INGENIERIA","21041","HUELVA","04902","El Carmen","C1","Centro Propio","1","Público","1","Activo","19930701","37.27274","-6.92402"
"2019-20","049","Universidad de Huelva","21003414","ESCUELA TECNICA SUPERIOR DE INGENIERIA","21055","PALOS DE LA FRONTERA","04904","La Rábida","C1","Centro Propio","1","Público","1","Activo","19930701","37.20268","-6.92174"
"2019-20","049","Universidad de Huelva","21004376","FACULTAD DE TRABAJO SOCIAL","21041","HUELVA","04902","El Carmen","C1","Centro Propio","1","Público","1","Activo","19930701","37.27363","-6.92581"
"2019-20","049","Universidad de Huelva","21004522","FACULTAD DE CIENCIAS EXPERIMENTALES","21041","HUELVA","04902","El Carmen","C1","Centro Propio","1","Público","1","Activo","19930701","37.27124","-6.92594"
"2019-20","049","Universidad de Huelva","21005812","FACULTAD DE CIENCIAS DEL TRABAJO","21041","HUELVA","04902","El Carmen","C1","Centro Propio","1","Público","1","Activo","19930701","37.27369","-6.92608"
"2019-20","049","Universidad de Huelva","21005952","FACULTAD DE EDUCACION, PSICOLOGIA Y CIENCAS DEL DEPORTE","21041","HUELVA","04902","El Carmen","C1","Centro Propio","1","Público","1","Activo","19930701","37.26736","-6.92235"
"2019-20","049","Universidad de Huelva","21005964","FACULTAD DE HUMANIDADES","21041","HUELVA","04902","El Carmen","C1","Centro Propio","1","Público","1","Activo","19930701","37.26874","-6.92088"
"2019-20","049","Universidad de Huelva","21005976","FACULTAD DE DERECHO","21041","HUELVA","04902","El Carmen","C1","Centro Propio","1","Público","1","Activo","19930701","37.27105","-6.92331"
"2019-20","049","Universidad de Huelva","21005988","FACULTAD DE CIENCIAS EMPRESARIALES Y TURISMO","21041","HUELVA","04903","La merced","C1","Centro Propio","1","Público","1","Activo","19930701","37.26283","-6.95216"
"2019-20","049","Universidad de Huelva","21006270","ESCUELA DE DOCTORADO DE LA UHU","21041","HUELVA","04901","Cantero Cuadrado","O2","Escuela de doctorado","1","Público","1","Activo","20130701","37.25956","-6.94261"
