"curso_academico","cod_universidad","des_universidad","cod_departamento","des_departamento","cod_municipio","des_municipio","cod_campus","des_campus","cod_situacion_departamento","des_situacion_departamento","fecha_desde_situacion_departamento"
"2019-20","049","Universidad de Huelva","55002541","CIENCIAS AGROFORESTALES","21041","HUELVA","04902","El Carmen","1","Activo","20000401"
"2019-20","049","Universidad de Huelva","55002541","CIENCIAS AGROFORESTALES","21055","PALOS DE LA FRONTERA","04904","La Rábida","1","Activo","20000401"
"2019-20","049","Universidad de Huelva","55002543","THEODOR MOMMSEN","21041","HUELVA","04902","El Carmen","1","Activo","20001001"
"2019-20","049","Universidad de Huelva","55002543","THEODOR MOMMSEN","21041","HUELVA","04903","La merced","1","Activo","20001001"
"2019-20","049","Universidad de Huelva","55002543","THEODOR MOMMSEN","21055","PALOS DE LA FRONTERA","04904","La Rábida","1","Activo","20001001"
"2019-20","049","Universidad de Huelva","55002546","DIRECCION DE EMPRESAS Y MARKETING","21041","HUELVA","04902","El Carmen","1","Activo","19930701"
"2019-20","049","Universidad de Huelva","55002546","DIRECCION DE EMPRESAS Y MARKETING","21041","HUELVA","04903","La merced","1","Activo","19930701"
"2019-20","049","Universidad de Huelva","55002546","DIRECCION DE EMPRESAS Y MARKETING","21055","PALOS DE LA FRONTERA","04904","La Rábida","1","Activo","19930701"
"2019-20","049","Universidad de Huelva","55002548","ECONOMIA FINANCIERA, CONTABILIDAD Y DIRECCION DE OPERACIONES","21041","HUELVA","04902","El Carmen","1","Activo","19930701"
"2019-20","049","Universidad de Huelva","55002548","ECONOMIA FINANCIERA, CONTABILIDAD Y DIRECCION DE OPERACIONES","21041","HUELVA","04903","La merced","1","Activo","19930701"
"2019-20","049","Universidad de Huelva","55002548","ECONOMIA FINANCIERA, CONTABILIDAD Y DIRECCION DE OPERACIONES","21055","PALOS DE LA FRONTERA","04904","La Rábida","1","Activo","19930701"
"2019-20","049","Universidad de Huelva","55002549","PEDAGOGIA","21041","HUELVA","04902","El Carmen","1","Activo","20181001"
"2019-20","049","Universidad de Huelva","55002556","INGENIERIA ELECTRONICA, DE SISTEMAS INFORMATICOS Y AUTOMATICA","21041","HUELVA","04902","El Carmen","1","Activo","19930701"
"2019-20","049","Universidad de Huelva","55002556","INGENIERIA ELECTRONICA, DE SISTEMAS INFORMATICOS Y AUTOMATICA","21055","PALOS DE LA FRONTERA","04904","La Rábida","1","Activo","19930701"
"2019-20","049","Universidad de Huelva","55002558","FILOLOGIA INGLESA","21041","HUELVA","04902","El Carmen","1","Activo","19930701"
"2019-20","049","Universidad de Huelva","55002558","FILOLOGIA INGLESA","21041","HUELVA","04903","La merced","1","Activo","19930701"
"2019-20","049","Universidad de Huelva","55002561","ENFERMERIA","21041","HUELVA","04902","El Carmen","1","Activo","20000801"
"2019-20","049","Universidad de Huelva","55002569","TECNOLOGIAS DE LA INFORMACION","21041","HUELVA","04902","El Carmen","1","Activo","20080101"
"2019-20","049","Universidad de Huelva","55002569","TECNOLOGIAS DE LA INFORMACION","21055","PALOS DE LA FRONTERA","04904","La Rábida","1","Activo","20080101"
"2019-20","049","Universidad de Huelva","55002573","ECONOMIA","21041","HUELVA","04902","El Carmen","1","Activo","20100301"
"2019-20","049","Universidad de Huelva","55002573","ECONOMIA","21041","HUELVA","04903","La merced","1","Activo","20100301"
