"curso_academico","cod_universidad","des_universidad","cod_centro","des_centro","cod_municipio","des_municipio","cod_campus","des_campus","cod_tipo_centro","des_tipo_centro","cod_naturaleza_centro","des_naturaleza_centro","cod_situacion_centro","des_situacion_centro","fecha_desde_situacion_centro","latitude","longitude"
"2018-19","056","Universidad Rey Juan Carlos","28048361","Escuela Superior de Ciencias Experimentales y Tecnología","28092","MÓSTOLES","05603","Móstoles","C1","Centro Propio","1","Público","1","Activo","19970101","40.337316","-3.87448"
"2018-19","056","Universidad Rey Juan Carlos","28048373","Facultad de Ciencias de la Salud","28007","ALCORCÓN","05601","Alcorcón","C1","Centro Propio","1","Público","1","Activo","19961201","40.347141","-3.846083"
"2018-19","056","Universidad Rey Juan Carlos","28049225","Facultad de Ciencias Jurídicas y Sociales","28079","MADRID","05604","Madrid","C1","Centro Propio","1","Público","1","Activo","19980701","40.407037","-3.61001"
"2018-19","056","Universidad Rey Juan Carlos","28049699","Escuela Superior de Gestión Empresarial y Marketing (ESIC)","28115","POZUELO DE ALARCÓN","05605","Campus del centro ""Escuela Superior de Gestión Empresarial y Marketing (ESIC)""","C2","Centro adscrito","2","Privado","1","Activo","20000101","40.437387","-3.800805"
"2018-19","056","Universidad Rey Juan Carlos","28051414","Escuela Superior ESERP","28079","MADRID","05606","Campus del centro ""Escuela Superior ESERP Fundación Universitaria""","C2","Centro adscrito","2","Privado","1","Activo","20000101","40.459023","-3.675108"
"2018-19","056","Universidad Rey Juan Carlos","28051499","Escuela Superior de Ciencias Experimentales y Tecnología. Campus de Madrid","28079","MADRID","05604","Madrid","C1","Centro Propio","1","Público","1","Activo","20110501","40.406278","-3.610585"
"2018-19","056","Universidad Rey Juan Carlos","28051505","Facultad de Ciencias Jurídicas y Sociales. Campus Alcorcón","28007","ALCORCÓN","05601","Alcorcón","C1","Centro Propio","1","Público","1","Activo","20110501","40.34696","-3.846117"
"2018-19","056","Universidad Rey Juan Carlos","28051517","Facultad de Ciencias Jurídicas y Sociales. Campus Fuenlabrada","28058","FUENLABRADA","05602","Fuenlabrada","C1","Centro Propio","1","Público","1","Activo","20110501","40.283564","-3.821521"
"2018-19","056","Universidad Rey Juan Carlos","28051529","Facultad de Ciencias Jurídicas y Sociales. Campus Móstoles","28092","MÓSTOLES","05603","Móstoles","C1","Centro Propio","1","Público","1","Activo","20110501","40.336008","-3.876947"
"2018-19","056","Universidad Rey Juan Carlos","28051581","Facultad de Ciencias de la Comunicación","28058","FUENLABRADA","05602","Fuenlabrada","C1","Centro Propio","1","Público","1","Activo","19981001","40.282316","-3.819309"
"2018-19","056","Universidad Rey Juan Carlos","28051591","Escuela Técnica Superior de Ingenieria de Telecomunicaciones","28058","FUENLABRADA","05602","Fuenlabrada","C1","Centro Propio","1","Público","1","Activo","20090101","40.282316","-3.819309"
"2018-19","056","Universidad Rey Juan Carlos","28051621","Facultad de Ciencias de la Comunicación. Campus de Madrid","28079","MADRID","05604","Madrid","C1","Centro Propio","1","Público","1","Activo","20110501","40.406133","-3.610612"
"2018-19","056","Universidad Rey Juan Carlos","28051694","Escuela Superior de Ingeniería Informática","28092","MÓSTOLES","05603","Móstoles","C1","Centro Propio","1","Público","1","Activo","20051101","40.336518","-3.876713"
"2018-19","056","Universidad Rey Juan Carlos","28051840","Escuela Técnica Superior de Ingeniería Informática. Campus de Madrid","28079","MADRID","05604","Madrid","C1","Centro Propio","1","Público","1","Activo","20110501","40.405941","-3.6107"
