"curso_academico","cod_universidad","des_universidad","cod_departamento","des_departamento","cod_municipio","des_municipio","cod_campus","des_campus","cod_situacion_departamento","des_situacion_departamento","fecha_desde_situacion_departamento"
"2018-19","056","Universidad Rey Juan Carlos","55003683","Biología y Geología, Física y Química Inorgánica","28092","MÓSTOLES","05603","Móstoles","1","Activo","20140201"
"2018-19","056","Universidad Rey Juan Carlos","55003676","Ciencias Básicas de la Salud","28007","ALCORCÓN","05601","Alcorcón","1","Activo","20141201"
"2018-19","056","Universidad Rey Juan Carlos","55003678","Ciencias de la Computación, Arquitectura de Computadores, Lenguajes y Sistemas Informáticos y Estadística e Investigación Operativa","28092","MÓSTOLES","05603","Móstoles","1","Activo","20140201"
"2018-19","056","Universidad Rey Juan Carlos","55003688","Ciencias de la Comunicación y Sociología","28058","FUENLABRADA","05602","Fuenlabrada","1","Activo","20151101"
"2018-19","056","Universidad Rey Juan Carlos","55003677","Ciencias de la Educación, Lenguaje, Cultura y Artes, Ciencias Historico-Jurídicas y Humanísticas y Lenguas Modernas","28079","MADRID","05604","Madrid","1","Activo","20140201"
"2018-19","056","Universidad Rey Juan Carlos","55003681","Derecho Privado y Derecho del Trabajo y de la Seguridad Social","28079","MADRID","05604","Madrid","1","Activo","20140201"
"2018-19","056","Universidad Rey Juan Carlos","55002597","Derecho Público I y Ciencia Política","28079","MADRID","05604","Madrid","1","Activo","20170601"
"2018-19","056","Universidad Rey Juan Carlos","55003682","Derecho Público II y Filología I","28079","MADRID","05604","Madrid","1","Activo","20140201"
"2018-19","056","Universidad Rey Juan Carlos","55003685","Economía Aplicada I e Historia e Instituciones Económicas (y Filosofía Moral)","28079","MADRID","05604","Madrid","1","Activo","20140201"
"2018-19","056","Universidad Rey Juan Carlos","55002620","Economía de la Empresa","28079","MADRID","05604","Madrid","1","Activo","20040701"
"2018-19","056","Universidad Rey Juan Carlos","55003674","Economía de la Empresa (ADO), Economía Aplicada II y Fundamentos Análisis Económico","28079","MADRID","05604","Madrid","1","Activo","20140201"
"2018-19","056","Universidad Rey Juan Carlos","55003686","Economía Financiera y Contabilidad e Idioma Moderno","28079","MADRID","05604","Madrid","1","Activo","20140201"
"2018-19","056","Universidad Rey Juan Carlos","55002609","Fisioterapia, Terapia Ocupacional, Rehabilitación y Medicina Física","28007","ALCORCÓN","05601","Alcorcón","1","Activo","20041201"
"2018-19","056","Universidad Rey Juan Carlos","55003687","Matemática Aplicada, Ciencia e Ingeniería de los Materiales y Tecnología Electrónica","28092","MÓSTOLES","05603","Móstoles","1","Activo","20140201"
"2018-19","056","Universidad Rey Juan Carlos","55003684","Medicina y Cirugía, Psicología, Medicina Preventiva y Salud Pública  Inmunología y Microbiología Médica, Enfermería y Estomatología","28007","ALCORCÓN","05601","Alcorcón","1","Activo","20151101"
"2018-19","056","Universidad Rey Juan Carlos","55003679","Teoría de la Señal y las Comunicaciones y Sistemas Telemáticos y Computación","28058","FUENLABRADA","05602","Fuenlabrada","1","Activo","20140201"
"2018-19","056","Universidad Rey Juan Carlos","55004203","Tecnología Química, Energética y Mecánica","28092","MÓSTOLES","05603","Móstoles","1","Activo","20180201"
"2018-19","056","Universidad Rey Juan Carlos","55002612","Tecnología Química y Ambiental","28092","MÓSTOLES","05603","Móstoles","1","Activo","20180201"
