"curso_academico","cod_universidad","des_universidad","cod_tipo_estudio","des_tipo_estudio","cod_tipo_unidad_responsable","des_tipo_unidad_responsable","cod_unidad_responsable","des_unidad_responsable","cod_titulacion","des_titulacion","cod_rama","des_rama","cod_interuniversitario","des_interuniversitario","cod_rol_coordinacion","des_rol_coordinacion","cod_impartido","des_impartido","anio_inicio","cod_situacion_actual","des_situacion_actual","cod_grado_presencialidad","des_grado_presencialidad","cod_idioma_extranjero","des_idioma_extranjero","precio_credito_1","precio_credito_2","precio_credito_3","precio_credito_4","precio_credito_5","precio_tutela","num_creditos_necesarios","num_creditos_ofertados"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","47005693","Facultad de Medicina","2503929","Grado en Ingeniería Biomédica","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2019","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,01","41,59","90,10","124,76",,,"240,00","60,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","47005668","Facultad de Ciencias","2501496","Grado en Química","2","Ciencias","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","18,32","36,25","78,55","108,76",,,"240,00","240,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","47005681","Facultad de Filosofia  y Letras","2501417","Grado en Historia","1","Artes y Humanidades","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","12,94","25,61","55,49","76,83",,,"240,00","240,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","47005681","Facultad de Filosofia  y Letras","2501687","Grado en Lenguas Modernas y sus Literaturas","1","Artes y Humanidades","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","12,94","25,61","55,49","76,83",,,"240,00","240,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","47005681","Facultad de Filosofia  y Letras","2501416","Grado en Estudios Ingleses","1","Artes y Humanidades","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","12,94","25,61","55,49","76,83",,,"240,00","240,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","47005693","Facultad de Medicina","2502472","Grado en Logopedia","5","Ciencias de la Salud","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2017","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","15,22","30,11","65,24","90,33",,,"240,00","267,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","42004170","Facultad de Ciencias de la Salud de Soria","2501363","Grado en Fisioterapia","5","Ciencias de la Salud","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2014","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","19,37","38,33","83,04","114,99",,,"240,00","277,50"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","47005668","Facultad de Ciencias","2501083","Grado en Estadística","2","Ciencias","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2014","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","14,05","27,81","60,25","83,42",,,"240,00","282,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","47005671","Facultad de Derecho","2502782","Grado en Criminología","3","Ciencias Sociales y Jurídicas","1","Interuniversitario con Universidades españolas","0","La Universidad es la coordinadora del estudio Interuniversitario","1","Se imparte en el curso académico de referencia","2014","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","14,05","27,81","60,25","83,42",,,"240,00","300,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","47008438","Escuela de Ingeniería Informática de Valladolid","2503074","Grado en Ingeniería Informática","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2014","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,01","41,59","90,10","124,76",,,"240,00","510,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","47005644","Escuela Técnica Superior de Arquitectura","2503086","Grado en Fundamentos de la Arquitectura","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2014","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","22,93","45,38","98,32","136,14",,,"300,00","392,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","47005681","Facultad de Filosofia  y Letras","2501533","Grado en Estudios Clásicos","1","Artes y Humanidades","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2013","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","12,94","25,61","55,49","76,83",,,"240,00","324,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","42004169","Escuela de Ingeniería de la Industria Forestal, Agronómica y de la Bioenergía","2502913","Grado en Ingeniería Agraria y Energética","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2013","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,01","41,59","90,10","124,76",,,"240,00","282,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","47007069","Escuela Técnica Superiorde  Ingenieros de Telecomunicación","2502917","Grado en Ingeniería de Tecnologías Específicas de Telecomunicación","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2013","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,01","41,59","90,10","124,76",,,"240,00","516,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","47007941","Escuela de Ingenierías Industriales","2502651","Grado en Ingeniería en Tecnologías Industriales","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2011","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,01","41,59","90,10","124,76",,,"240,00","258,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","34003211","Escuela Universitaria de Enfermería Dr.Dacio Crespo de Palencia (Adscrita a la UVa)","2502310","Grado en Enfermería","5","Ciencias de la Salud","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,01","41,59","90,10","124,76",,,"240,00","264,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","47005693","Facultad de Medicina","2501690","Grado en Medicina","5","Ciencias de la Salud","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","22,93","45,38","98,32","136,14",,,"360,00","393,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","47005632","Facultad de Educación y Trabajo Social","2500886","Grado en Trabajo Social","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","14,05","27,81","60,25","83,42",,,"240,00","276,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","42004170","Facultad de Ciencias de la Salud de Soria","2502310","Grado en Enfermería","5","Ciencias de la Salud","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,01","41,59","90,10","124,76",,,"240,00","270,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","47008153","Facultad de Enfermería de Valladolid","2502310","Grado en Enfermería","5","Ciencias de la Salud","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,01","41,59","90,10","124,76",,,"240,00","276,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","47005644","Escuela Técnica Superior de Arquitectura","2502312","Grado en Arquitectura","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","3","En proceso de extinción","1","Estudio presencial","0","No se oferta en idioma extranjero","22,93","45,38","98,32","136,14",,,"330,00","210,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","47005668","Facultad de Ciencias","2501689","Grado en Óptica y Optometría","2","Ciencias","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","15,22","30,11","65,24","90,33",,,"240,00","276,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","47005693","Facultad de Medicina","2502311","Grado en Nutrición Humana y Dietética","5","Ciencias de la Salud","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","18,32","36,25","78,55","108,76",,,"240,00","258,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","47005668","Facultad de Ciencias","2501688","Grado en Física","2","Ciencias","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","14,05","27,81","60,25","83,42",,,"240,00","288,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","47005701","Facultad de Ciencias Económicas y  Empresariales","2501691","Grado en Economía","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","14,05","27,81","60,25","83,42",,,"240,00","366,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","47005701","Facultad de Ciencias Económicas y  Empresariales","2502473","Grado en Marketing e Investigación de Mercados","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","14,05","27,81","60,25","83,42",,,"240,00","330,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","47005701","Facultad de Ciencias Económicas y  Empresariales","2502469","Grado en Administración y Dirección de Empresas","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","14,05","27,81","60,25","83,42",,,"240,00","408,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","47005701","Facultad de Ciencias Económicas y  Empresariales","2502470","Grado en Finanzas, Banca y Seguros","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","14,05","27,81","60,25","83,42",,,"240,00","384,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","42004169","Escuela de Ingeniería de la Industria Forestal, Agronómica y de la Bioenergía","2502320","Grado en Ingeniería Forestal: Industrias Forestales","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,01","41,59","90,10","124,76",,,"240,00","280,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","47007069","Escuela Técnica Superiorde  Ingenieros de Telecomunicación","2502471","Grado en Ingeniería de Tecnologías de Telecomunicación","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,01","41,59","90,10","124,76",,,"240,00","258,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","40004294","Facultad de Ciencias Sociales, Jurídicas y de la Comunicación","2502469","Grado en Administración y Dirección de Empresas","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","14,05","27,81","60,25","83,42",,,"240,00","306,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","40004294","Facultad de Ciencias Sociales, Jurídicas y de la Comunicación","2501692","Grado en Publicidad y Relaciones Públicas","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","12,94","25,61","55,49","76,83",,,"240,00","318,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","40004294","Facultad de Ciencias Sociales, Jurídicas y de la Comunicación","2501420","Grado en Relaciones Laborales y Recursos Humanos","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","14,05","27,81","60,25","83,42",,,"240,00","258,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","47007941","Escuela de Ingenierías Industriales","2502322","Grado en Ingeniería Mecánica","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,01","41,59","90,10","124,76",,,"240,00","298,50"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","40004294","Facultad de Ciencias Sociales, Jurídicas y de la Comunicación","2501497","Grado en Derecho","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","12,94","25,61","55,49","76,83",,,"240,00","264,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","40004294","Facultad de Ciencias Sociales, Jurídicas y de la Comunicación","2501693","Grado en Turismo","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","12,94","25,61","55,49","76,83",,,"240,00","294,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","47007941","Escuela de Ingenierías Industriales","2502317","Grado en Ingeniería en Electrónica Industrial y Automática","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,01","41,59","90,10","124,76",,,"240,00","306,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","34003361","Escuela Técnica Superior de Ingenierías Agrarias","2502314","Grado en Ingeniería de las Industrias Agrarias y Alimentarias","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,01","41,59","90,10","124,76",,,"240,00","297,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","34003361","Escuela Técnica Superior de Ingenierías Agrarias","2502319","Grado en Ingeniería Forestal y del Medio Natural","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,01","41,59","90,10","124,76",,,"240,00","327,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","47007941","Escuela de Ingenierías Industriales","2502316","Grado en Ingeniería en Diseño Industrial y Desarrollo de Producto","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,01","41,59","90,10","124,76",,,"240,00","304,50"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","47007941","Escuela de Ingenierías Industriales","2502318","Grado en Ingeniería en Organización Industrial","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,01","41,59","90,10","124,76",,,"240,00","294,00"
"2019-20","019","Universidad de Valladolid","G","Grado","1","Centro","34003361","Escuela Técnica Superior de Ingenierías Agrarias","2502313","Grado en Ingeniería Agrícola y del Medio Rural","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,01","41,59","90,10","124,76",,,"240,00","351,00"
