"curso_academico","cod_universidad","des_universidad","cod_centro","des_centro","cod_municipio","des_municipio","cod_campus","des_campus","cod_tipo_centro","des_tipo_centro","cod_naturaleza_centro","des_naturaleza_centro","cod_situacion_centro","des_situacion_centro","fecha_desde_situacion_centro","latitude","longitude"
"2017-18","019","Universidad de Valladolid","34003211","Escuela Universitaria de Enfermería Dr. Dacio Crespo de Palencia (Adscrita a la UVa)","34120","PALENCIA","01902","Palencia","C2","Centro adscrito","1","Público","1","Activo","19820901","41.99797","-4.51844"
"2017-18","019","Universidad de Valladolid","34003361","Escuela Técnica Superior de Ingenierías Agrarias","34120","PALENCIA","01902","Palencia","C1","Centro Propio","1","Público","1","Activo","19720901","41.98894","-4.51391"
"2017-18","019","Universidad de Valladolid","34003610","Facultad de Ciencias del Trabajo","34120","PALENCIA","01902","Palencia","C1","Centro Propio","1","Público","1","Activo","19750901","41.98627","-4.51661"
"2017-18","019","Universidad de Valladolid","34004031","Facultad de Educación de Palencia","34120","PALENCIA","01902","Palencia","C1","Centro Propio","1","Público","1","Activo","20140401","41.98662","-4.51698"
"2017-18","019","Universidad de Valladolid","40004294","Facultad de Ciencias Sociales, Jurídicas y de la Comunicación","40194","SEGOVIA","01903","Segovia","C1","Centro Propio","1","Público","1","Activo","19770901","40.94304","-4.11391"
"2017-18","019","Universidad de Valladolid","40005316","Facultad de Educación de Segovia","40194","SEGOVIA","01903","Segovia","C1","Centro Propio","1","Público","1","Activo","20140401","40.94301","-4.11391"
"2017-18","019","Universidad de Valladolid","40005328","Escuela de Ingeniería Informática de Segovia","40194","SEGOVIA","01903","Segovia","C1","Centro Propio","1","Público","1","Activo","20140701","40.94283","-4.11402"
"2017-18","019","Universidad de Valladolid","42003232","Facultad de Traducción e Interpretación","42173","SORIA","01904","Soria","C1","Centro Propio","1","Público","1","Activo","19790901","41.75267","-2.46955"
"2017-18","019","Universidad de Valladolid","42004111","Facultad de Educación de Soria","42173","SORIA","01904","Soria","C1","Centro Propio","1","Público","1","Activo","20140701","41.75276","-2.47004"
"2017-18","019","Universidad de Valladolid","42004121","Facultad de Ciencias Empresariales y del Trabajo de Soria","42173","SORIA","01904","Soria","C1","Centro Propio","1","Público","1","Activo","20150401","41.75247","-2.46965"
