"curso_academico","cod_universidad","des_universidad","cod_departamento","des_departamento","cod_municipio","des_municipio","cod_campus","des_campus","cod_situacion_departamento","des_situacion_departamento","fecha_desde_situacion_departamento"
"2019-20","019","Universidad de Valladolid","55001269","Teoría de la Arquitectura y Proyectos Arquitectónicos","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001268","Tecnología Electrónica","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001215","Anatomía Patológica, Microbiología, Medicina Preventiva y Salud Pública, Medicina Legal y Forense","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001251","Ingeniería Eléctrica","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001250","Ingeniería de Sistemas y Automática","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001235","Filología Clásica","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001233","Enfermería","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001225","Derecho Penal e Historia y Teoria del Derecho","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001224","Derecho Mercantil, del Trabajo e Internacional Privado","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55003329","Álgebra, Análisis Matemático, Geometría y Topología","47186","VALLADOLID","01901","Valladolid","1","Activo","20121001"
"2019-20","019","Universidad de Valladolid","55001257","Medicina, Dermatología y Toxicología","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001223","Derecho Constitucional, Procesal y Eclesiástico del Estado","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001218","Bioquímica y Biología Molecular y Fisiología","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001216","Anatomía y Radiología","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001253","Ingeniería Química y Tecnología del Medio Ambiente","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001244","Historia Antigua y Medieval","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001237","Filología Inglesa","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001231","Economía Financiera y Contabilidad","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001254","Lengua Española","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001252","Ingeniería Energética y Fluidomecánica","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001254","Lengua Española","42173","SORIA","01904","Soria","1","Activo","20121001"
"2019-20","019","Universidad de Valladolid","55001254","Lengua Española","40194","SEGOVIA","01903","Segovia","1","Activo","20121001"
"2019-20","019","Universidad de Valladolid","55003330","Didáctica de las Ciencias Experimentales, Sociales y de la Matemática","47186","VALLADOLID","01901","Valladolid","1","Activo","20121001"
"2019-20","019","Universidad de Valladolid","55001243","Geografía","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
