"IMPORTANTE","cod_universidad","des_universidad","anio","cod_pais_nacionalidad","des_pais_nacionalidad","lat_pais_nacionalidad","lon_pais_nacionalidad","cod_continente_nacionalidad","des_continente_nacionalidad","cod_agregacion_paises_nacionalidad","des_agregacion_paises_nacionalidad","cod_comunidad_residencia","des_comunidad_residencia","cod_provincia_residencia","des_provincia_residencia","cod_municipio_residencia","des_municipio_residencia","lat_municipio_residencia","lon_municipio_residencia","cod_genero","des_genero","anio_nacimiento","cod_tipo_personal","des_tipo_personal","cod_categoria_cuerpo_escala","des_categoria_cuerpo_escala","cod_tipo_contrato","des_tipo_contrato","cod_dedicacion","des_dedicacion","num_horas_semanales_tiempo_parcial","cod_situacion_administrativa","des_situacion_administrativa","ind_cargo_remunerado","cod_titulo_doctorado","des_titulo_doctorado","cod_pais_doctorado","des_pais_doctorado","lat_pais_doctorado","lon_pais_doctorado","cod_continente_doctorado","des_continente_doctorado","cod_agregacion_paises_doctorado","des_agregacion_paises_doctorado","cod_universidad_doctorado","des_universidad_doctorado","anio_lectura_tesis","anio_expedicion_titulo_doctor","cod_mencion_europea_int","des_mencion_europea","cod_tipo_unidad_responsable","des_tipo_unidad_responsable","cod_unidad_responsable","des_unidad_responsable","cod_area_conocimiento","des_area_conocimiento","anio_incorporacion_ap","anio_incorpora_cuerpo_docente","num_trienios","num_quinquenios","num_sexenios","num_tesis","ind_investigador_principal"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2019","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","7","Castilla León","47","Valladolid","47186","VALLADOLID","41.65295","-4.728388","H","Hombre","1976","6","Personal laboral","6","Profesor Asociado","2","Contrato de Duración Determinada","2","Dedicación a Tiempo Parcial","12","1","Servicio Activo","N","1","Uno","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional",,,"2014","2015","0","No","2","Departamento","55003330","Didáctica de las Ciencias Experimentales, Sociales y de la Matemática","210","Didáctica de las Ciencias Sociales",,,"2","0","0",,"N"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2019","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","7","Castilla León","40","Segovia","40155","PALAZUELOS DE ERESMA","40.93102","-4.059671","H","Hombre","1966","6","Personal laboral","6","Profesor Asociado","2","Contrato de Duración Determinada","2","Dedicación a Tiempo Parcial","12","1","Servicio Activo","N","1","Uno","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","014","Universidad de Salamanca",,"2018","0","No","2","Departamento","55003330","Didáctica de las Ciencias Experimentales, Sociales y de la Matemática","205","Didáctica de las Ciencias Experimentales",,,"1","0","0",,"N"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2019","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","7","Castilla León","34","Palencia","34120","PALENCIA","42.01246","-4.531175","H","Hombre","1987","1","Funcionario de carrera","2","Profesor Titular de Universidad","8","Personal Funcionario\Personal eventual","1","Dedicación a Tiempo Completo",,"1","Servicio Activo","N","0","No",,,,,,,,,,,,,,,"2","Departamento","55003330","Didáctica de las Ciencias Experimentales, Sociales y de la Matemática","210","Didáctica de las Ciencias Sociales",,,"0","0","0",,"N"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2019","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","7","Castilla León","47","Valladolid","47186","VALLADOLID","41.65295","-4.728388","H","Hombre","1972","6","Personal laboral","6","Profesor Asociado","2","Contrato de Duración Determinada","2","Dedicación a Tiempo Parcial","10","1","Servicio Activo","S","1","Uno","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","019","Universidad de Valladolid","2013","2013","0","No","2","Departamento","55003330","Didáctica de las Ciencias Experimentales, Sociales y de la Matemática","205","Didáctica de las Ciencias Experimentales",,,"0","0","0",,"S"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2019","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","7","Castilla León","47","Valladolid","47085","MEDINA DEL CAMPO","41.30819","-4.921706","H","Hombre","1992","6","Personal laboral","6","Profesor Asociado","2","Contrato de Duración Determinada","2","Dedicación a Tiempo Parcial","12","1","Servicio Activo","N","1","Uno","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","014","Universidad de Salamanca","2019",,"0","No","2","Departamento","55003330","Didáctica de las Ciencias Experimentales, Sociales y de la Matemática","200","Didáctica de la Matemática","1990","2003","8","4","0",,"N"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2019","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","7","Castilla León","47","Valladolid","47186","VALLADOLID","41.65295","-4.728388","H","Hombre","1963","6","Personal laboral","4","Profesor Ayudante Doctor","2","Contrato de Duración Determinada","1","Dedicación a Tiempo Completo",,"1","Servicio Activo","N","1","Uno","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","019","Universidad de Valladolid","1996","1996","0","No","2","Departamento","55003330","Didáctica de las Ciencias Experimentales, Sociales y de la Matemática","210","Didáctica de las Ciencias Sociales","1995","2000","7","4","1",,"N"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2019","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","7","Castilla León","40","Segovia","40077","ESPIRDO","40.99775","-4.07347","H","Hombre","1961","6","Personal laboral","6","Profesor Asociado","2","Contrato de Duración Determinada","2","Dedicación a Tiempo Parcial","12","1","Servicio Activo","N","0","No",,,,,,,,,,,,,,,"2","Departamento","55003330","Didáctica de las Ciencias Experimentales, Sociales y de la Matemática","210","Didáctica de las Ciencias Sociales",,,"4","0","0",,"N"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2019","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","7","Castilla León","47","Valladolid","47186","VALLADOLID","41.65295","-4.728388","H","Hombre","1972","1","Funcionario de carrera","2","Profesor Titular de Universidad","8","Personal Funcionario\Personal eventual","1","Dedicación a Tiempo Completo",,"1","Servicio Activo","N","1","Uno","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","014","Universidad de Salamanca","1990","1990","0","No","2","Departamento","55003330","Didáctica de las Ciencias Experimentales, Sociales y de la Matemática","200","Didáctica de la Matemática",,,"0","0","0",,"N"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2019","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","7","Castilla León","37","Salamanca","37294","SANTA MARTA DE TORMES","40.95005","-5.633373","H","Hombre","1980","6","Personal laboral","4","Profesor Ayudante Doctor","2","Contrato de Duración Determinada","1","Dedicación a Tiempo Completo",,"1","Servicio Activo","N","0","No",,,,,,,,,,,,,,,"2","Departamento","55003330","Didáctica de las Ciencias Experimentales, Sociales y de la Matemática","210","Didáctica de las Ciencias Sociales",,,"1","0","0",,"N"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2019","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","7","Castilla León","47","Valladolid","47231","ZARATÁN","41.661","-4.78407","H","Hombre","1972","1","Funcionario de carrera","12","Catedrático de Escuela Universitaria","8","Personal Funcionario\Personal eventual","1","Dedicación a Tiempo Completo",,"1","Servicio Activo","N","1","Uno","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","014","Universidad de Salamanca","2002","2002","0","No","2","Departamento","55003330","Didáctica de las Ciencias Experimentales, Sociales y de la Matemática","205","Didáctica de las Ciencias Experimentales",,,"0","0","0",,"N"
